No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier
1	1	HMC5883L	H1	HDR-TH_5P-P2.54-V-M		HMC5883L	XFCN(兴飞)	C492404	LCSC
2	1	GPS	H2	HDR-TH_4P-P2.54-V-M		GPS	XFCN(兴飞)	C2691448	LCSC
3	1	BMP280	H3	HDR-TH_6P-P2.54-V-M		BMP280	XFCN(兴飞)	C492405	LCSC
4	1	PZ254V-11-02P	H4	HDR-TH_2P-P2.54-V-M		PZ254V-11-02P	XFCN(兴飞)	C492401	LCSC
5	1	1kΩ	R1	R0805	1kΩ	FRR0805J102 TS	FOJAN(富捷)	C49196827	LCSC
6	2	ESP32	U1,U2	HDR-TH_15P-P2.54-V-M		ESP32	Megastar(兆星)	C7501269	LCSC
7	1	MPU6050	U3	HDR-TH_10P-P2.54-V-M_1		MPU6050	HDGC(华德共创)	C19190976	LCSC
