epoch,train_loss,val_loss
1,0.8137002847564052,0.5644952058792114
2,0.46121635067630823,0.40221574902534485
3,0.3591780251180622,0.3500687777996063
4,0.3423758560503033,0.3453323543071747
5,0.3385230516883689,0.3438161611557007
6,0.3375867013360413,0.34191545844078064
7,0.33558511272282665,0.34278392791748047
8,0.33512309361511555,0.34724223613739014
9,0.3344264639095521,0.34904757142066956
10,0.3302953818314512,0.3378690183162689
11,0.32626147673163614,0.3325847387313843
12,0.3232759199511837,0.3359068036079407
13,0.3191348696258706,0.32575154304504395
14,0.31340147407961566,0.3235859274864197
15,0.30671919693409555,0.31562814116477966
16,0.29872594249080603,0.308254212141037
17,0.2899914241172898,0.29197341203689575
18,0.28090702479993795,0.2775595188140869
