phase,t_s,temp_c,comp_roll,comp_pitch,comp_yaw,mahony_roll,mahony_pitch,mahony_yaw
continuous_motion,0.0,43.756,0.29361612177426666,2.7338326565676545,-57.64129943587876,0.29361612177426666,2.7338326565676545,-57.64129943587876
continuous_motion,0.02,43.736,0.29652800726212425,2.733458413155301,-57.640034315604595,0.3075261328269284,2.7302106206744288,-57.637253468423
continuous_motion,0.04,43.748,0.3031651558050645,2.7307648000879947,-57.64075609706253,0.3327342878181432,2.7189334793608344,-57.63541988392577
continuous_motion,0.061,43.745,0.30700807300253546,2.7294488889442254,-57.63946370962711,0.3471940813323153,2.722479434540926,-57.62547501724607
continuous_motion,0.08,43.751,0.3080292381310506,2.732194545250333,-57.632026744119734,0.34938676491488335,2.729825648465245,-57.59907512727364
continuous_motion,0.1,43.736,0.3241653759709334,2.7333931544111936,-57.608986555356246,0.40473722881809476,2.7725877743763454,-57.51364719685526
continuous_motion,0.121,43.765,0.32822710689070467,2.6464513098883513,-57.60988484214812,0.4054650089457737,2.6681197637852407,-57.5210063760694
continuous_motion,0.14,43.756,0.3239092089873102,2.614540354085343,-57.62017523261277,0.3946945816608681,2.579761308077116,-57.570171528431935
continuous_motion,0.16,43.733,0.32116280116064894,2.6433653307716303,-57.627310006680986,0.38129955625457607,2.589852666297847,-57.59772688313649
continuous_motion,0.181,43.759,0.3199368698912098,2.6969192712255823,-57.62571478395496,0.37210146651093934,2.6627667711611034,-57.584617599874164
continuous_motion,0.2,43.736,0.31083462678899365,2.7532180085593785,-57.609389503036034,0.33369891351709946,2.8021528041257953,-57.51952794624889
continuous_motion,0.22,43.742,0.3103817189957126,2.7486378910255342,-57.60569079325065,0.3332667154584984,2.797554021704514,-57.51464094322669
continuous_motion,0.24,43.73,0.31512215516974107,2.7305115270990425,-57.613091307150356,0.34858272837462,2.7336739025073173,-57.5501589686294
continuous_motion,0.26,43.736,0.3163146066331981,2.7482880860411316,-57.6081454001822,0.34931900092836576,2.7607423683216754,-57.53723583958162
continuous_motion,0.28,43.765,0.3034215742969782,2.7509163598857196,-57.607800539310794,0.2996558306545723,2.7810018894988846,-57.540151570190574
continuous_motion,0.3,43.774,0.3134309591978526,2.744400625230764,-57.59196262167071,0.33358331322253654,2.8173785797801583,-57.47251929843536
continuous_motion,0.32,43.748,0.32725611364368107,2.69806371702128,-57.582274652576096,0.37035714288569144,2.7794491112090616,-57.4395506435227
continuous_motion,0.34,43.765,0.33947931000678266,2.640860853839207,-57.59117837715842,0.4108342970429456,2.6432342594821123,-57.49019149270431
continuous_motion,0.36,43.748,0.3297629147851674,2.6916573691801435,-57.59063146717994,0.3795864278372309,2.6906769693095467,-57.50016039740759
continuous_motion,0.38,43.742,0.3339717407784754,2.717199337654675,-57.57694130248182,0.3938682065721463,2.753297018448167,-57.45208686062658
continuous_motion,0.4,43.754,0.3364039808351608,2.720298867776336,-57.57350911954687,0.399327276963486,2.7469861897380405,-57.45191932199048
continuous_motion,0.42,43.727,0.32391569863438197,2.6619823038618398,-57.62922994703842,0.34113865376498287,2.4881692730982556,-57.68100229475223
continuous_motion,0.44,43.748,0.31507306885398395,2.6866047483962543,-57.628581952474356,0.31077877251156905,2.535953552202572,-57.67027087392585
continuous_motion,0.46,43.751,0.31564727459182157,2.7155115532273455,-57.609738489073834,0.3175256137148778,2.634378306832863,-57.594818173869285
continuous_motion,0.48,43.742,0.3207753332050361,2.662630121671334,-57.60658312633759,0.3319300823290593,2.5823779200941352,-57.58618100791861
continuous_motion,0.5,43.759,0.31994302323719204,2.6311434844870254,-57.63266723264889,0.33045263001840774,2.462789846674067,-57.69275689791199
continuous_motion,0.52,43.762,0.3254078933949197,2.666904144842914,-57.6241677538256,0.3537814854088363,2.5460156651159362,-57.651769262325935
continuous_motion,0.54,43.762,0.323589695671934,2.680077694162472,-57.637866618571024,0.35204591311882244,2.518091532471102,-57.70497550779603
continuous_motion,0.56,43.754,0.33187525949908514,2.735906849119355,-57.63959427289957,0.378835710251911,2.585310174715321,-57.70071786034883
continuous_motion,0.58,43.745,0.33688678062318883,2.788897649101381,-57.60523733192643,0.39839772561605097,2.7838130563208456,-57.56529203468806
continuous_motion,0.6,43.751,0.34265125005583175,2.7185423311324706,-57.611317355841344,0.40652970021655593,2.6971159621581315,-57.59377429269595
continuous_motion,0.62,43.777,0.3404214499056381,2.6998741434275826,-57.64966173596557,0.392557450254952,2.524223088535551,-57.74967793540122
continuous_motion,0.64,43.759,0.32465590998425553,2.8819565035469434,-57.58353072727609,0.3454938980530718,3.0099711329580883,-57.47937994613645
continuous_motion,0.66,43.748,0.32912607887861633,2.8602880204002847,-57.57147070734194,0.35761288323241697,3.0100425152191947,-57.43982806922375
continuous_motion,0.68,43.754,0.3384532511475737,2.860313591177595,-57.577564120245,0.38490842833135686,2.951259550856919,-57.47283179074287
continuous_motion,0.7,43.745,0.3394072315182696,2.927234847720844,-57.541602649425315,0.39239809021744054,3.1392786882288037,-57.3376185122868
continuous_motion,0.72,43.748,0.34581652319786815,2.860546582448514,-57.543406735808375,0.4134206137352062,3.020359593733592,-57.36326637195113
continuous_motion,0.74,43.804,0.3553129546361451,2.837545875801628,-57.5364211316992,0.43877514783842214,2.9846310410403367,-57.35229627693869
continuous_motion,0.76,43.742,0.354585917059613,2.8286895817205386,-57.51166462368496,0.4246994693227245,3.084050769214273,-57.26222553747657
continuous_motion,0.78,43.768,0.3667371323021988,2.727813488904772,-57.496512851793135,0.4568207763147008,3.0252649400726783,-57.21712692908127
continuous_motion,0.8,43.733,0.36677628998601713,2.598246258188937,-57.517521633714495,0.44529523245015085,2.8102256388277578,-57.32054320096249
continuous_motion,0.82,43.771,0.36951335878697866,2.5118704449674825,-57.51321007075273,0.4560334385571294,2.710196690349189,-57.31745637031918
continuous_motion,0.84,43.745,0.3822575458267483,2.434145654847737,-57.47982395058745,0.49474629719591673,2.745867308347756,-57.19005711059375
continuous_motion,0.86,43.745,0.4392508868623258,2.150521152898797,-57.61019066673356,0.6090680687333264,1.9729564962698452,-57.702791483592435
continuous_motion,0.88,43.777,0.5392474080865017,2.3190896832283787,-57.59246730716102,0.9676533083946103,2.037894618160026,-57.6176796956067
continuous_motion,0.9,43.751,0.4985054892471606,2.5006394429720693,-57.57426511056538,0.8019838805587558,2.3675130321758138,-57.54008740012614
continuous_motion,0.92,43.718,0.48493460049384496,2.5933020698606906,-57.53560566166387,0.7489935834596858,2.606111654519816,-57.403606879296156
continuous_motion,0.94,43.759,0.49151576774116634,2.6326654477596034,-57.51247046746366,0.7472413356804561,2.701898554443218,-57.33194312417338
continuous_motion,0.96,43.783,0.4945130345909478,2.6071841708748056,-57.49692888705762,0.7217120881144352,2.7308136695835836,-57.28487144258897
continuous_motion,0.98,43.733,0.5005100437241261,2.536530079716101,-57.479571923533584,0.7104464805267965,2.703448792451615,-57.24309924603029
continuous_motion,1.0,43.751,0.5077129217534477,2.440323430424595,-57.45574489527004,0.7122535123578493,2.6882324350419586,-57.16770728711949
continuous_motion,1.02,43.762,0.5103840743044601,2.288719554216416,-57.423101999913364,0.7504633702737622,2.6305753560997,-57.05098171885719
continuous_motion,1.041,43.774,0.4447730518495487,2.059743820115448,-57.436095344108786,0.6918679697353713,2.3491797562273278,-57.1149838845968
continuous_motion,1.06,43.765,0.41190715007859374,1.8670284422561072,-57.49119365982652,0.6323779497442975,1.9889116140523013,-57.33515765051886
continuous_motion,1.08,43.751,0.37664284135519055,1.7880356649865903,-57.512587593717086,0.570659364344453,1.8572457891678409,-57.43170703973918
