run_id,t_s,bx_ut,by_ut,bz_ut
2342474,28.737,29.0826,-2.7523,40.0917
2342474,28.904,12.4771,-16.6972,47.9817
2342474,29.070,-2.5688,-17.7064,47.6147
2342474,29.237,-5.7798,-12.5688,47.0642
2342474,29.404,-1.3761,-2.7523,47.0642
2342474,29.570,11.3761,7.3394,43.4862
2342474,29.737,27.1560,14.9541,31.9266
2342474,29.906,32.8440,19.2661,20.8257
2342474,30.101,34.2202,19.6330,17.8899
2342474,30.268,30.9174,11.4679,31.0092
2342474,30.435,23.6697,1.8349,41.3761
2342474,30.601,16.4220,-6.1468,46.4220
2342474,30.768,4.4037,-14.7706,48.6239
2342474,30.935,1.4679,-16.2385,48.6239
2342474,31.101,-2.5688,-7.2477,47.7982
2342474,31.268,4.7706,2.4771,46.0550
2342474,31.435,8.4404,10.5505,42.1101
2342474,31.601,23.2110,15.7798,33.6697
2342474,31.768,30.6422,18.7156,24.1284
2342474,31.934,33.4862,19.2661,19.1743
2342474,32.101,34.7706,11.1927,26.5138
2342474,32.268,34.2202,-2.7523,35.4128
2342474,32.434,25.8716,-15.6881,43.4862
2342474,32.601,14.0367,-26.4220,46.3303
2342474,32.768,4.3119,-27.5229,47.0642
2342474,32.934,2.5688,-18.5321,48.8991
2342474,33.101,12.0183,-4.6789,47.7064
2342474,33.268,25.3211,7.2477,38.6239
2342474,33.434,32.3853,14.0367,27.5229
2342474,33.601,36.3303,17.6147,17.1560
2342474,33.767,33.9450,18.5321,19.5413
2342474,33.934,32.2018,3.3028,34.8624
2342474,34.950,14.4037,0.1835,45.7798
2342474,35.150,34.5872,6.9725,31.4679
2342474,35.317,38.8991,12.6606,19.2661
2342474,35.483,37.7982,13.7615,19.0826
2342474,35.651,34.0367,-0.4587,34.5872
2342474,35.817,24.5872,-19.8165,43.9450
2342474,35.983,13.6697,-24.9541,47.0642
2342474,36.151,4.3119,-10.5505,48.8991
2342474,36.317,0.5505,6.9725,43.5780
2342474,36.483,3.2110,24.1284,29.8165
2342474,36.650,7.9817,31.3761,17.8899
2342474,36.817,5.9633,32.5688,16.4220
2342474,36.983,4.0367,28.8073,24.1284
2342474,37.150,1.6514,15.0459,38.2569
2342474,37.317,6.0550,-5.5963,47.7064
2342474,37.483,-5.4128,-14.8624,47.5229
2342474,37.650,-23.5780,1.2844,34.0367
2342474,37.817,-18.0734,21.1927,20.2752
2342474,37.983,-12.1101,28.6239,7.5229
2342474,38.149,-12.6606,27.9817,-8.8991
2342474,38.316,-26.0550,19.0826,5.6881
2342474,38.483,-24.7706,2.5688,29.4495
2342474,38.649,-11.1927,-27.8899,40.4587
2342474,38.816,-1.7431,-46.3303,30.8257
2342474,38.983,-12.8440,-49.2661,12.2936
2342474,39.152,-19.1743,-40.7339,-7.6147
2342474,39.369,-21.9266,-24.5872,-21.4679
2342474,39.537,-25.6881,-20.4587,-19.2661
2342474,39.703,-31.0092,-22.3853,-7.0642
2342474,39.871,-28.4404,-27.8899,17.5229
2342474,40.038,-6.3303,-35.5963,37.0642
2342474,40.205,26.0550,-39.1743,31.8349
2342474,40.371,35.1376,-39.4495,20.5505
2342474,40.539,38.4404,-38.7156,12.5688
2342474,40.705,40.7339,-36.3303,6.0550
2342474,40.871,36.6972,-41.2844,9.6330
2342474,41.039,16.5138,-52.5688,14.0367
2342474,41.205,-3.1193,-48.1651,27.0642
2342474,41.371,-18.8991,-35.5046,31.0092
2342474,41.537,-15.7798,-17.0642,42.1101
2342474,41.705,3.1193,3.0275,45.1376
2342474,41.871,18.4404,18.7156,32.9358
2342474,42.037,24.9541,23.3028,23.6697
2342474,42.205,24.1284,25.5046,21.2844
2342474,42.371,24.4037,26.1468,20.8257
2342474,42.537,26.1468,20.9174,26.5138
2342474,42.705,25.0459,9.1743,36.8807
2342474,42.871,20.1835,-7.7982,45.3211
2342474,43.037,14.0367,-25.0459,46.6055
2342474,43.205,1.1009,-28.5321,46.6972
2342474,43.373,-7.1560,-17.3395,47.0642
2342474,43.604,2.8440,6.4220,44.2202
2342474,43.771,6.1468,21.5596,32.9358
2342474,43.938,3.9450,31.8349,15.1376
2342474,44.105,-5.7798,32.8440,-3.3028
2342474,44.271,-17.9817,24.8624,-13.9450
2342474,44.438,-25.9633,14.0367,-16.8807
2342474,44.605,-34.4954,1.5596,-0.6422
2342474,44.771,-29.5413,-9.2661,23.3945
2342474,44.957,-5.1376,-24.5872,40.5505
2342474,45.124,6.6972,-32.7523,38.8991
2342474,45.290,7.3394,-41.5596,32.2018
2342474,45.457,6.3303,-47.7064,23.6697
2342474,45.624,-0.7339,-49.5413,17.7064
2342474,45.790,-14.5872,-45.1376,12.1101
2342474,45.956,-26.6972,-33.5780,7.1560
2342474,46.124,-33.3027,-18.0734,8.8991
2342474,46.290,-33.6697,-3.1193,10.0917
2342474,46.456,-28.8073,8.3486,16.1468
2342474,46.624,-26.3303,13.8532,14.8624
2342474,46.790,-29.9083,10.1835,11.2844
2342474,46.956,-30.4587,4.7706,15.0459
2342474,47.124,-28.1651,-5.7798,22.6606
2342474,47.290,-19.5413,-18.6239,31.7431
2342474,47.457,-13.4862,-28.8073,32.5688
2342474,47.626,-15.7798,-34.7706,26.9725
2342474,47.821,-27.6147,-19.7248,23.2110
2342474,47.988,-29.2661,4.4037,18.8991
2342474,48.155,-21.2844,18.8991,17.5229
2342474,48.321,-15.5963,25.3211,15.1376
2342474,48.488,-8.0734,32.4771,6.9725
2342474,48.654,-2.0183,35.9633,-3.6697
2342474,48.821,-4.5872,35.5046,-3.3945
2342474,48.988,-10.6422,29.9083,13.2110
2342474,49.154,-6.9725,19.1743,30.1835
2342474,49.321,1.6514,7.4312,40.1835
2342474,49.488,17.9817,-8.1651,43.2110
2342474,49.654,22.5688,-19.8165,41.1009
2342474,49.821,21.9266,-27.5229,39.7248
2342474,49.988,13.8532,-30.0000,42.0183
2342474,50.154,11.4679,-22.8440,45.0459
2342474,50.321,11.9266,-8.8991,45.7798
2342474,50.489,17.6147,7.2477,39.8165
2342474,50.656,13.4862,24.5872,25.6881
2342474,50.822,9.6330,32.6605,12.2018
2342474,50.989,1.9266,35.5046,-5.4128
2342474,51.156,-5.9633,33.0275,-11.9266
2342474,51.322,-9.3578,32.1101,-11.6514
2342474,51.489,-11.8349,30.4587,-13.2110
2342474,51.656,-20.7339,25.8716,-4.0367
2342474,51.824,-22.2936,14.1284,21.5596
2342474,52.030,-11.1009,-5.3211,39.5413
2342474,52.197,-8.9908,-26.2385,39.2661
2342474,52.363,-23.4862,-26.4220,27.7982
2342474,52.531,-32.0183,-10.0000,17.6147
