# label,wifi_on_scan
# sample_hz,20
# duration_s,60
# sda_gpio,21
# scl_gpio,22
t_ms,mx_raw,my_raw,mz_raw,wifi_scan_count
14150,175,261,164,2
14200,176,261,165,2
14250,174,262,165,2
14300,174,261,164,2
14350,174,261,164,2
14400,175,260,164,2
14450,175,262,164,2
14500,175,261,164,2
14550,175,261,164,2
14600,176,261,164,2
14650,174,263,165,2
14700,175,262,165,2
14750,175,262,165,2
14800,175,261,164,2
14850,174,260,164,2
14900,175,262,165,2
14950,175,262,165,2
15000,175,261,164,2
15050,175,263,164,2
15100,175,261,165,3
17604,175,261,165,3
17606,175,261,165,3
17608,175,261,165,3
17610,175,261,165,3
17612,175,261,165,3
17614,175,261,165,3
17616,175,261,165,3
17618,175,261,165,3
17620,175,261,165,3
17622,175,261,165,3
17624,175,261,165,3
17626,175,261,165,3
17628,175,261,165,3
17630,175,261,165,3
17632,175,261,165,3
17634,175,261,165,3
17636,175,261,165,3
17638,175,261,165,3
17640,175,261,165,3
17642,175,261,166,3
17645,175,261,166,3
17647,175,261,166,3
17649,175,261,166,3
17651,175,261,166,3
17653,175,261,166,3
17655,175,261,166,3
17657,175,261,166,3
17659,175,261,166,3
17661,175,261,166,3
17663,175,261,166,3
17665,175,261,166,3
17667,175,261,166,3
17669,175,261,166,3
17671,175,261,166,3
17673,175,261,166,3
17675,175,261,166,3
17677,175,261,166,3
17679,175,261,166,3
17681,175,261,166,3
17683,175,261,166,3
17685,175,261,166,3
17687,175,261,166,3
17689,175,261,166,3
17691,175,261,166,3
17693,175,261,166,3
17695,175,261,166,3
17697,175,261,166,3
17699,175,261,166,3
17701,175,261,166,3
17703,175,261,166,3
17705,175,261,166,3
17707,175,261,166,3
17750,175,260,164,3
17800,176,260,164,3
17850,174,260,165,3
17900,174,260,165,3
17950,176,262,164,3
18000,174,260,164,3
18050,174,261,164,3
18100,174,261,164,3
18150,175,260,164,3
18200,175,262,164,3
18250,174,261,164,3
18300,174,261,164,3
18350,175,261,164,3
18400,175,260,164,3
18450,174,261,164,3
18500,174,261,164,3
18550,174,260,163,3
18600,175,260,164,3
18650,174,263,164,3
18700,174,263,164,3
18750,176,259,164,3
18801,176,262,164,3
18851,174,261,165,3
18901,174,261,165,3
18951,175,261,164,3
19000,175,261,164,3
19051,175,261,164,3
19100,174,260,165,3
19150,175,261,165,3
19200,175,260,164,3
19250,175,260,164,3
19300,175,261,163,3
19350,175,261,164,3
19400,173,261,165,3
19450,173,261,165,3
19500,176,261,163,3
19550,176,262,164,3
19600,175,262,165,3
19650,175,262,165,3
19700,174,260,163,3
19750,174,260,164,3
19800,174,262,164,3
19850,174,262,164,3
19900,174,261,163,3
19950,174,262,164,3
20000,176,262,164,3
20050,176,262,164,3
20100,175,261,164,3
20150,173,261,164,3
20200,174,262,164,3
20250,174,262,164,3
20300,174,261,163,3
20350,175,261,165,3
