# experiment,gps_baro_fusion
# chip_id,0x58
# p0_pa,100217.234
# baro_hz,5
# alpha,0.980
t_ms,temp_c,pressure_pa,baro_alt_m,gps_valid,gps_utc,lat,lon,gps_alt_m,satellites,hdop,speed_knots,course_deg,fused_alt_m
318,25.410,100226.875,-0.8138,1,082837.00,26.03054619,119.19306946,,0,-1.00,0.695,-1.00,-0.8138
365,25.410,100226.875,-0.8138,1,082837.00,26.03054619,119.19306946,,0,-1.00,0.695,-1.00,-0.8138
415,25.400,100227.492,-0.8614,1,082837.00,26.03054619,119.19306946,36.300,5,2.29,0.695,-1.00,-0.1182
601,25.400,100227.719,-0.8825,1,082837.00,26.03054619,119.19306946,36.300,5,2.29,0.695,-1.00,-0.1389
903,25.390,100228.625,-0.9565,1,082840.00,26.03055382,119.19306946,35.900,5,2.29,1.023,-1.00,-0.2194
1054,25.390,100228.891,-0.9829,1,082840.00,26.03055382,119.19306946,35.900,5,2.29,1.023,-1.00,-0.2453
1201,25.380,100229.352,-1.0199,1,082840.00,26.03055382,119.19306946,35.900,5,2.29,1.023,-1.00,-0.2815
1401,25.380,100229.438,-1.0252,1,082840.00,26.03055382,119.19306946,35.900,5,2.29,1.023,-1.00,-0.2867
1601,25.370,100230.367,-1.1045,1,082840.00,26.03055382,119.19306946,35.900,5,2.29,1.023,-1.00,-0.3644
1906,25.370,100230.633,-1.1309,1,082841.00,26.03055382,119.19308472,35.600,5,2.28,1.308,-1.00,-0.3963
2057,25.370,100230.633,-1.1309,1,082841.00,26.03055382,119.19308472,35.600,5,2.28,1.308,-1.00,-0.3963
2211,25.360,100230.656,-1.1309,1,082841.00,26.03055382,119.19308472,35.600,5,2.28,1.308,-1.00,-0.3963
2411,25.360,100230.945,-1.1520,1,082841.00,26.03055382,119.19308472,35.600,5,2.28,1.308,-1.00,-0.4170
2611,25.360,100231.469,-1.1996,1,082841.00,26.03055382,119.19308472,35.600,5,2.28,1.308,-1.00,-0.4636
2902,25.350,100231.875,-1.2313,1,082842.00,26.03055763,119.19308472,35.400,5,2.28,1.103,-1.00,-0.4987
3055,25.350,100232.031,-1.2472,1,082842.00,26.03055763,119.19308472,35.400,5,2.28,1.103,-1.00,-0.5142
3201,25.350,100232.141,-1.2524,1,082842.00,26.03055763,119.19308472,35.400,5,2.28,1.103,-1.00,-0.5194
3401,25.350,100232.250,-1.2630,1,082842.00,26.03055763,119.19308472,35.400,5,2.28,1.103,-1.00,-0.5297
3601,25.340,100232.406,-1.2789,1,082842.00,26.03055763,119.19308472,35.400,5,2.28,1.103,-1.00,-0.5453
3906,25.340,100232.336,-1.2736,1,082843.00,26.03055382,119.19308472,35.100,5,2.28,0.792,-1.00,-0.5461
4057,25.340,100232.281,-1.2683,1,082843.00,26.03055382,119.19308472,35.100,5,2.28,0.792,-1.00,-0.5409
4211,25.340,100232.625,-1.2947,1,082843.00,26.03055382,119.19308472,35.100,5,2.28,0.792,-1.00,-0.5668
4411,25.340,100232.563,-1.2894,1,082843.00,26.03055382,119.19308472,35.100,5,2.28,0.792,-1.00,-0.5616
4611,25.340,100232.742,-1.3053,1,082843.00,26.03055382,119.19308472,35.100,5,2.28,0.792,-1.00,-0.5772
4903,25.330,100233.063,-1.3317,1,082844.00,26.03055763,119.19308472,34.800,5,2.28,1.660,-1.00,-0.6091
5054,25.330,100233.242,-1.3476,1,082844.00,26.03055763,119.19308472,34.800,5,2.28,1.660,-1.00,-0.6246
5201,25.330,100233.180,-1.3423,1,082844.00,26.03055763,119.19308472,34.800,5,2.28,1.660,-1.00,-0.6194
5411,25.330,100233.297,-1.3528,1,082844.00,26.03055763,119.19308472,34.800,5,2.28,1.660,-1.00,-0.6298
5611,25.330,100233.648,-1.3793,1,082844.00,26.03055763,119.19308472,34.800,5,2.28,1.660,-1.00,-0.6557
5902,25.330,100233.797,-1.3951,1,082845.00,26.03055382,119.19308472,34.300,5,2.28,0.475,-1.00,-0.6812
6054,25.320,100233.555,-1.3740,1,082845.00,26.03055382,119.19308472,34.300,5,2.28,0.475,-1.00,-0.6605
6201,25.320,100233.313,-1.3528,1,082845.00,26.03055382,119.19308472,34.300,5,2.28,0.475,-1.00,-0.6398
6401,25.320,100233.492,-1.3687,1,082845.00,26.03055382,119.19308472,34.300,5,2.28,0.475,-1.00,-0.6553
6601,25.320,100233.250,-1.3476,1,082845.00,26.03055382,119.19308472,34.300,5,2.28,0.475,-1.00,-0.6346
6902,25.320,100233.430,-1.3634,1,082846.00,26.03054619,119.19308472,33.900,5,2.28,1.157,-1.00,-0.6581
7053,25.320,100233.219,-1.3476,1,082846.00,26.03054619,119.19308472,33.900,5,2.28,1.157,-1.00,-0.6426
7201,25.320,100233.219,-1.3476,1,082846.00,26.03054619,119.19308472,33.900,5,2.28,1.157,-1.00,-0.6426
7401,25.310,100232.813,-1.3106,1,082846.00,26.03054619,119.19308472,33.900,5,2.28,1.157,-1.00,-0.6064
7601,25.310,100232.984,-1.3264,1,082846.00,26.03054619,119.19308472,33.900,5,2.28,1.157,-1.00,-0.6219
7906,25.310,100233.336,-1.3581,1,082847.00,26.03054619,119.19308472,33.600,5,2.28,0.583,-1.00,-0.6590
8057,25.310,100233.516,-1.3687,1,082847.00,26.03054619,119.19308472,33.600,5,2.28,0.583,-1.00,-0.6693
8211,25.310,100233.688,-1.3846,1,082847.00,26.03054619,119.19308472,33.600,5,2.28,0.583,-1.00,-0.6849
8411,25.310,100233.453,-1.3634,1,082847.00,26.03054619,119.19308472,33.600,5,2.28,0.583,-1.00,-0.6641
8611,25.310,100233.625,-1.3793,1,082847.00,26.03054619,119.19308472,33.600,5,2.28,0.583,-1.00,-0.6797
8905,25.310,100233.805,-1.3951,1,082848.00,26.03054619,119.19308472,33.600,5,2.28,1.334,-1.00,-0.6952
9056,25.310,100233.984,-1.4110,1,082848.00,26.03054619,119.19308472,33.600,5,2.28,1.334,-1.00,-0.7108
9211,25.310,100234.156,-1.4215,1,082848.00,26.03054619,119.19308472,33.600,5,2.28,1.334,-1.00,-0.7211
9411,25.310,100233.953,-1.4057,1,082848.00,26.03054619,119.19308472,33.600,5,2.28,1.334,-1.00,-0.7056
9611,25.310,100233.953,-1.4057,1,082848.00,26.03054619,119.19308472,33.600,5,2.28,1.334,-1.00,-0.7056
9903,25.310,100234.484,-1.4533,1,082849.00,26.03054237,119.19308472,33.400,5,2.28,0.023,-1.00,-0.7562
10054,25.310,100234.242,-1.4321,1,082849.00,26.03054237,119.19308472,33.400,5,2.28,0.023,-1.00,-0.7355
10201,25.310,100234.242,-1.4321,1,082849.00,26.03054237,119.19308472,33.400,5,2.28,0.023,-1.00,-0.7355
10411,25.310,100234.422,-1.4480,1,082849.00,26.03054237,119.19308472,33.400,5,2.28,0.023,-1.00,-0.7510
10611,25.310,100234.422,-1.4480,1,082849.00,26.03054237,119.19308472,33.400,5,2.28,0.023,-1.00,-0.7510
10904,25.300,100234.359,-1.4427,1,082850.00,26.03055763,119.19308472,33.500,5,2.28,0.823,-1.00,-0.7438
11057,25.300,100234.531,-1.4585,1,082850.00,26.03055763,119.19308472,33.500,5,2.28,0.823,-1.00,-0.7594
11211,25.300,100235.063,-1.5008,1,082850.00,26.03055763,119.19308472,33.500,5,2.28,0.823,-1.00,-0.8008
11411,25.300,100234.828,-1.4797,1,082850.00,26.03055763,119.19308472,33.500,5,2.28,0.823,-1.00,-0.7801
11611,25.300,100235.000,-1.4955,1,082850.00,26.03055763,119.19308472,33.500,5,2.28,0.823,-1.00,-0.7956
11906,25.300,100234.734,-1.4744,1,082851.00,26.03058624,119.19308472,33.700,5,2.28,0.660,-1.00,-0.7709
12059,25.300,100235.086,-1.5008,1,082851.00,26.03058624,119.19308472,33.700,5,2.28,0.660,-1.00,-0.7968
12211,25.290,100235.016,-1.4955,1,082851.00,26.03058624,119.19308472,33.700,5,2.28,0.660,-1.00,-0.7916
12411,25.290,100235.344,-1.5219,1,082851.00,26.03058624,119.19308472,33.700,5,2.28,0.660,-1.00,-0.8175
12611,25.290,100235.703,-1.5537,1,082851.00,26.03058624,119.19308472,33.700,5,2.28,0.660,-1.00,-0.8486
12902,25.290,100235.813,-1.5642,1,082852.00,26.03059959,119.19308472,33.700,5,2.28,1.004,-1.00,-0.8589
13056,25.290,100235.578,-1.5431,1,082852.00,26.03059959,119.19308472,33.700,5,2.28,1.004,-1.00,-0.8382
13211,25.290,100235.750,-1.5589,1,082852.00,26.03059959,119.19308472,33.700,5,2.28,1.004,-1.00,-0.8538
13411,25.290,100236.102,-1.5854,1,082852.00,26.03059959,119.19308472,33.700,5,2.28,1.004,-1.00,-0.8797
13611,25.280,100235.688,-1.5537,1,082852.00,26.03059959,119.19308472,33.700,5,2.28,1.004,-1.00,-0.8486
13900,25.280,100235.859,-1.5695,1,082853.00,26.03060341,119.19308472,33.500,4,5.73,1.111,-1.00,-0.8681
14052,25.280,100236.047,-1.5854,1,082853.00,26.03060341,119.19308472,33.500,4,5.73,1.111,-1.00,-0.8837
14201,25.280,100235.828,-1.5642,1,082853.00,26.03060341,119.19308472,33.500,4,5.73,1.111,-1.00,-0.8629
14401,25.280,100235.953,-1.5748,1,082853.00,26.03060341,119.19308472,33.500,4,5.73,1.111,-1.00,-0.8733
14601,25.280,100236.297,-1.6065,1,082853.00,26.03060341,119.19308472,33.500,4,5.73,1.111,-1.00,-0.9044
14900,25.280,100236.234,-1.6012,1,082854.00,26.03060722,119.19308472,33.300,4,5.73,0.560,-1.00,-0.9032
15051,25.280,100236.031,-1.5801,1,082854.00,26.03060722,119.19308472,33.300,4,5.73,0.560,-1.00,-0.8825
15201,25.280,100236.203,-1.5959,1,082854.00,26.03060722,119.19308472,33.300,4,5.73,0.560,-1.00,-0.8980
15411,25.270,100235.969,-1.5748,1,082854.00,26.03060722,119.19308472,33.300,4,5.73,0.560,-1.00,-0.8773
15611,25.270,100235.727,-1.5589,1,082854.00,26.03060722,119.19308472,33.300,4,5.73,0.560,-1.00,-0.8618
15902,25.270,100235.906,-1.5695,1,082855.00,26.03060722,119.19308472,33.300,4,5.73,1.147,-1.00,-0.8721
16049,25.270,100235.484,-1.5378,1,082855.00,26.03060722,119.19308472,33.300,4,5.73,1.147,-1.00,-0.8410
16201,25.270,100235.672,-1.5537,1,082855.00,26.03060722,119.19308472,33.300,4,5.73,1.147,-1.00,-0.8566
16401,25.270,100236.195,-1.5959,1,082855.00,26.03060722,119.19308472,33.300,4,5.73,1.147,-1.00,-0.8980
16601,25.270,100236.172,-1.5959,1,082855.00,26.03060722,119.19308472,33.300,4,5.73,1.147,-1.00,-0.8980
16902,25.270,100236.172,-1.5959,1,082856.00,26.03060722,119.19308472,33.400,4,5.74,0.998,-1.00,-0.8960
17051,25.270,100236.344,-1.6065,1,082856.00,26.03060722,119.19308472,33.400,4,5.74,0.998,-1.00,-0.9064
17201,25.270,100236.516,-1.6224,1,082856.00,26.03060722,119.19308472,33.400,4,5.74,0.998,-1.00,-0.9219
17401,25.270,100236.695,-1.6382,1,082856.00,26.03060722,119.19308472,33.400,4,5.74,0.998,-1.00,-0.9374
17601,25.260,100235.930,-1.5748,1,082856.00,26.03060722,119.19308472,33.400,4,5.74,0.998,-1.00,-0.8753
17916,25.260,100235.750,-1.5589,1,082857.00,26.03061485,119.19308472,33.300,4,5.74,2.094,339.06,-0.8618
18065,25.260,100235.930,-1.5748,1,082857.00,26.03061485,119.19308472,33.300,4,5.74,2.094,339.06,-0.8773
18211,25.260,100235.930,-1.5748,1,082857.00,26.03061485,119.19308472,33.300,4,5.74,2.094,339.06,-0.8773
18411,25.260,100236.102,-1.5854,1,082857.00,26.03061485,119.19308472,33.300,4,5.74,2.094,339.06,-0.8877
18611,25.260,100235.930,-1.5748,1,082857.00,26.03061485,119.19308472,33.300,4,5.74,2.094,339.06,-0.8773
18899,25.260,100236.281,-1.6012,1,082858.00,26.03061867,119.19308472,33.300,4,5.74,0.866,-1.00,-0.9032
19049,25.260,100236.047,-1.5854,1,082858.00,26.03061867,119.19308472,33.300,4,5.74,0.866,-1.00,-0.8877
19201,25.260,100236.219,-1.5959,1,082858.00,26.03061867,119.19308472,33.300,4,5.74,0.866,-1.00,-0.8980
19401,25.260,100236.391,-1.6118,1,082858.00,26.03061867,119.19308472,33.300,4,5.74,0.866,-1.00,-0.9136
19601,25.260,100236.391,-1.6118,1,082858.00,26.03061867,119.19308472,33.300,4,5.74,0.866,-1.00,-0.9136
19900,25.260,100237.156,-1.6752,1,082859.00,26.03061867,119.19308472,33.200,4,5.75,0.260,-1.00,-0.9777
20049,25.260,100237.344,-1.6911,1,082859.00,26.03061867,119.19308472,33.200,4,5.75,0.260,-1.00,-0.9932
20201,25.260,100237.516,-1.7069,1,082859.00,26.03061867,119.19308472,33.200,4,5.75,0.260,-1.00,-1.0088
20401,25.260,100237.344,-1.6911,1,082859.00,26.03061867,119.19308472,33.200,4,5.75,0.260,-1.00,-0.9932
20601,25.260,100237.344,-1.6911,1,082859.00,26.03061867,119.19308472,33.200,4,5.75,0.260,-1.00,-0.9932
20910,25.260,100236.922,-1.6593,1,082900.00,26.03061867,119.19308472,33.200,4,5.75,0.665,-1.00,-0.9622
21059,25.260,100237.102,-1.6699,1,082900.00,26.03061867,119.19308472,33.200,4,5.75,0.665,-1.00,-0.9725
21211,25.260,100237.102,-1.6699,1,082900.00,26.03061867,119.19308472,33.200,4,5.75,0.665,-1.00,-0.9725
21411,25.260,100236.922,-1.6593,1,082900.00,26.03061867,119.19308472,33.200,4,5.75,0.665,-1.00,-0.9622
21611,25.260,100236.922,-1.6593,1,082900.00,26.03061867,119.19308472,33.200,4,5.75,0.665,-1.00,-0.9622
21805,25.260,100236.922,-1.6593,1,082901.00,26.03061867,119.19308472,33.200,4,5.75,0.721,-1.00,-0.9622
22004,25.260,100236.922,-1.6593,1,082901.00,26.03061867,119.19308472,33.600,5,5.15,0.721,-1.00,-0.9542
22201,25.260,100236.922,-1.6593,1,082901.00,26.03061867,119.19308472,33.600,5,5.15,0.721,-1.00,-0.9542
22401,25.260,100237.102,-1.6699,1,082901.00,26.03061867,119.19308472,33.600,5,5.15,0.721,-1.00,-0.9645
22601,25.260,100236.719,-1.6382,1,082901.00,26.03061867,119.19308472,33.600,5,5.15,0.721,-1.00,-0.9334
22801,25.260,100236.719,-1.6382,1,082902.00,26.03062820,119.19308472,33.600,5,5.15,1.505,356.00,-0.9334
23006,25.260,100236.891,-1.6541,1,082902.00,26.03062820,119.19308472,34.300,5,5.15,1.505,356.00,-0.9350
23211,25.260,100237.070,-1.6699,1,082902.00,26.03062820,119.19308472,34.300,5,5.15,1.505,356.00,-0.9505
23411,25.260,100237.250,-1.6858,1,082902.00,26.03062820,119.19308472,34.300,5,5.15,1.505,356.00,-0.9661
23611,25.260,100237.422,-1.7016,1,082902.00,26.03062820,119.19308472,34.300,5,5.15,1.505,356.00,-0.9816
23903,25.260,100237.422,-1.7016,1,082903.00,26.03063202,119.19308472,34.700,5,5.15,0.409,-1.00,-0.9736
24060,25.260,100237.422,-1.7016,1,082903.00,26.03063202,119.19308472,34.700,5,5.15,0.409,-1.00,-0.9736
24211,25.260,100237.422,-1.7016,1,082903.00,26.03063202,119.19308472,34.700,5,5.15,0.409,-1.00,-0.9736
24411,25.260,100237.422,-1.7016,1,082903.00,26.03063202,119.19308472,34.700,5,5.15,0.409,-1.00,-0.9736
