# experiment,gps_baro_fusion
# chip_id,0x58
# p0_pa,100253.609
# baro_hz,5
# alpha,0.980
t_ms,temp_c,pressure_pa,baro_alt_m,gps_valid,gps_utc,lat,lon,gps_alt_m,satellites,hdop,speed_knots,course_deg,fused_alt_m
237,31.690,100253.250,0.0291,0,,,,,0,-1.00,-1.000,-1.00,0.0291
286,31.690,100254.984,-0.1163,0,,,,,0,-1.00,-1.000,-1.00,0.0291
402,31.690,100255.031,-0.1215,0,,,,,0,-1.00,-1.000,-1.00,0.0291
602,31.700,100256.070,-0.2061,0,,,,,0,-1.00,-1.000,-1.00,0.0291
802,31.700,100257.453,-0.3224,0,,,,,0,-1.00,-1.000,-1.00,0.0291
1032,31.710,100258.250,-0.3911,0,,,,,0,-1.00,-1.000,-1.00,0.0291
1212,31.720,100260.281,-0.5602,0,,,,,0,-1.00,-1.000,-1.00,0.0291
1412,31.740,100258.125,-0.3805,0,,,,,0,-1.00,-1.000,-1.00,0.0291
1612,31.750,100257.477,-0.3276,0,,,,,0,-1.00,-1.000,-1.00,0.0291
1812,31.750,100256.250,-0.2220,0,,,,,0,-1.00,-1.000,-1.00,0.0291
2032,31.770,100259.266,-0.4756,0,,,,,0,-1.00,-1.000,-1.00,0.0291
2202,31.770,100258.422,-0.4069,0,,,,,0,-1.00,-1.000,-1.00,0.0291
2402,31.790,100257.625,-0.3382,0,,,,,0,-1.00,-1.000,-1.00,0.0291
2602,31.790,100259.750,-0.5179,0,,,,,0,-1.00,-1.000,-1.00,0.0291
2802,31.810,100257.922,-0.3646,0,,,,,0,-1.00,-1.000,-1.00,0.0291
3034,31.820,100255.891,-0.1902,0,,,,,0,-1.00,-1.000,-1.00,0.0291
3202,31.830,100259.477,-0.4915,0,,,,,0,-1.00,-1.000,-1.00,0.0291
3402,31.840,100259.875,-0.5285,0,,,,,0,-1.00,-1.000,-1.00,0.0291
3602,31.850,100259.656,-0.5073,0,,,,,0,-1.00,-1.000,-1.00,0.0291
3802,31.870,100260.219,-0.5549,0,,,,,0,-1.00,-1.000,-1.00,0.0291
4033,31.870,100261.406,-0.6553,0,,,,,0,-1.00,-1.000,-1.00,0.0291
4212,31.880,100260.188,-0.5549,0,,,,,0,-1.00,-1.000,-1.00,0.0291
4412,31.890,100259.000,-0.4545,0,,,,,0,-1.00,-1.000,-1.00,0.0291
4612,31.890,100261.281,-0.6447,0,,,,,0,-1.00,-1.000,-1.00,0.0291
4812,31.900,100259.219,-0.4703,0,,,,,0,-1.00,-1.000,-1.00,0.0291
5034,31.910,100261.352,-0.6500,0,,,,,0,-1.00,-1.000,-1.00,0.0291
5202,31.910,100259.938,-0.5337,0,,,,,0,-1.00,-1.000,-1.00,0.0291
5412,31.900,100258.438,-0.4069,0,,,,,0,-1.00,-1.000,-1.00,0.0291
5612,31.890,100258.109,-0.3805,0,,,,,0,-1.00,-1.000,-1.00,0.0291
5812,31.880,100257.375,-0.3171,0,,,,,0,-1.00,-1.000,-1.00,0.0291
6034,31.880,100259.063,-0.4598,0,,,,,0,-1.00,-1.000,-1.00,0.0291
6202,31.880,100256.438,-0.2378,0,,,,,0,-1.00,-1.000,-1.00,0.0291
6402,31.890,100258.813,-0.4386,0,,,,,0,-1.00,-1.000,-1.00,0.0291
6602,31.890,100260.063,-0.5443,0,,,,,0,-1.00,-1.000,-1.00,0.0291
6802,31.890,100258.422,-0.4069,0,,,,,0,-1.00,-1.000,-1.00,0.0291
7033,31.890,100258.469,-0.4069,0,,,,,0,-1.00,-1.000,-1.00,0.0291
7212,31.890,100253.359,0.0211,0,,,,,0,-1.00,-1.000,-1.00,0.0291
7412,31.890,100251.039,0.2167,0,,,,,0,-1.00,-1.000,-1.00,0.0291
7612,31.880,100244.414,0.7742,0,,,,,0,-1.00,-1.000,-1.00,0.0291
7812,31.890,100246.273,0.6183,0,,,,,0,-1.00,-1.000,-1.00,0.0291
8033,31.910,100247.953,0.4756,0,,,,,0,-1.00,-1.000,-1.00,0.0291
8212,31.910,100247.906,0.4809,0,,,,,0,-1.00,-1.000,-1.00,0.0291
8412,31.920,100248.641,0.4175,0,,,,,0,-1.00,-1.000,-1.00,0.0291
8612,31.920,100254.953,-0.1110,0,,,,,0,-1.00,-1.000,-1.00,0.0291
8812,31.910,100258.852,-0.4439,0,,,,,0,-1.00,-1.000,-1.00,0.0291
9034,31.910,100259.922,-0.5285,0,,,,,0,-1.00,-1.000,-1.00,0.0291
9212,31.910,100260.992,-0.6236,0,,,,,0,-1.00,-1.000,-1.00,0.0291
9412,31.890,100257.344,-0.3118,0,,,,,0,-1.00,-1.000,-1.00,0.0291
9612,31.890,100258.344,-0.3963,0,,,,,0,-1.00,-1.000,-1.00,0.0291
9812,31.890,100257.703,-0.3435,0,,,,,0,-1.00,-1.000,-1.00,0.0291
10034,31.890,100258.898,-0.4439,0,,,,,0,-1.00,-1.000,-1.00,0.0291
10212,31.890,100256.672,-0.2589,0,,,,,0,-1.00,-1.000,-1.00,0.0291
10402,31.890,100258.516,-0.4122,0,,,,,0,-1.00,-1.000,-1.00,0.0291
10602,31.880,100262.016,-0.7081,0,,,,,0,-1.00,-1.000,-1.00,0.0291
10802,31.880,100261.031,-0.6236,0,,,,,0,-1.00,-1.000,-1.00,0.0291
11033,31.890,100259.359,-0.4862,0,,,,,0,-1.00,-1.000,-1.00,0.0291
11212,31.890,100261.047,-0.6236,0,,,,,0,-1.00,-1.000,-1.00,0.0291
11412,31.900,100270.445,-1.4163,0,,,,,0,-1.00,-1.000,-1.00,0.0291
11612,31.900,100268.500,-1.2524,0,,,,,0,-1.00,-1.000,-1.00,0.0291
11812,31.910,100268.164,-1.2260,0,,,,,0,-1.00,-1.000,-1.00,0.0291
12035,31.910,100269.469,-1.3370,0,,,,,0,-1.00,-1.000,-1.00,0.0291
12212,31.910,100267.375,-1.1573,0,,,,,0,-1.00,-1.000,-1.00,0.0291
12412,31.920,100268.109,-1.2207,0,,,,,0,-1.00,-1.000,-1.00,0.0291
12612,31.930,100269.875,-1.3687,0,,,,,0,-1.00,-1.000,-1.00,0.0291
12812,31.940,100270.250,-1.4004,0,,,,,0,-1.00,-1.000,-1.00,0.0291
13035,31.950,100268.875,-1.2841,0,,,,,0,-1.00,-1.000,-1.00,0.0291
13212,31.950,100268.305,-1.2366,0,,,,,0,-1.00,-1.000,-1.00,0.0291
13412,31.960,100270.461,-1.4163,0,,,,,0,-1.00,-1.000,-1.00,0.0291
13612,31.950,100269.320,-1.3211,0,,,,,0,-1.00,-1.000,-1.00,0.0291
13812,31.940,100269.813,-1.3634,0,,,,,0,-1.00,-1.000,-1.00,0.0291
14036,31.930,100271.766,-1.5272,0,,,,,0,-1.00,-1.000,-1.00,0.0291
14202,31.930,100269.203,-1.3106,0,,,,,0,-1.00,-1.000,-1.00,0.0291
14402,31.930,100270.461,-1.4163,0,,,,,0,-1.00,-1.000,-1.00,0.0291
14602,31.920,100271.500,-1.5061,0,,,,,0,-1.00,-1.000,-1.00,0.0291
14802,31.930,100270.102,-1.3898,0,,,,,0,-1.00,-1.000,-1.00,0.0291
15035,31.920,100272.516,-1.5906,0,,,,,0,-1.00,-1.000,-1.00,0.0291
15212,31.910,100269.297,-1.3211,0,,,,,0,-1.00,-1.000,-1.00,0.0291
15402,31.920,100270.086,-1.3846,0,,,,,0,-1.00,-1.000,-1.00,0.0291
15602,31.920,100272.406,-1.5801,0,,,,,0,-1.00,-1.000,-1.00,0.0291
15802,31.920,100271.148,-1.4744,0,,,,,0,-1.00,-1.000,-1.00,0.0291
16035,31.940,100270.117,-1.3898,0,,,,,0,-1.00,-1.000,-1.00,0.0291
16202,31.930,100270.516,-1.4215,0,,,,,0,-1.00,-1.000,-1.00,0.0291
16402,31.910,100269.766,-1.3581,0,,,,,0,-1.00,-1.000,-1.00,0.0291
16602,31.910,100270.773,-1.4427,0,,,,,0,-1.00,-1.000,-1.00,0.0291
16802,31.910,100269.344,-1.3264,0,,,,,0,-1.00,-1.000,-1.00,0.0291
17036,31.920,100270.016,-1.3793,0,,,,,0,-1.00,-1.000,-1.00,0.0291
17212,31.930,100270.461,-1.4163,0,,,,,0,-1.00,-1.000,-1.00,0.0291
17412,31.930,100269.391,-1.3264,0,,,,,0,-1.00,-1.000,-1.00,0.0291
17612,31.930,100269.344,-1.3264,0,,,,,0,-1.00,-1.000,-1.00,0.0291
17812,31.940,100269.539,-1.3423,0,,,,,0,-1.00,-1.000,-1.00,0.0291
18034,31.960,100271.000,-1.4638,0,,,,,0,-1.00,-1.000,-1.00,0.0291
18202,31.960,100265.320,-0.9829,0,,,,,0,-1.00,-1.000,-1.00,0.0291
18402,31.960,100267.344,-1.1573,0,,,,,0,-1.00,-1.000,-1.00,0.0291
18602,31.940,100268.977,-1.2947,0,,,,,0,-1.00,-1.000,-1.00,0.0291
18802,31.940,100269.102,-1.3053,0,,,,,0,-1.00,-1.000,-1.00,0.0291
19034,31.930,100269.680,-1.3528,0,,,,,0,-1.00,-1.000,-1.00,0.0291
19202,31.940,100268.383,-1.2419,0,,,,,0,-1.00,-1.000,-1.00,0.0291
19402,31.940,100267.258,-1.1467,0,,,,,0,-1.00,-1.000,-1.00,0.0291
19602,31.950,100270.570,-1.4268,0,,,,,0,-1.00,-1.000,-1.00,0.0291
19802,31.960,100269.516,-1.3370,0,,,,,0,-1.00,-1.000,-1.00,0.0291
20033,31.950,100266.258,-1.0622,0,,,,,0,-1.00,-1.000,-1.00,0.0291
20202,31.950,100267.711,-1.1890,0,,,,,0,-1.00,-1.000,-1.00,0.0291
20412,31.950,100268.484,-1.2524,0,,,,,0,-1.00,-1.000,-1.00,0.0291
20612,31.950,100269.320,-1.3211,0,,,,,0,-1.00,-1.000,-1.00,0.0291
20812,31.940,100266.008,-1.0411,0,,,,,0,-1.00,-1.000,-1.00,0.0291
21034,31.940,100271.688,-1.5219,0,,,,,0,-1.00,-1.000,-1.00,0.0291
21202,31.940,100266.117,-1.0516,0,,,,,0,-1.00,-1.000,-1.00,0.0291
21402,31.950,100269.422,-1.3317,0,,,,,0,-1.00,-1.000,-1.00,0.0291
21602,31.940,100267.609,-1.1785,0,,,,,0,-1.00,-1.000,-1.00,0.0291
21802,31.940,100265.344,-0.9882,0,,,,,0,-1.00,-1.000,-1.00,0.0291
22033,31.930,100267.531,-1.1732,0,,,,,0,-1.00,-1.000,-1.00,0.0291
22212,31.910,100264.523,-0.9195,0,,,,,0,-1.00,-1.000,-1.00,0.0291
22412,31.910,100269.109,-1.3053,0,,,,,0,-1.00,-1.000,-1.00,0.0291
22612,31.910,100269.109,-1.3053,0,,,,,0,-1.00,-1.000,-1.00,0.0291
22812,31.900,100269.688,-1.3528,0,,,,,0,-1.00,-1.000,-1.00,0.0291
23033,31.900,100268.328,-1.2366,0,,,,,0,-1.00,-1.000,-1.00,0.0291
23202,31.900,100269.578,-1.3423,0,,,,,0,-1.00,-1.000,-1.00,0.0291
23402,31.900,100269.750,-1.3581,0,,,,,0,-1.00,-1.000,-1.00,0.0291
23602,31.880,100269.125,-1.3053,0,,,,,0,-1.00,-1.000,-1.00,0.0291
23802,31.880,100269.602,-1.3476,0,,,,,0,-1.00,-1.000,-1.00,0.0291
24007,31.880,100269.781,-1.3581,0,,,,,0,-1.00,-1.000,-1.00,0.0291
24212,31.890,100269.320,-1.3211,0,,,,,0,-1.00,-1.000,-1.00,0.0291
