# experiment,gps_baro_fusion
# chip_id,0x58
# p0_pa,100239.281
# baro_hz,5
# alpha,0.980
t_ms,temp_c,pressure_pa,baro_alt_m,gps_valid,gps_utc,lat,lon,gps_alt_m,satellites,hdop,speed_knots,course_deg,fused_alt_m
63,27.440,100241.188,-0.1585,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
218,27.430,100240.422,-0.0951,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
418,27.430,100241.313,-0.1691,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
618,27.450,100240.375,-0.0951,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
827,27.450,100242.672,-0.2854,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
1008,27.460,100241.766,-0.2114,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
1208,27.460,100243.297,-0.3382,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
1408,27.460,100240.813,-0.1268,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
1608,27.460,100242.891,-0.3012,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
1827,27.470,100243.984,-0.3963,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
2018,27.470,100242.828,-0.3012,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
2218,27.470,100240.672,-0.1163,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
2418,27.470,100238.188,0.0925,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
2618,27.480,100242.156,-0.2431,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
2828,27.480,100246.234,-0.5866,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
3018,27.490,100249.719,-0.8772,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
3218,27.480,100241.625,-0.1955,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
3418,27.490,100243.156,-0.3276,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
3618,27.500,100240.297,-0.0846,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
3827,27.490,100245.203,-0.4967,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
4018,27.500,100246.172,-0.5813,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
4218,27.500,100250.250,-0.9248,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
4418,27.510,100241.750,-0.2061,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
4618,27.510,100241.773,-0.2114,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
4827,27.520,100241.273,-0.1691,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
5008,27.520,100243.172,-0.3276,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
5208,27.530,100246.516,-0.6077,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
5418,27.540,100253.172,-1.1679,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
5618,27.540,100246.250,-0.5866,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
5826,27.530,100238.563,0.0608,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
6008,27.550,100241.492,-0.1850,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
6208,27.550,100241.195,-0.1585,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
6408,27.560,100244.953,-0.4756,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
6608,27.570,100251.406,-1.0199,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
6829,27.570,100246.141,-0.5760,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
7018,27.590,100244.313,-0.4228,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
7218,27.580,100241.969,-0.2272,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
7418,27.590,100243.953,-0.3911,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
7618,27.590,100247.656,-0.7028,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
7826,27.610,100259.664,-1.7175,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
8018,27.610,100254.609,-1.2894,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
8218,27.620,100251.203,-1.0041,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
8418,27.620,100247.016,-0.6500,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
8618,27.640,100251.211,-1.0041,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
8827,27.640,100252.281,-1.0939,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
9008,27.650,100256.516,-1.4480,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
9208,27.660,100255.891,-1.3951,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
9408,27.670,100254.734,-1.3000,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
9608,27.670,100249.328,-0.8455,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
9826,27.680,100256.641,-1.4585,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
10018,27.690,100253.063,-1.1573,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
10218,27.690,100254.297,-1.2630,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
10418,27.710,100258.094,-1.5854,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
10618,27.720,100255.484,-1.3634,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
10827,27.730,100259.633,-1.7122,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
11008,27.740,100255.141,-1.3370,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
11208,27.750,100253.125,-1.1679,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
11408,27.760,100261.594,-1.8760,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
11608,27.770,100264.109,-2.0874,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
11827,27.780,100265.078,-2.1719,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
12008,27.780,100266.328,-2.2776,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
12208,27.790,100262.516,-1.9553,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
12408,27.800,100263.969,-2.0768,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
12608,27.820,100262.906,-1.9870,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
12826,27.820,100260.328,-1.7703,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
13008,27.820,100260.156,-1.7545,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
13208,27.840,100263.344,-2.0240,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
13408,27.850,100266.219,-2.2671,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
13608,27.860,100266.164,-2.2618,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
13826,27.870,100262.438,-1.9500,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
14008,27.880,100258.266,-1.5959,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
14208,27.890,100258.391,-1.6065,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
14408,27.900,100266.766,-2.3146,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
14608,27.910,100269.875,-2.5736,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
14826,27.920,100270.969,-2.6687,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
15008,27.930,100266.891,-2.3252,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
15208,27.940,100263.094,-2.0028,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
15408,27.950,100254.969,-1.3211,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
15608,27.960,100265.914,-2.2406,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
15827,27.980,100269.906,-2.5789,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
16008,27.990,100272.422,-2.7902,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
16208,28.010,100265.625,-2.2195,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
16408,28.020,100264.031,-2.0821,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
16608,28.030,100261.063,-1.8337,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
16827,28.040,100261.039,-1.8337,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
17008,28.050,100257.844,-1.5642,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
17208,28.060,100267.047,-2.3358,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
17408,28.070,100265.813,-2.2301,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
17608,28.090,100262.789,-1.9764,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
17826,28.100,100263.852,-2.0663,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
18008,28.100,100261.727,-1.8866,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
18208,28.120,100265.688,-2.2248,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
18408,28.130,100262.938,-1.9923,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
18608,28.130,100262.609,-1.9606,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
18827,28.150,100256.727,-1.4691,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
19008,28.160,100257.852,-1.5642,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
19208,28.160,100255.844,-1.3951,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
19408,28.180,100252.875,-1.1467,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
19608,28.190,100252.969,-1.1520,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
19827,28.200,100253.031,-1.1573,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
20008,28.200,100251.102,-0.9935,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
20208,28.220,100250.750,-0.9671,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
20418,28.230,100253.328,-1.1837,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
20618,28.240,100254.531,-1.2841,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
20828,28.260,100255.844,-1.3951,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
21008,28.270,100264.578,-2.1297,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
21208,28.290,100268.625,-2.4679,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
21408,28.310,100266.203,-2.2671,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
21608,28.330,100267.563,-2.3780,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
21826,28.350,100262.734,-1.9764,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
22018,28.370,100264.391,-2.1138,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
22218,28.390,100266.547,-2.2935,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
22418,28.410,100261.695,-1.8866,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
22618,28.440,100262.016,-1.9130,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
22827,28.460,100262.813,-1.9817,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
23018,28.480,100270.219,-2.6053,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
23218,28.500,100269.984,-2.5841,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
23418,28.510,100268.703,-2.4732,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
23618,28.520,100265.156,-2.1772,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
23826,28.540,100263.281,-2.0187,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
24008,28.540,100266.813,-2.3146,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
24208,28.550,100265.445,-2.2037,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
24408,28.550,100260.859,-1.8179,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
24608,28.560,100254.484,-1.2789,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
24828,28.560,100249.836,-0.8878,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
25008,28.580,100250.750,-0.9671,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
25208,28.580,100249.156,-0.8297,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
25418,28.590,100249.953,-0.8984,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
25618,28.600,100250.859,-0.9724,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
25833,28.610,100253.023,-1.1573,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
26018,28.610,100253.922,-1.2313,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
26218,28.620,100261.141,-1.8390,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
26418,28.630,100262.117,-1.9236,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
26618,28.640,100257.164,-1.5061,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
26825,28.650,100254.297,-1.2630,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
27008,28.650,100253.109,-1.1626,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
27208,28.670,100258.852,-1.6488,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
27408,28.670,100258.938,-1.6541,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
27608,28.690,100256.563,-1.4533,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
27828,28.700,100265.297,-2.1878,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
28008,28.710,100268.648,-2.4732,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
28208,28.720,100265.477,-2.2037,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
28408,28.720,100262.602,-1.9606,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
28608,28.730,100264.852,-2.1508,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
28831,28.740,100265.383,-2.1984,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
29008,28.740,100262.484,-1.9553,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
29208,28.750,100260.313,-1.7703,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
29408,28.770,100263.328,-2.0240,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
29608,28.780,100266.117,-2.2565,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
29826,28.780,100266.891,-2.3252,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
30018,28.780,100263.570,-2.0451,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
30218,28.790,100265.969,-2.2459,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
30408,28.790,100261.344,-1.8549,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
30608,28.800,100264.836,-2.1508,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
30828,28.800,100264.484,-2.1191,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
31018,28.810,100265.875,-2.2406,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
31218,28.830,100266.281,-2.2724,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
31418,28.840,100264.773,-2.1455,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
31618,28.840,100261.328,-1.8549,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
31828,28.860,100264.352,-2.1085,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
32008,28.860,100263.492,-2.0398,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
32208,28.880,100266.156,-2.2618,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
32408,28.880,100265.953,-2.2459,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
32608,28.890,100266.063,-2.2512,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
32829,28.890,100263.094,-2.0028,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
33008,28.900,100263.719,-2.0557,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
33208,28.910,100266.297,-2.2724,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
33408,28.910,100264.016,-2.0821,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
33608,28.920,100263.977,-2.0768,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
33828,28.920,100265.758,-2.2301,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
34008,28.930,100260.359,-1.7756,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
34208,28.920,100257.578,-1.5378,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
34408,28.930,100250.906,-0.9776,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
34608,28.940,100250.078,-0.9089,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
34829,28.930,100247.469,-0.6870,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
35018,28.920,100244.219,-0.4175,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
35218,28.930,100247.469,-0.6870,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
35418,28.940,100246.078,-0.5707,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
35618,28.950,100248.234,-0.7557,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
35826,28.960,100248.672,-0.7927,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
36018,28.960,100248.141,-0.7451,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
36208,28.970,100249.734,-0.8825,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
36408,28.980,100247.188,-0.6659,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
36608,28.980,100248.875,-0.8085,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
36827,29.000,100252.398,-1.1045,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
37008,29.010,100251.477,-1.0252,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
37208,29.020,100252.656,-1.1256,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
37408,29.030,100261.398,-1.8602,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
37608,29.040,100257.984,-1.5748,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
37826,29.050,100260.766,-1.8073,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
38018,29.060,100263.219,-2.0134,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
38218,29.070,100262.781,-1.9764,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
38418,29.080,100261.617,-1.8813,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
38618,29.080,100260.141,-1.7545,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
38827,29.100,100254.078,-1.2472,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
39018,29.110,100261.875,-1.9024,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
39218,29.120,100267.000,-2.3305,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
39418,29.130,100266.492,-2.2882,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
39618,29.140,100266.250,-2.2671,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
39826,29.150,100267.813,-2.3992,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
40018,29.160,100265.063,-2.1719,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
40218,29.170,100272.016,-2.7532,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
40408,29.170,100270.500,-2.6264,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
40608,29.190,100266.680,-2.3041,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
40826,29.190,100266.500,-2.2882,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
41018,29.200,100271.594,-2.7215,0,,,,,0,-1.00,-1.000,-1.00,-0.1585
