# experiment,gps_baro_fusion
# chip_id,0x58
# p0_pa,100503.047
# baro_hz,5
# alpha,0.980
t_ms,temp_c,pressure_pa,baro_alt_m,gps_valid,gps_utc,lat,lon,gps_alt_m,satellites,hdop,speed_knots,course_deg,fused_alt_m
273,26.540,100501.750,0.1083,0,,,,,0,-1.00,-1.000,-1.00,0.1083
322,26.540,100502.641,0.0343,0,,,,,0,-1.00,-1.000,-1.00,0.1083
418,26.540,100502.992,0.0053,0,,,,,0,-1.00,-1.000,-1.00,0.1083
618,26.540,100502.813,0.0185,0,,,,,0,-1.00,-1.000,-1.00,0.1083
839,26.540,100500.391,0.2220,0,,,,,0,-1.00,-1.000,-1.00,0.1083
1018,26.540,100504.141,-0.0898,0,,,,,0,-1.00,-1.000,-1.00,0.1083
1218,26.540,100504.672,-0.1374,0,,,,,0,-1.00,-1.000,-1.00,0.1083
1418,26.550,100502.945,0.0079,0,,,,,0,-1.00,-1.000,-1.00,0.1083
1618,26.550,100503.031,0.0026,0,,,,,0,-1.00,-1.000,-1.00,0.1083
1839,26.550,100502.766,0.0238,0,,,,,0,-1.00,-1.000,-1.00,0.1083
2018,26.560,100503.719,-0.0581,0,,,,,0,-1.00,-1.000,-1.00,0.1083
2218,26.560,100504.070,-0.0846,0,,,,,0,-1.00,-1.000,-1.00,0.1083
2418,26.570,100505.031,-0.1691,0,,,,,0,-1.00,-1.000,-1.00,0.1083
2618,26.570,100504.109,-0.0898,0,,,,,0,-1.00,-1.000,-1.00,0.1083
2840,26.570,100503.758,-0.0581,0,,,,,0,-1.00,-1.000,-1.00,0.1083
3018,26.570,100509.602,-0.5496,0,,,,,0,-1.00,-1.000,-1.00,0.1083
3218,26.570,100505.508,-0.2061,0,,,,,0,-1.00,-1.000,-1.00,0.1083
3418,26.570,100504.031,-0.0846,0,,,,,0,-1.00,-1.000,-1.00,0.1083
3618,26.570,100505.508,-0.2061,0,,,,,0,-1.00,-1.000,-1.00,0.1083
3839,26.580,100503.977,-0.0793,0,,,,,0,-1.00,-1.000,-1.00,0.1083
4018,26.580,100506.258,-0.2695,0,,,,,0,-1.00,-1.000,-1.00,0.1083
4218,26.580,100504.188,-0.0951,0,,,,,0,-1.00,-1.000,-1.00,0.1083
4418,26.590,100503.156,-0.0106,0,,,,,0,-1.00,-1.000,-1.00,0.1083
4618,26.580,100505.906,-0.2378,0,,,,,0,-1.00,-1.000,-1.00,0.1083
4818,26.580,100503.250,-0.0159,0,,,,,0,-1.00,-1.000,-1.00,0.1083
5030,26.590,100503.805,-0.0634,0,,,,,0,-1.00,-1.000,-1.00,0.1083
5218,26.590,100504.938,-0.1585,0,,,,,0,-1.00,-1.000,-1.00,0.1083
5418,26.590,100504.813,-0.1480,0,,,,,0,-1.00,-1.000,-1.00,0.1083
5618,26.590,100502.875,0.0159,0,,,,,0,-1.00,-1.000,-1.00,0.1083
5840,26.590,100506.000,-0.2484,0,,,,,0,-1.00,-1.000,-1.00,0.1083
6018,26.590,100505.883,-0.2378,0,,,,,0,-1.00,-1.000,-1.00,0.1083
6218,26.600,100503.555,-0.0423,0,,,,,0,-1.00,-1.000,-1.00,0.1083
6418,26.600,100503.313,-0.0211,0,,,,,0,-1.00,-1.000,-1.00,0.1083
6618,26.600,100505.563,-0.2114,0,,,,,0,-1.00,-1.000,-1.00,0.1083
6846,26.600,100505.063,-0.1691,0,,,,,0,-1.00,-1.000,-1.00,0.1083
7008,26.610,100505.016,-0.1638,0,,,,,0,-1.00,-1.000,-1.00,0.1083
7208,26.610,100502.000,0.0872,0,,,,,0,-1.00,-1.000,-1.00,0.1083
7408,26.610,100507.672,-0.3858,0,,,,,0,-1.00,-1.000,-1.00,0.1083
7608,26.610,100507.141,-0.3435,0,,,,,0,-1.00,-1.000,-1.00,0.1083
