# sample_hz,50
# duration_s,30
# sda_gpio,21
# scl_gpio,22
t_ms,ax_g,ay_g,az_g
3360,0.074951,-0.996582,0.042725
3380,0.065430,-0.989502,0.032471
3400,0.064941,-0.985596,0.028076
3420,0.068848,-0.987793,0.031006
3440,0.063477,-0.987061,0.030762
3460,0.070313,-0.990479,0.029053
3480,0.061768,-0.984131,0.033936
3500,0.078125,-0.993164,0.031006
3520,0.060791,-0.977051,0.031738
3540,0.077148,-0.999268,0.034668
3560,0.054932,-0.986572,0.036377
3580,0.066406,-0.979248,0.031250
3600,0.077637,-0.992676,0.023926
3620,0.048828,-0.979980,0.028320
3641,0.080566,-0.993652,0.030273
3660,0.064697,-0.979736,0.032471
3680,0.074707,-0.989990,0.031006
3700,0.056396,-0.980713,0.034668
3720,0.070801,-0.991699,0.025146
3741,0.059570,-0.984131,0.035156
3760,0.073242,-0.991699,0.034668
3780,0.067871,-0.994141,0.052734
3800,0.058350,-0.989014,0.001465
3820,0.069336,-0.958008,0.013916
3840,0.077148,-0.992920,0.041016
3860,0.051025,-0.993164,0.037842
3880,0.081543,-0.982422,0.036377
3900,0.070068,-0.984863,0.048096
3920,0.068848,-0.995361,0.025879
3940,0.060059,-0.995361,0.032471
3960,0.070313,-0.997314,0.027832
3980,0.068604,-0.995117,0.033203
4000,0.065186,-0.991455,0.032959
4020,0.073975,-1.000000,0.037354
4040,0.052979,-0.981689,0.028320
4060,0.080078,-1.001221,0.034668
4080,0.053955,-0.983643,0.030029
4100,0.079102,-0.996582,0.026611
4120,0.066650,-0.989258,0.034180
4140,0.067627,-0.987793,0.030518
4160,0.073242,-0.995361,0.026123
4180,0.065430,-0.987061,0.034912
4201,0.072510,-1.000488,0.032715
4220,0.058594,-0.981689,0.027344
4240,0.075439,-0.991943,0.027344
4260,0.061768,-0.982666,0.034180
4280,0.073975,-0.996826,0.037109
4300,0.062744,-0.989258,0.032715
4320,0.067383,-0.995117,0.031738
4340,0.074951,-0.993896,0.032227
4360,0.059326,-0.984863,0.021240
4380,0.073242,-0.995117,0.035156
4401,0.060791,-0.985596,0.031738
4420,0.067871,-0.992432,0.029053
4440,0.067139,-0.994873,0.024170
4460,0.064941,-0.990479,0.030762
4480,0.071533,-0.992676,0.031738
4501,0.060791,-0.990967,0.023682
4520,0.064453,-0.993408,0.022949
4540,0.062744,-0.988037,0.021484
4560,0.071289,-0.993652,0.025391
4580,0.065918,-0.992432,0.032959
4600,0.061523,-0.989258,0.030029
4620,0.069824,-0.992188,0.037598
4640,0.061523,-0.987061,0.036377
4660,0.072510,-0.992432,0.028809
4680,0.066162,-0.989014,0.030273
4700,0.073242,-0.991211,0.023926
4720,0.062988,-0.989502,0.032227
4740,0.064453,-0.989990,0.025635
4760,0.070068,-0.994629,0.024902
4780,0.059082,-0.985596,0.037842
4800,0.072998,-0.996094,0.028809
4820,0.065186,-0.989258,0.029297
4840,0.070557,-0.990234,0.041504
4860,0.066406,-0.988525,0.029541
4880,0.067139,-0.990479,0.030518
4900,0.069092,-0.993896,0.029785
4920,0.062012,-0.987549,0.031250
4940,0.069580,-0.989990,0.028076
4960,0.065918,-0.988525,0.029541
4980,0.070313,-0.991699,0.033936
5000,0.064453,-0.987061,0.031494
5020,0.068115,-0.994385,0.032227
5040,0.073486,-0.995361,0.025391
5060,0.066650,-0.985107,0.028076
5080,0.066406,-0.986084,0.028564
5100,0.070801,-0.997803,0.028564
5120,0.068604,-0.991699,0.024414
5140,0.065430,-0.990234,0.029785
5160,0.067139,-0.987549,0.033691
5180,0.068115,-0.990479,0.033203
5200,0.065674,-0.988037,0.027588
5220,0.064941,-0.991455,0.031982
5240,0.066406,-0.989258,0.031738
5260,0.066406,-0.988281,0.030518
5280,0.065918,-0.993652,0.034180
5300,0.064697,-0.989990,0.038818
5320,0.066895,-0.983154,0.028809
5340,0.066406,-1.000732,0.029053
5360,0.071289,-0.984863,0.029785
5380,0.065186,-0.985352,0.033203
5400,0.065186,-0.994141,0.027344
5420,0.069580,-0.987305,0.026855
5440,0.066162,-0.991943,0.034912
5460,0.069092,-0.989746,0.031250
5480,0.068115,-0.990723,0.028564
5500,0.063477,-0.986328,0.033691
5520,0.068848,-0.991211,0.034912
5541,0.070313,-0.988037,0.027344
5560,0.063232,-0.988525,0.037109
5580,0.071777,-0.990723,0.029541
5600,0.067383,-0.987549,0.031250
5620,0.069580,-0.987793,0.036865
5641,0.067139,-0.989258,0.033203
5660,0.066406,-0.985352,0.033447
5680,0.066406,-0.987061,0.033203
5700,0.066895,-0.991211,0.026855
5720,0.068848,-0.994385,0.030029
5741,0.068848,-0.990479,0.031250
5760,0.068848,-0.996338,0.035156
5780,0.069336,-0.984375,0.028564
5800,0.071533,-0.993164,0.034424
5820,0.069336,-0.991455,0.024414
5841,0.067871,-0.990234,0.031494
5860,0.064697,-0.988281,0.032959
5880,0.071045,-0.989990,0.034668
5900,0.066650,-0.987793,0.029053
5920,0.068848,-0.987061,0.028076
5941,0.070557,-0.990967,0.026855
5960,0.069580,-0.991455,0.026611
5980,0.064209,-0.984131,0.040527
6000,0.071777,-0.996826,0.030029
6020,0.056885,-0.986816,0.027344
6041,0.077148,-0.992188,0.029053
6060,0.067139,-0.991455,0.033447
6080,0.067139,-0.989990,0.031738
6100,0.071045,-0.990967,0.028320
6120,0.058594,-0.986816,0.027588
6141,0.074707,-0.996338,0.028809
6160,0.059814,-0.983398,0.035645
6180,0.075195,-0.992920,0.035645
6200,0.069336,-0.987793,0.041504
6220,0.070068,-0.989746,0.028809
6240,0.067627,-0.993164,0.033691
6260,0.065186,-0.991455,0.032715
6280,0.067871,-0.997070,0.032959
6300,0.064209,-0.992432,0.031982
6321,0.073486,-0.993652,0.030029
6340,0.065186,-0.989746,0.030029
6360,0.070801,-0.991211,0.029053
6380,0.064697,-0.987549,0.030273
6400,0.072266,-0.988770,0.028564
6421,0.069824,-0.993896,0.031250
