# sample_hz,50
# duration_s,30
# sda_gpio,21
# scl_gpio,22
t_ms,ax_g,ay_g,az_g
3540,1.006836,0.072998,0.035156
3560,1.011230,0.084473,0.043701
3580,1.003906,0.081299,0.047119
3600,1.009277,0.072510,0.036133
3620,1.004883,0.084473,0.036377
3640,1.016113,0.080566,0.042480
3660,1.000977,0.079590,0.042725
3680,1.008057,0.080811,0.037354
3700,1.010742,0.077393,0.032959
3720,1.013916,0.078857,0.034912
3740,1.005615,0.076172,0.041992
3760,1.004395,0.081543,0.041992
3780,1.004883,0.079346,0.040039
3800,1.010010,0.078613,0.034180
3820,1.010498,0.080322,0.035889
3840,1.009033,0.080322,0.038086
3860,1.001953,0.081787,0.040527
3880,1.009766,0.078857,0.038330
3900,1.008301,0.082520,0.040039
3920,1.008057,0.081543,0.042236
3940,1.010742,0.075928,0.037354
3960,1.010498,0.080078,0.039307
3980,1.014404,0.082031,0.034912
4000,1.010742,0.080566,0.037109
4020,1.005615,0.079102,0.044922
4040,1.003418,0.081787,0.039063
4060,1.007568,0.081543,0.037842
4080,1.005371,0.083496,0.038818
4100,1.006348,0.079102,0.032227
4120,1.006592,0.079590,0.037842
4140,1.010498,0.076904,0.038086
4160,1.004883,0.078369,0.037598
4180,1.005859,0.082031,0.033936
4200,1.008057,0.082031,0.038574
4220,1.005615,0.072510,0.041504
4240,1.003906,0.080078,0.038330
4260,1.009521,0.081787,0.041748
4280,1.008545,0.076904,0.036377
4300,1.003662,0.079346,0.034668
4320,1.002686,0.077393,0.037109
4340,1.005371,0.080811,0.041748
4360,1.006348,0.081543,0.039795
4380,1.006104,0.080078,0.043457
4400,1.009766,0.083252,0.041504
4421,1.005859,0.077637,0.037842
4440,1.005859,0.080322,0.034424
4460,1.008301,0.080322,0.036621
4480,1.023926,0.077393,0.049316
4500,0.995117,0.080322,0.033203
4520,1.027832,0.087646,0.045898
4540,1.010254,0.083740,0.038818
4560,1.006104,0.074463,0.041260
4580,1.007813,0.084717,0.044189
4600,1.005127,0.080566,0.029297
4620,1.001953,0.074951,0.040039
4640,1.001465,0.084473,0.040527
4660,1.000244,0.081055,0.035645
4680,1.000000,0.079590,0.035400
4700,1.004150,0.086182,0.041504
4720,1.004150,0.078613,0.041016
4740,1.009277,0.078125,0.037598
4760,1.010010,0.082764,0.048828
4780,1.008545,0.077393,0.036621
4800,1.012207,0.081787,0.041748
4820,1.005371,0.081055,0.033936
4840,1.008301,0.082275,0.039307
4861,1.004395,0.081055,0.036377
4880,1.004883,0.080322,0.038818
4900,1.007324,0.079102,0.034668
4920,1.009033,0.080322,0.037109
4940,1.008057,0.080322,0.038574
4961,1.004883,0.081055,0.035889
4980,1.003174,0.079102,0.035156
5000,1.006592,0.078125,0.040283
5020,1.007324,0.081299,0.036865
5040,1.007568,0.082031,0.038818
5060,1.004395,0.079102,0.038330
5080,1.005615,0.079346,0.038818
5100,1.007568,0.076172,0.036865
5120,1.009277,0.079102,0.038818
5140,1.004150,0.079590,0.029785
5160,1.007813,0.082275,0.037109
5180,1.009521,0.080566,0.039795
5200,1.002197,0.084473,0.039795
5220,1.007813,0.081543,0.046143
5240,1.008057,0.078369,0.033936
5260,1.004150,0.082520,0.037354
5280,1.008545,0.077148,0.036865
5301,1.008301,0.082031,0.039307
5320,1.006348,0.077148,0.035645
5340,1.005615,0.079346,0.042969
5360,1.005615,0.081787,0.038086
5380,1.007080,0.077393,0.033203
5401,1.012451,0.080566,0.037109
5420,1.009521,0.079346,0.034668
5440,1.009033,0.079346,0.042969
5460,1.008057,0.080566,0.042969
5480,1.003418,0.080078,0.036621
5500,1.010498,0.083008,0.035156
5520,1.008301,0.076172,0.043213
5540,1.003418,0.081055,0.033936
5560,1.006348,0.078857,0.037109
5580,1.003418,0.082031,0.045410
5600,1.008301,0.079834,0.036133
5620,1.006836,0.082275,0.040283
5640,1.005859,0.078125,0.038086
5660,1.007813,0.078613,0.034424
5680,1.006104,0.080078,0.035645
5700,1.009766,0.080078,0.032959
5720,1.004883,0.080811,0.037354
5740,1.008545,0.075684,0.041016
5760,1.005615,0.083008,0.037842
5780,1.008057,0.084229,0.036377
5800,1.003906,0.085449,0.034912
5820,1.007568,0.081299,0.031494
5840,1.009033,0.079346,0.035645
5860,1.006836,0.080078,0.035156
5880,1.003906,0.078613,0.039063
5900,1.005127,0.075439,0.040039
5920,1.005127,0.081299,0.041260
5940,1.007080,0.078857,0.039551
5960,1.003662,0.078613,0.034424
5980,1.006348,0.076660,0.034424
6000,1.005859,0.082031,0.038574
6020,1.008057,0.077148,0.038574
6040,1.009277,0.080078,0.037354
6060,1.005127,0.082520,0.036865
6081,1.007324,0.081055,0.039551
6100,1.000732,0.075684,0.039063
6120,1.008545,0.084473,0.036621
6140,1.006348,0.079102,0.033936
6160,1.005371,0.079102,0.039307
6181,1.005127,0.082520,0.037109
6200,1.006836,0.080322,0.041748
6220,1.004395,0.075439,0.039063
6240,1.007080,0.080566,0.040527
6260,1.009521,0.079102,0.038086
6281,1.010010,0.079102,0.036621
6300,1.005859,0.081787,0.037842
6320,1.003174,0.080078,0.037842
6340,1.005859,0.078613,0.033691
6360,1.008301,0.080566,0.038086
6381,1.008301,0.082520,0.047852
6400,1.011963,0.081787,0.037354
6420,1.010498,0.077637,0.037109
6440,1.005127,0.078857,0.041260
6460,1.007568,0.080811,0.032227
6481,1.009766,0.080322,0.036133
6500,1.001953,0.078125,0.034912
6520,1.004395,0.079346,0.040039
6540,1.006592,0.078613,0.035156
6560,1.010010,0.078857,0.036377
6581,1.002197,0.081055,0.045410
6600,1.008301,0.080566,0.040527
6620,1.007080,0.079834,0.037354
6640,1.012451,0.077148,0.036377
6660,1.006348,0.078613,0.041260
6681,1.009277,0.082275,0.041748
6700,1.010498,0.077637,0.034668
6720,1.004395,0.079346,0.039551
6740,1.011963,0.076904,0.036377
6760,1.006104,0.081787,0.040039
6781,1.002686,0.080322,0.041748
6800,1.007813,0.083984,0.041504
6820,1.007568,0.078613,0.036621
6840,1.007813,0.078613,0.034180
6860,1.004395,0.084473,0.039795
6880,1.005615,0.077881,0.040283
6900,1.009766,0.077881,0.038086
6920,1.005371,0.081055,0.036865
6940,1.007568,0.077148,0.039795
6960,1.006836,0.078857,0.036621
6980,1.007568,0.081787,0.039063
7000,1.006348,0.081543,0.043945
7020,1.009521,0.079102,0.036865
7040,1.006836,0.078125,0.042725
7060,1.010986,0.079346,0.034912
7080,1.007568,0.081299,0.039063
7100,1.007324,0.077881,0.041016
7120,1.008057,0.082764,0.041748
7140,1.007080,0.081787,0.036133
7160,1.006348,0.078857,0.037109
7180,1.001465,0.077393,0.041260
7200,1.009033,0.080078,0.039795
7220,1.009277,0.077393,0.032227
7240,0.999268,0.078369,0.032959
7260,1.010986,0.081787,0.030273
7280,1.006348,0.079590,0.034180
7300,1.004883,0.078857,0.041748
7320,1.009766,0.077637,0.033936
7340,1.012207,0.083740,0.037598
7360,1.007324,0.080322,0.036133
7380,1.007080,0.082275,0.041748
7400,1.005127,0.078857,0.039795
7421,1.003418,0.081299,0.043457
7440,1.002197,0.083252,0.031982
7460,1.003174,0.076172,0.040039
7480,1.010254,0.082764,0.037842
7500,1.006836,0.076660,0.037354
7521,1.006348,0.078613,0.040527
7540,1.009033,0.077148,0.035889
7560,1.006592,0.083252,0.036621
7580,1.006836,0.074951,0.041748
7600,1.005371,0.079102,0.037598
7621,1.004639,0.077881,0.033936
7640,1.008545,0.080811,0.038330
7660,1.007324,0.081055,0.034424
7680,1.005371,0.081299,0.041748
7700,1.007324,0.081299,0.034668
7720,1.004883,0.081787,0.041504
7740,1.005859,0.081299,0.040283
7760,1.009766,0.080566,0.036621
7780,1.006348,0.078369,0.040771
7800,1.007080,0.081055,0.037598
7820,1.007568,0.079834,0.040771
7840,1.009766,0.081299,0.040771
7860,1.007568,0.078369,0.036621
7880,1.002197,0.078857,0.040527
7900,1.009033,0.080322,0.039307
7920,1.003174,0.080322,0.038086
7940,1.008545,0.081299,0.034912
7960,1.011719,0.078857,0.033936
7980,1.003662,0.083252,0.037598
8000,1.004883,0.079346,0.037842
8020,1.008301,0.081055,0.038086
8040,1.009033,0.078613,0.043701
8060,1.005615,0.080811,0.036621
8080,1.006836,0.078369,0.035156
8100,1.006104,0.080566,0.040283
8120,1.006592,0.078125,0.036865
8140,1.006348,0.077637,0.035400
8160,1.006836,0.081787,0.040283
8180,1.005371,0.080322,0.039063
8200,1.006104,0.078369,0.035645
8220,1.006348,0.081055,0.032715
8240,1.005859,0.078125,0.033936
8260,1.008301,0.075928,0.035889
8280,1.006104,0.083008,0.037842
8300,1.004639,0.081299,0.036133
8321,1.008057,0.078613,0.037598
8340,1.006592,0.079102,0.039063
8360,1.009766,0.079346,0.038086
8380,1.006592,0.082031,0.033691
8400,1.008789,0.082031,0.039307
8421,1.010742,0.078613,0.035645
8440,1.008545,0.079590,0.032471
8460,1.011230,0.083984,0.038330
8480,1.006348,0.079102,0.042969
8500,1.007813,0.078125,0.037109
8520,1.007080,0.080078,0.040771
8540,1.008057,0.079590,0.040527
8560,1.007813,0.079834,0.038818
8580,1.007324,0.082764,0.041260
8600,1.008545,0.079834,0.031494
8620,1.005615,0.083740,0.038086
8640,1.007324,0.079590,0.040771
8660,1.005127,0.078613,0.039551
8680,1.007080,0.078613,0.037354
8700,1.003662,0.079590,0.039551
8720,1.003906,0.081299,0.038574
8740,1.007080,0.080322,0.039063
8760,1.005859,0.080078,0.038330
8780,1.009033,0.077148,0.037598
8800,1.007813,0.081787,0.032227
8820,1.004395,0.081787,0.037598
8840,1.008545,0.080811,0.040771
8861,1.007080,0.080566,0.039307
8880,1.005859,0.079346,0.035645
8900,1.005127,0.080078,0.038574
8920,1.009277,0.080322,0.038818
8940,1.007324,0.081299,0.040771
8960,1.009277,0.077148,0.041016
8980,1.008301,0.083008,0.034424
9000,1.007568,0.080566,0.040039
9020,1.007813,0.083984,0.037598
9040,1.006104,0.080811,0.036621
9060,1.008789,0.080811,0.036621
9080,1.008545,0.077393,0.040283
9100,1.007080,0.081299,0.036133
9120,1.008789,0.081299,0.037354
9140,1.007324,0.078857,0.033447
9160,1.005859,0.080566,0.038086
9180,1.003906,0.078857,0.033936
9200,1.009521,0.079834,0.041260
9220,1.007813,0.082520,0.036865
9240,1.007568,0.081055,0.036621
9260,1.007324,0.080322,0.042480
9280,1.006592,0.080078,0.037598
9301,1.008057,0.077637,0.042480
9320,1.009277,0.077393,0.032227
9340,1.007568,0.079102,0.038330
