# sample_hz,50
# duration_s,30
# sda_gpio,21
# scl_gpio,22
t_ms,ax_g,ay_g,az_g
3040,-0.981689,-0.058350,-0.075684
3061,-0.988525,-0.059082,-0.065430
3080,-0.981934,-0.060303,-0.068848
3100,-0.986572,-0.059082,-0.074707
3120,-0.984375,-0.061523,-0.072266
3140,-0.986084,-0.061035,-0.078125
3161,-0.983887,-0.059570,-0.071533
3180,-0.986084,-0.059570,-0.071533
3200,-0.986328,-0.062500,-0.067139
3220,-0.985840,-0.056641,-0.064697
3240,-0.986328,-0.060059,-0.070313
3260,-0.984375,-0.061035,-0.073730
3280,-0.985352,-0.055420,-0.067627
3300,-0.982910,-0.056885,-0.067383
3320,-0.986816,-0.060303,-0.072998
3340,-0.984863,-0.058350,-0.073975
3360,-0.987549,-0.061279,-0.072266
3380,-0.983887,-0.058105,-0.070801
3400,-0.983154,-0.062256,-0.072998
3420,-0.982666,-0.057617,-0.067383
3440,-0.985840,-0.061279,-0.069824
3461,-0.984375,-0.059814,-0.074951
3480,-0.988770,-0.061523,-0.075928
3500,-0.987793,-0.058594,-0.069336
3520,-0.980469,-0.060059,-0.068115
3540,-0.990234,-0.061768,-0.072021
3561,-0.981689,-0.058105,-0.066650
3580,-0.987793,-0.062012,-0.068604
3600,-0.988037,-0.059082,-0.068359
3620,-0.986816,-0.064697,-0.065430
3640,-0.986084,-0.061768,-0.075439
3660,-0.988525,-0.060547,-0.066162
3680,-0.985352,-0.056396,-0.074219
3700,-0.984375,-0.059570,-0.074951
3720,-0.989258,-0.057129,-0.079590
3740,-0.987793,-0.055176,-0.072510
3760,-0.988770,-0.059082,-0.069580
3780,-0.987061,-0.061523,-0.071289
3800,-0.994141,-0.058105,-0.074463
3820,-0.984863,-0.062500,-0.070068
3840,-0.984375,-0.056641,-0.066406
3861,-0.982422,-0.061035,-0.069580
3880,-0.987305,-0.053467,-0.068115
3900,-0.987549,-0.056641,-0.069092
3920,-0.983887,-0.063477,-0.070313
3940,-0.984375,-0.061523,-0.069336
3960,-0.985352,-0.060547,-0.075195
3980,-0.983398,-0.059570,-0.073242
4000,-0.985840,-0.056641,-0.070068
4020,-0.983154,-0.059570,-0.072998
4040,-0.987061,-0.058838,-0.072754
4061,-0.988525,-0.063721,-0.070557
4080,-0.983643,-0.059814,-0.063965
4100,-0.987793,-0.057373,-0.073730
4120,-0.983887,-0.057861,-0.071777
4140,-0.988525,-0.057373,-0.065918
4161,-0.984375,-0.056396,-0.074463
4180,-0.982422,-0.060791,-0.072754
4200,-0.988037,-0.060791,-0.068848
4220,-0.988281,-0.060791,-0.067871
4240,-0.990234,-0.062988,-0.067871
4261,-0.985352,-0.059082,-0.074219
4280,-0.984863,-0.059814,-0.074707
4300,-0.990967,-0.056885,-0.065430
4320,-0.985840,-0.058105,-0.070801
4340,-0.986572,-0.056152,-0.065918
4361,-0.984863,-0.061768,-0.079102
4380,-0.987793,-0.060791,-0.074707
