# ESP32 offline IMU GPS sync logger
# log_path,/imu_gps_logs/imu_gps_sync_0002_01.csv
# session_index,2
# part_index,1
# sample_hz,20
# capture_duration_s,900
# i2c_sda_gpio,21
# i2c_scl_gpio,22
# gps_uart_id,2
# gps_rx_gpio,16
# gps_tx_gpio,17
# gps_baudrate,9600
t_ms,ax_g,ay_g,az_g,temp_c,gx_dps,gy_dps,gz_dps,mx_raw,my_raw,mz_raw,gps_updated,gps_valid,gps_usable,fix_quality,satellites,hdop,gps_lat,gps_lon,gps_alt_m,gps_speed_mps,gps_course_deg,gps_utc,gps_date,nmea_count,fix_count,checksum_fail_count
13,-0.013428,0.120605,1.013916,45.854,0.0840,1.0000,0.0916,333,28,285,0,,,,,,,,,,,,,0,0,0
154,-0.008301,0.119629,1.014404,45.833,0.1374,0.9466,0.1145,334,27,284,0,,,,,,,,,,,,,0,0,0
250,-0.007324,0.117188,1.013672,45.836,0.1374,1.0000,0.1145,334,28,284,0,,,,,,,,,,,,,0,0,0
351,-0.001709,0.119141,1.020020,45.821,0.2290,0.9695,-0.0458,334,28,285,0,,,,,,,,,,,,,0,0,0
445,-0.005371,0.122314,1.020020,45.842,0.1832,0.9924,0.0916,332,29,285,0,,,,,,,,,,,,,0,0,0
541,-0.007080,0.119141,1.016846,45.833,0.1679,0.9695,0.0687,334,28,285,0,,,,,,,,,,,,,0,0,0
641,-0.002197,0.118408,1.014893,45.833,0.1298,0.9008,0.0458,335,29,284,0,,,,,,,,,,,,,0,0,0
735,-0.006592,0.118408,1.020508,45.809,0.0687,1.0458,0.0992,334,28,285,0,,,,,,,,,,,,,2,0,0
838,-0.007324,0.118652,1.016602,45.842,0.0458,1.0000,0.1374,334,29,284,0,,,,,,,,,,,,,4,0,0
940,-0.009033,0.116943,1.014404,45.845,0.2214,0.9847,0.0916,333,30,285,0,,,,,,,,,,,,,6,0,0
1042,-0.005371,0.118652,1.020020,45.839,0.0992,0.9695,0.1298,334,28,284,0,,,,,,,,,,,,,6,0,0
1136,-0.006836,0.119873,1.023682,45.862,0.1985,0.9389,0.1908,334,29,286,0,,,,,,,,,,,,,6,0,0
1241,-0.002930,0.116943,1.016602,45.830,0.1832,0.9695,0.1221,334,29,285,0,,,,,,,,,,,,,6,0,0
1341,-0.002441,0.118408,1.015381,45.818,0.0534,0.9237,-0.0153,334,28,284,0,,,,,,,,,,,,,6,0,0
1435,-0.009277,0.119873,1.021973,45.839,0.1069,0.9389,0.1450,334,28,285,0,,,,,,,,,,,,,6,0,0
1531,-0.005371,0.117432,1.016602,45.833,0.1374,0.9084,0.1221,333,26,284,0,,,,,,,,,,,,,6,0,0
1629,-0.005127,0.119385,1.014160,45.865,0.0840,0.8855,0.0534,334,27,284,0,,,,,,,,,,,,,6,0,0
1731,-0.009766,0.123535,1.018555,45.836,0.1832,0.8550,0.0687,333,28,285,0,,,,,,,,,,,,,7,0,0
1830,-0.005615,0.117432,1.015869,45.842,0.0916,0.9237,0.0076,334,27,284,0,,,,,,,,,,,,,10,0,0
1933,-0.008301,0.119629,1.023926,45.845,0.0076,1.0000,0.1069,333,28,285,0,,,,,,,,,,,,,12,0,0
2037,-0.006836,0.119873,1.016602,45.865,0.0534,1.1069,0.1603,334,27,284,0,,,,,,,,,,,,,12,0,0
2201,-0.005371,0.117920,1.017822,45.862,0.0840,0.9084,0.1145,334,29,285,0,,,,,,,,,,,,,12,0,0
2296,-0.005371,0.122314,1.018311,45.821,0.1756,0.8779,0.0992,334,28,286,0,,,,,,,,,,,,,12,0,0
2402,-0.009521,0.122070,1.023193,45.824,0.0305,0.8550,0.1145,333,29,286,0,,,,,,,,,,,,,12,0,0
2502,-0.004395,0.116943,1.016602,45.854,0.1908,0.8092,0.0763,333,28,285,0,,,,,,,,,,,,,12,0,0
2596,-0.006348,0.120605,1.015625,45.815,0.2519,0.8550,0.1298,333,29,286,0,,,,,,,,,,,,,12,0,0
2702,-0.005859,0.120605,1.013184,45.795,0.0611,1.0763,0.0076,334,28,285,0,,,,,,,,,,,,,12,0,0
2802,-0.006104,0.119385,1.014893,45.830,0.1603,0.9237,0.0000,334,28,285,0,,,,,,,,,,,,,12,0,0
2902,-0.003418,0.116455,1.019287,45.842,0.0992,0.9542,0.1298,334,28,285,0,,,,,,,,,,,,,12,0,0
