t_ms,initialized,gps_fix,satellites,hdop,gps_lat,gps_lon,gps_alt_m,est_lat,est_lon,est_alt_m,e_m,n_m,u_m,ve_mps,vn_mps,vu_mps,roll_deg,pitch_deg,yaw_deg,innov_xy_m,sigma_e_m,sigma_n_m,imu_hz,gps_updates,gps_rejects,nmea_count
42059033,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.57,-7.3,-103.08,0.0,0.0,0.0,100.0,0,0,209
42059233,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.56,-7.29,-103.08,0.0,0.0,0.0,100.0,0,0,212
42059433,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.55,-7.29,-103.08,0.0,0.0,0.0,100.0,0,0,216
42059633,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.55,-7.28,-103.07,0.0,0.0,0.0,100.0,0,0,218
42059833,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.55,-7.28,-103.06,0.0,0.0,0.0,100.0,0,0,218
42060033,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.55,-7.27,-103.05,0.0,0.0,0.0,100.0,0,0,218
42060233,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.54,-7.27,-103.06,0.0,0.0,0.0,100.0,0,0,221
42060433,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.53,-7.27,-103.06,0.0,0.0,0.0,100.0,0,0,225
42060633,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.54,-7.28,-103.07,0.0,0.0,0.0,100.0,0,0,227
42060833,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.55,-7.29,-103.06,0.0,0.0,0.0,100.0,0,0,227
42061033,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.55,-7.28,-103.06,0.0,0.0,0.0,100.0,0,0,227
42061233,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.56,-7.27,-103.06,0.0,0.0,0.0,100.0,0,0,231
42061433,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.55,-7.28,-103.06,0.0,0.0,0.0,100.0,0,0,234
42061633,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.54,-7.26,-103.04,0.0,0.0,0.0,100.0,0,0,236
42061833,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.54,-7.27,-103.02,0.0,0.0,0.0,100.0,0,0,236
42062033,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.56,-7.26,-103.02,0.0,0.0,0.0,100.0,0,0,236
42062233,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.56,-7.26,-103.03,0.0,0.0,0.0,100.0,0,0,239
42062433,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.55,-7.26,-103.04,0.0,0.0,0.0,100.0,0,0,243
42062633,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.54,-7.23,-103.06,0.0,0.0,0.0,100.0,0,0,245
