t_ms,initialized,gps_fix,satellites,hdop,gps_lat,gps_lon,gps_alt_m,est_lat,est_lon,est_alt_m,e_m,n_m,u_m,ve_mps,vn_mps,vu_mps,roll_deg,pitch_deg,yaw_deg,innov_xy_m,sigma_e_m,sigma_n_m,imu_hz,gps_updates,gps_rejects,nmea_count
5052583,0,0,0,99.0,26.03063965,119.19304657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71,-2.12,-74.59,0.0,0.0,0.0,0.0,0,0,2
5052783,1,1,9,1.98,26.03063965,119.19304657,33.9,26.03063965,119.19304657,33.9,-0.0,-0.0,0.0,-0.0,-0.001,0.0,1.68,-2.15,-74.58,0.0,3.728,3.728,0.0,1,0,5
5053018,1,1,9,1.98,26.03063965,119.19304657,33.9,26.03063965,119.19304657,33.9,-0.0,-0.0,-0.0,0.0,0.0,-0.0,1.64,-2.16,-74.57,0.0,0.64,0.64,0.0,1,0,9
5053221,1,1,9,1.98,26.03063965,119.19304657,33.9,26.03063965,119.19304657,33.9,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.61,-2.18,-74.55,0.0,0.5,0.5,0.0,1,0,9
5053421,1,1,9,1.98,26.03063965,119.19304657,33.9,26.03063965,119.19304657,33.9,-0.0,-0.0,-0.0,0.0,0.0,-0.0,1.61,-2.2,-74.53,0.0,0.5,0.5,100.7,1,0,9
5053632,1,1,9,1.29,26.03063965,119.19304657,34.0,26.03063965,119.19304657,33.9,-0.0,-0.0,-0.0,-0.0,-0.0,0.001,1.59,-2.23,-74.53,0.0,0.5,0.5,100.7,2,0,12
5053834,1,1,9,1.29,26.03063965,119.19304657,34.0,26.03063965,119.19304657,33.9,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.58,-2.25,-74.53,0.0,0.5,0.5,100.7,2,0,15
5054045,1,1,9,1.29,26.03063965,119.19304657,34.0,26.03063965,119.19304657,33.9,-0.0,-0.0,-0.0,0.0,0.0,-0.0,1.58,-2.26,-74.52,0.0,0.5,0.5,100.7,2,0,18
5054246,1,1,9,1.29,26.03063965,119.19304657,34.0,26.03063965,119.19304657,33.9,-0.0,-0.0,-0.0,0.0,0.0,0.0,1.59,-2.27,-74.5,0.0,0.5,0.5,100.7,2,0,18
5054450,1,1,9,1.29,26.03063965,119.19304657,34.0,26.03063965,119.19304657,33.9,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1.58,-2.27,-74.51,0.0,0.5,0.5,82.83,2,0,18
5054650,1,1,9,1.29,26.03063583,119.19304657,34.2,26.03063965,119.19304657,33.9,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,1.57,-2.26,-74.52,0.424,0.396,0.396,82.83,3,0,21
5054854,1,1,9,1.29,26.03063583,119.19304657,34.2,26.03063965,119.19304657,33.9,-0.0,-0.0,-0.0,0.0,0.0,-0.001,1.56,-2.27,-74.52,0.424,0.5,0.5,82.83,3,0,24
5055055,1,1,9,1.29,26.03063583,119.19304657,34.2,26.03063965,119.19304657,33.9,-0.0,-0.0,-0.0,0.0,-0.0,-0.001,1.56,-2.28,-74.5,0.424,0.5,0.5,82.83,3,0,27
5055261,1,1,9,1.29,26.03063583,119.19304657,34.2,26.03063965,119.19304657,33.9,-0.0,-0.0,-0.0,-0.0,0.0,0.0,1.55,-2.27,-74.51,0.424,0.5,0.5,82.83,3,0,27
5055466,1,1,9,1.29,26.03063583,119.19304657,34.2,26.03063965,119.19304657,33.9,-0.0,-0.0,-0.0,0.0,0.0,-0.0,1.55,-2.26,-74.5,0.424,0.5,0.5,83.73,3,0,27
5055670,1,1,9,1.29,26.03063583,119.19304657,34.4,26.03063965,119.19304657,33.9,-0.0,-0.001,-0.0,0.0,-0.0,-0.001,1.57,-2.28,-74.5,0.424,0.5,0.5,83.73,4,0,30
5055874,1,1,9,1.29,26.03063583,119.19304657,34.4,26.03063965,119.19304657,33.9,-0.0,-0.0,-0.0,-0.0,0.0,-0.001,1.56,-2.28,-74.48,0.424,0.5,0.5,83.73,4,0,33
5056074,1,1,9,1.29,26.03063583,119.19304657,34.4,26.03063965,119.19304657,33.9,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,1.56,-2.26,-74.48,0.424,0.5,0.5,83.73,4,0,36
5056275,1,1,9,1.29,26.03063583,119.19304657,34.4,26.03063965,119.19304657,33.9,-0.0,-0.0,-0.0,0.0,0.0,-0.0,1.57,-2.25,-74.47,0.424,0.5,0.5,83.73,4,0,36
5056477,1,1,9,1.29,26.03063583,119.19304657,34.4,26.03063965,119.19304657,33.9,-0.0,-0.0,-0.0,0.0,0.0,0.0,1.58,-2.25,-74.44,0.424,0.5,0.5,86.83,4,0,36
5056686,1,1,9,1.29,26.03063583,119.19303131,34.5,26.03063965,119.19304657,33.9,-0.001,-0.0,-0.0,-0.0,0.0,-0.0,1.57,-2.26,-74.47,1.584,0.5,0.5,86.83,5,0,40
5056901,1,1,9,1.29,26.03063583,119.19303131,34.5,26.03063965,119.19304657,33.9,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.56,-2.27,-74.49,1.584,0.5,0.5,86.83,5,0,43
5057103,1,1,9,1.29,26.03063583,119.19303131,34.5,26.03063965,119.19304657,33.9,-0.0,-0.0,-0.0,0.0,0.0,-0.0,1.57,-2.26,-74.49,1.584,0.5,0.5,86.83,5,0,45
5057305,1,1,9,1.29,26.03063583,119.19303131,34.5,26.03063965,119.19304657,33.9,-0.0,-0.0,-0.0,0.0,-0.0,0.0,1.56,-2.25,-74.49,1.584,0.5,0.5,86.83,5,0,45
5057512,1,1,9,1.29,26.0306282,119.19304657,34.5,26.03063965,119.19304657,33.9,-0.0,-0.0,-0.0,-0.0,0.0,0.0,1.57,-2.25,-74.47,1.584,0.5,0.5,80.76,5,0,46
5057719,1,1,9,1.98,26.0306282,119.19304657,34.8,26.03063965,119.19304657,33.9,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.56,-2.28,-74.46,1.274,0.5,0.5,80.76,6,0,49
5057927,1,1,9,1.98,26.0306282,119.19304657,34.8,26.03063965,119.19304657,33.9,-0.0,-0.0,-0.0,0.0,0.0,-0.0,1.57,-2.25,-74.49,1.274,0.5,0.5,80.76,6,0,53
5058132,1,1,9,1.98,26.0306282,119.19304657,34.8,26.03063965,119.19304657,33.9,-0.0,-0.0,-0.0,0.0,0.0,-0.0,1.58,-2.24,-74.5,1.274,0.5,0.5,80.76,6,0,54
5058335,1,1,9,1.98,26.0306282,119.19304657,34.8,26.03063965,119.19304657,33.9,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.56,-2.25,-74.5,1.274,0.5,0.5,80.76,6,0,54
5058558,1,1,9,1.98,26.0306282,119.19304657,34.8,26.03063965,119.19304657,33.9,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.55,-2.27,-74.47,1.274,0.5,0.5,82.92,6,0,56
5058765,1,1,9,1.3,26.0306282,119.19304657,35.2,26.03063965,119.19304657,33.9,-0.0,-0.001,-0.0,-0.0,0.0,-0.0,1.56,-2.26,-74.49,1.274,0.5,0.5,82.92,7,0,59
5058973,1,1,9,1.3,26.0306282,119.19304657,35.2,26.03063965,119.19304657,33.9,-0.0,-0.0,-0.0,0.0,0.0,-0.0,1.56,-2.27,-74.48,1.274,0.5,0.5,82.92,7,0,63
5059175,1,1,9,1.3,26.0306282,119.19304657,35.2,26.03063965,119.19304657,33.9,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,1.57,-2.27,-74.47,1.274,0.5,0.5,82.92,7,0,63
5059380,1,1,9,1.3,26.0306282,119.19304657,35.2,26.03063965,119.19304657,33.9,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.56,-2.27,-74.44,1.274,0.5,0.5,82.92,7,0,63
