t_ms,initialized,gps_fix,satellites,hdop,gps_lat,gps_lon,gps_alt_m,est_lat,est_lon,est_alt_m,e_m,n_m,u_m,ve_mps,vn_mps,vu_mps,roll_deg,pitch_deg,yaw_deg,innov_xy_m,sigma_e_m,sigma_n_m,imu_hz,gps_updates,gps_rejects,nmea_count
48079713,0,0,0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,-4.91,-49.39,0.0,0.0,0.0,0.0,0,0,2
48079913,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,-4.92,-49.43,0.0,0.0,0.0,0.0,0,0,5
48080113,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,-4.94,-49.43,0.0,0.0,0.0,0.0,0,0,9
48080313,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,-4.94,-49.42,0.0,0.0,0.0,0.0,0,0,9
48080513,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39,-4.96,-49.44,0.0,0.0,0.0,101.0,0,0,9
48080713,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,-4.96,-49.46,0.0,0.0,0.0,101.0,0,0,11
48080913,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41,-4.96,-49.51,0.0,0.0,0.0,101.0,0,0,14
48081113,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41,-4.96,-49.52,0.0,0.0,0.0,101.0,0,0,18
48081313,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,-4.97,-49.52,0.0,0.0,0.0,101.0,0,0,18
48081513,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41,-4.97,-49.52,0.0,0.0,0.0,100.0,0,0,18
48081713,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,-4.97,-49.53,0.0,0.0,0.0,100.0,0,0,20
48081913,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,-4.97,-49.55,0.0,0.0,0.0,100.0,0,0,23
48082113,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,-4.95,-49.57,0.0,0.0,0.0,100.0,0,0,27
48082313,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,-4.95,-49.6,0.0,0.0,0.0,100.0,0,0,27
48082513,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54,-4.86,-49.06,0.0,0.0,0.0,100.0,0,0,27
48082713,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,-4.88,-49.41,0.0,0.0,0.0,100.0,0,0,29
48082913,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,-5.11,-49.86,0.0,0.0,0.0,100.0,0,0,32
48083113,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,-5.01,-49.74,0.0,0.0,0.0,100.0,0,0,36
48083313,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-5.53,-49.78,0.0,0.0,0.0,100.0,0,0,36
48083513,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.01,7.8,-48.54,0.0,0.0,0.0,100.0,0,0,36
48083714,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.67,38.33,-45.33,0.0,0.0,0.0,100.0,0,0,38
48083923,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.48,70.79,-13.79,0.0,0.0,0.0,100.0,0,0,42
48084123,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.56,48.14,74.02,0.0,0.0,0.0,100.0,0,0,45
48084323,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.12,28.68,73.06,0.0,0.0,0.0,100.0,0,0,45
48084523,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.95,30.44,69.51,0.0,0.0,0.0,100.0,0,0,45
48084723,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-177.92,27.39,64.83,0.0,0.0,0.0,100.0,0,0,47
48084923,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-175.97,25.96,59.87,0.0,0.0,0.0,100.0,0,0,50
48085123,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.91,53.65,53.3,0.0,0.0,0.0,100.0,0,0,54
48085324,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.32,67.22,-96.94,0.0,0.0,0.0,100.0,0,0,54
48085533,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.38,33.24,-95.42,0.0,0.0,0.0,100.0,0,0,54
48085733,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.12,24.11,-86.55,0.0,0.0,0.0,100.0,0,0,56
48085933,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95,20.51,-79.93,0.0,0.0,0.0,100.0,0,0,60
48086133,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.39,15.73,-72.93,0.0,0.0,0.0,100.0,0,0,63
48086333,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58,11.54,-67.13,0.0,0.0,0.0,100.0,0,0,63
48086533,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,8.01,-62.48,0.0,0.0,0.0,100.0,0,0,63
48086733,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55,5.11,-58.75,0.0,0.0,0.0,100.0,0,0,65
48086934,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.46,2.8,-55.77,0.0,0.0,0.0,100.0,0,0,69
48087143,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,0.91,-53.33,0.0,0.0,0.0,100.0,0,0,72
48087343,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34,-0.47,-51.52,0.0,0.0,0.0,100.0,0,0,72
48087543,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32,-1.55,-50.15,0.0,0.0,0.0,100.0,0,0,72
48087743,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31,-2.36,-49.11,0.0,0.0,0.0,100.0,0,0,75
48087943,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32,-2.98,-48.27,0.0,0.0,0.0,100.0,0,0,78
48088143,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34,-3.47,-47.56,0.0,0.0,0.0,100.0,0,0,81
48088343,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37,-3.83,-47.02,0.0,0.0,0.0,100.0,0,0,81
48088543,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.39,-4.09,-46.58,0.0,0.0,0.0,100.0,0,0,81
48088743,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.41,-4.3,-46.25,0.0,0.0,0.0,100.0,0,0,84
48088943,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44,-4.45,-46.01,0.0,0.0,0.0,100.0,0,0,87
48089143,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.46,-4.55,-45.79,0.0,0.0,0.0,100.0,0,0,90
48089343,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49,-4.64,-45.61,0.0,0.0,0.0,100.0,0,0,90
48089543,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.51,-4.72,-45.46,0.0,0.0,0.0,100.0,0,0,90
48089743,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.52,-4.75,-45.37,0.0,0.0,0.0,100.0,0,0,93
48089943,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.53,-4.76,-45.26,0.0,0.0,0.0,100.0,0,0,96
48090143,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54,-4.8,-45.21,0.0,0.0,0.0,100.0,0,0,99
48090343,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54,-4.82,-45.13,0.0,0.0,0.0,100.0,0,0,99
48090543,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55,-4.83,-45.11,0.0,0.0,0.0,99.9,0,0,99
