# sample_hz,50
# duration_s,120
# sda_gpio,21
# scl_gpio,22
t_ms,ax_g,ay_g,az_g,temp_c,gx_dps,gy_dps,gz_dps
1620,-0.065674,0.006104,1.031738,43.851,0.236641,0.977099,-0.137405
1640,-0.068359,0.007813,1.022461,43.892,0.145038,1.053435,-0.053435
1660,-0.063721,0.012695,1.030029,43.859,0.282443,0.916031,-0.175573
1680,-0.059814,0.005371,1.020752,43.851,0.137405,0.969466,-0.053435
1700,-0.067871,0.011963,1.026367,43.880,0.328244,1.068702,-0.114504
1720,-0.060547,0.015137,1.018311,43.871,0.152672,0.992366,-0.114504
1740,-0.056885,0.010254,1.031982,43.854,0.335878,0.839695,-0.053435
1760,-0.066406,0.010986,1.008545,43.874,0.229008,1.106870,-0.160305
1780,-0.070801,0.002686,1.024414,43.877,0.160305,1.091603,-0.167939
1801,-0.064697,0.008301,1.021973,43.901,0.236641,1.038168,-0.190840
1820,-0.056885,0.003662,1.023926,43.892,0.206107,0.954198,-0.045802
1840,-0.062500,0.009521,1.017334,43.898,0.167939,0.977099,-0.083969
1860,-0.062744,0.005127,1.024414,43.865,0.183206,0.931298,-0.122137
1880,-0.067871,0.002686,1.026367,43.883,0.221374,0.946565,-0.106870
1900,-0.068848,0.008789,1.015625,43.883,0.229008,1.038168,-0.053435
1920,-0.065918,0.010498,1.021973,43.877,0.221374,0.916031,-0.167939
1940,-0.063965,0.006592,1.017334,43.862,0.320611,1.007634,-0.114504
1960,-0.079834,0.030273,1.016357,43.854,0.274809,0.984733,-0.015267
1980,-0.057861,0.004883,1.025879,43.886,0.145038,0.809160,-0.175573
2000,-0.066162,0.011719,1.009033,43.886,0.236641,0.908397,-0.236641
2020,-0.065674,0.008545,1.018066,43.842,0.244275,1.061069,-0.167939
2040,-0.060303,0.006348,1.031494,43.871,0.229008,0.992366,-0.091603
2060,-0.062500,0.005371,1.024414,43.886,0.290076,0.961832,-0.221374
2080,-0.070557,0.010986,1.019775,43.871,0.152672,1.007634,-0.045802
2100,-0.059814,0.011719,1.021729,43.883,0.335878,0.923664,-0.152672
2120,-0.058594,0.008545,1.026367,43.892,0.206107,0.931298,-0.137405
2140,-0.064209,0.007813,1.027344,43.854,0.122137,0.946565,-0.091603
2160,-0.057861,0.006348,1.023193,43.883,0.198473,1.091603,-0.183206
2180,-0.064453,0.015381,1.022461,43.856,0.198473,1.068702,-0.106870
2200,-0.067139,0.009766,1.025146,43.889,0.137405,1.000000,-0.114504
2220,-0.091064,0.006348,1.036865,43.874,0.091603,1.022901,-0.122137
2240,-0.074707,0.005371,1.032959,43.859,0.129771,1.122137,-0.106870
2260,-0.068848,0.017578,1.027588,43.892,0.351145,1.007634,-0.083969
2280,-0.071533,0.010742,1.019775,43.868,0.221374,1.122137,-0.145038
2300,-0.071533,0.001465,1.033691,43.848,0.213740,1.061069,-0.083969
2320,-0.058105,0.017334,1.024658,43.848,0.259542,0.992366,-0.152672
2340,-0.066162,0.005859,1.025635,43.851,0.190840,0.908397,-0.099237
2360,-0.063477,0.010498,1.023438,43.868,0.259542,0.923664,-0.297710
2380,-0.077881,0.005371,1.043457,43.904,0.213740,1.061069,-0.099237
2400,-0.060547,0.004883,1.021973,43.854,0.251908,1.091603,-0.091603
2421,-0.063721,0.009277,1.021729,43.871,0.190840,0.961832,-0.137405
2440,-0.065186,0.020508,1.023926,43.854,0.206107,0.977099,-0.061069
2460,-0.055664,0.011719,1.022217,43.886,0.251908,1.045802,-0.259542
2480,-0.062500,0.014160,1.020264,43.886,0.167939,1.007634,-0.129771
2500,-0.069580,0.016357,1.035889,43.865,0.175573,1.000000,-0.183206
2520,-0.061279,0.011963,1.022949,43.862,0.129771,1.198473,-0.175573
2540,-0.070313,0.005371,1.018311,43.877,0.145038,0.954198,-0.129771
2560,-0.067139,0.009033,1.017822,43.909,0.290076,0.954198,-0.053435
2580,-0.062988,0.008301,1.026367,43.859,0.183206,0.984733,-0.106870
2600,-0.059814,0.006348,1.022217,43.859,0.198473,0.954198,-0.129771
2620,-0.059814,0.011475,1.019287,43.871,0.259542,0.893130,-0.099237
2640,-0.055420,0.008545,1.025635,43.892,0.251908,1.015267,-0.122137
2660,-0.066406,0.010254,1.019043,43.880,0.328244,0.977099,-0.022901
2680,-0.068359,0.014648,1.030273,43.865,0.183206,0.946565,-0.198473
2700,-0.065918,0.010986,1.018555,43.898,0.213740,1.022901,-0.106870
2720,-0.063232,0.010498,1.014404,43.862,0.274809,0.885496,-0.030534
2740,-0.060303,0.011475,1.012939,43.859,0.221374,0.862595,-0.167939
2760,-0.067139,0.009033,1.027832,43.898,0.221374,0.900763,-0.099237
2781,-0.063721,0.005859,1.027344,43.877,0.145038,1.038168,-0.091603
2800,-0.064209,0.013672,1.016602,43.883,0.145038,0.977099,-0.122137
2820,-0.068848,0.003906,1.022949,43.859,0.221374,1.083969,-0.129771
2840,-0.068604,0.005127,1.010986,43.848,0.198473,0.931298,-0.213740
2860,-0.056885,0.012695,1.022949,43.862,0.213740,0.908397,-0.022901
2880,-0.063477,0.005371,1.028809,43.898,0.206107,0.885496,-0.114504
2900,-0.062012,0.007568,1.026123,43.862,0.175573,1.007634,-0.099237
2920,-0.061035,0.006592,1.025879,43.871,0.251908,1.076336,-0.206107
2940,-0.066162,0.006836,1.028564,43.874,0.290076,0.977099,-0.015267
2960,-0.063232,0.006592,1.022949,43.868,0.305344,0.938931,-0.160305
2980,-0.045166,-0.021484,1.016113,43.862,0.106870,0.900763,-0.160305
3000,-0.072754,0.006836,1.028564,43.871,0.290076,1.000000,-0.091603
3020,-0.066650,-0.000732,1.044678,43.862,0.297710,1.106870,-0.061069
3040,-0.049561,0.016357,1.022217,43.874,0.198473,0.816794,-0.122137
3060,-0.067139,0.011230,1.015625,43.871,0.160305,0.954198,-0.198473
3080,-0.063232,0.006104,1.027588,43.874,0.251908,1.083969,0.030534
3100,-0.065186,0.012207,1.024902,43.865,0.381679,1.007634,0.114504
3120,-0.063721,0.008301,1.023193,43.827,0.221374,1.053435,-0.221374
3141,-0.060059,0.006104,1.030518,43.889,0.137405,0.969466,-0.076336
3160,-0.060303,0.003906,1.024658,43.859,0.175573,0.984733,-0.106870
3180,-0.068604,0.016113,1.024902,43.874,0.267176,1.106870,-0.152672
3200,-0.070557,0.011963,1.024170,43.856,0.198473,0.961832,-0.061069
3220,-0.062256,0.006104,1.029785,43.883,0.190840,0.984733,-0.015267
3240,-0.068848,0.004639,1.024902,43.862,0.091603,1.000000,-0.152672
3260,-0.070557,0.012695,1.022461,43.868,0.145038,0.916031,-0.122137
3280,-0.064209,0.000244,1.036377,43.865,0.343511,0.961832,-0.190840
3300,-0.063721,0.010254,1.031250,43.836,0.213740,0.923664,-0.145038
3320,-0.064941,0.009277,1.024170,43.868,0.114504,0.908397,-0.122137
3340,-0.063721,0.001953,1.020752,43.859,0.312977,1.122137,-0.053435
3360,-0.061279,0.012695,1.021484,43.842,0.374046,1.015267,-0.015267
3380,-0.059814,0.011719,1.027832,43.856,0.183206,0.961832,-0.221374
3400,-0.058838,0.008057,1.020020,43.880,0.076336,0.832061,-0.198473
3420,-0.064697,0.008545,1.028320,43.892,0.274809,0.816794,0.000000
3440,-0.068115,0.014160,1.026855,43.862,0.297710,0.870229,-0.183206
3460,-0.061035,0.009277,1.024414,43.859,0.183206,0.931298,-0.129771
3480,-0.064697,0.004883,1.023682,43.851,0.374046,0.938931,-0.038168
3501,-0.070068,0.013428,1.027832,43.877,0.251908,0.977099,-0.145038
3520,-0.076660,0.012451,1.034668,43.880,0.122137,0.938931,-0.183206
3540,-0.060791,-0.005371,1.025146,43.877,0.259542,0.984733,-0.068702
3560,-0.083252,0.004395,1.025391,43.865,0.312977,1.038168,-0.099237
3580,-0.074463,0.017334,1.011230,43.842,0.183206,1.068702,-0.167939
3600,-0.071533,0.002197,1.015381,43.889,0.236641,1.015267,-0.328244
3620,-0.061768,0.003906,1.022949,43.854,0.381679,0.893130,-0.122137
3640,-0.062012,0.013672,1.030762,43.874,0.160305,0.931298,-0.030534
3660,-0.059082,0.007080,1.029053,43.854,0.167939,0.893130,-0.083969
3680,-0.058105,0.000000,1.020752,43.880,0.358779,1.068702,-0.076336
3700,-0.071289,0.012939,1.023193,43.877,0.328244,1.045802,-0.053435
3720,-0.069092,0.014160,1.023438,43.898,0.083969,1.007634,-0.190840
3740,-0.062256,0.009521,1.018311,43.892,0.175573,1.007634,-0.160305
3760,-0.068604,0.005859,1.019043,43.851,0.190840,0.931298,-0.106870
3780,-0.058594,-0.005127,1.020752,43.862,0.167939,1.015267,-0.053435
3800,-0.067139,0.015137,1.021729,43.877,0.282443,1.099237,-0.106870
3820,-0.071777,0.003174,1.013428,43.874,0.175573,0.931298,-0.137405
3840,-0.064941,0.010986,1.018311,43.877,0.244275,0.908397,-0.068702
