t_ms,initialized,gps_fix,satellites,hdop,gps_lat,gps_lon,gps_alt_m,est_lat,est_lon,est_alt_m,e_m,n_m,u_m,ve_mps,vn_mps,vu_mps,roll_deg,pitch_deg,yaw_deg,innov_xy_m,sigma_e_m,sigma_n_m,imu_hz,gps_updates,gps_rejects,nmea_count
501794,1,1,8,1.13,26.03054237,119.19304657,7.5,26.03054047,119.19304657,7.41,1.53,-1.843,-0.992,0.003,-0.095,-0.017,-0.2,-2.69,-101.33,0.221,2.137,2.137,100.4,19,0,172
502003,1,1,8,1.13,26.03054237,119.19304657,7.5,26.03054047,119.19304657,7.4,1.531,-1.863,-0.996,0.004,-0.095,-0.017,-0.2,-2.69,-101.35,0.221,2.261,2.261,100.4,19,0,176
502203,1,1,8,1.13,26.03054237,119.19304657,7.5,26.03054047,119.19304657,7.4,1.532,-1.882,-0.999,0.004,-0.094,-0.017,-0.21,-2.69,-101.36,0.221,2.388,2.388,100.4,19,0,176
502403,1,1,8,1.13,26.03054237,119.19304657,7.5,26.03054047,119.19304657,7.4,1.532,-1.901,-1.002,0.004,-0.094,-0.016,-0.21,-2.69,-101.36,0.221,2.52,2.52,100.4,19,0,176
502603,1,1,8,1.13,26.03054237,119.19304657,7.5,26.03054047,119.19304657,7.39,1.533,-1.92,-1.006,0.004,-0.093,-0.016,-0.21,-2.69,-101.36,0.221,2.659,2.659,100.4,19,0,178
502803,1,1,8,1.13,26.03054237,119.19304657,7.7,26.03054047,119.19304657,7.48,1.531,-1.841,-0.917,0.004,-0.068,-0.001,-0.21,-2.7,-101.33,0.224,2.142,2.142,99.7,20,0,181
503003,1,1,8,1.13,26.03054237,119.19304657,7.7,26.03054047,119.19304657,7.48,1.532,-1.854,-0.917,0.004,-0.068,-0.001,-0.21,-2.7,-101.33,0.224,2.261,2.261,99.7,20,0,185
503203,1,1,8,1.13,26.03054237,119.19304657,7.7,26.03054047,119.19304657,7.48,1.533,-1.868,-0.918,0.004,-0.067,-0.001,-0.23,-2.69,-101.32,0.224,2.387,2.387,99.7,20,0,185
503403,1,1,8,1.13,26.03054237,119.19304657,7.7,26.03054047,119.19304657,7.48,1.534,-1.881,-0.918,0.005,-0.067,-0.001,-0.22,-2.7,-101.33,0.224,2.52,2.52,99.7,20,0,185
503603,1,1,8,1.13,26.03054237,119.19304657,7.7,26.03054047,119.19304657,7.48,1.535,-1.895,-0.918,0.005,-0.067,-0.0,-0.22,-2.7,-101.32,0.224,2.659,2.659,99.7,20,0,187
503803,1,1,8,1.13,26.03054237,119.19304657,7.7,26.03054047,119.19304657,7.55,1.532,-1.822,-0.853,0.005,-0.045,0.01,-0.23,-2.68,-101.36,0.198,2.141,2.141,100.4,21,0,190
504004,1,1,8,1.13,26.03054237,119.19304657,7.7,26.03054047,119.19304657,7.55,1.533,-1.831,-0.851,0.005,-0.044,0.009,-0.22,-2.66,-101.35,0.198,2.261,2.261,100.4,21,0,194
504214,1,1,8,1.13,26.03054237,119.19304657,7.7,26.03054047,119.19304657,7.55,1.534,-1.84,-0.849,0.005,-0.044,0.01,-0.23,-2.67,-101.36,0.198,2.394,2.394,100.4,21,0,194
