t_ms,initialized,gps_fix,satellites,hdop,gps_lat,gps_lon,gps_alt_m,est_lat,est_lon,est_alt_m,e_m,n_m,u_m,ve_mps,vn_mps,vu_mps,roll_deg,pitch_deg,yaw_deg,innov_xy_m,sigma_e_m,sigma_n_m,imu_hz,gps_updates,gps_rejects,nmea_count
47995963,0,0,0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,-7.19,-32.14,0.0,0.0,0.0,0.0,0,0,3
47996163,0,0,0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79,-7.19,-32.14,0.0,0.0,0.0,0.0,0,0,6
47996363,0,0,0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78,-7.2,-32.14,0.0,0.0,0.0,0.0,0,0,6
47996563,0,0,0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77,-7.2,-32.14,0.0,0.0,0.0,0.0,0,0,6
47996763,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79,-7.2,-32.17,0.0,0.0,0.0,101.0,0,0,9
47996963,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79,-7.23,-32.18,0.0,0.0,0.0,101.0,0,0,12
47997163,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77,-7.23,-32.18,0.0,0.0,0.0,101.0,0,0,15
47997363,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,-7.22,-32.12,0.0,0.0,0.0,101.0,0,0,15
47997563,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,-7.23,-32.09,0.0,0.0,0.0,101.0,0,0,15
47997763,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74,-7.24,-32.05,0.0,0.0,0.0,100.0,0,0,18
47997963,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,-7.24,-32.07,0.0,0.0,0.0,100.0,0,0,21
47998163,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,-7.24,-32.06,0.0,0.0,0.0,100.0,0,0,24
47998363,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,-7.24,-32.06,0.0,0.0,0.0,100.0,0,0,24
47998563,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74,-7.24,-32.01,0.0,0.0,0.0,100.0,0,0,24
47998763,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74,-7.24,-31.98,0.0,0.0,0.0,100.0,0,0,27
47998963,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74,-7.24,-31.96,0.0,0.0,0.0,100.0,0,0,30
47999163,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,-7.24,-31.97,0.0,0.0,0.0,100.0,0,0,33
47999363,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,-7.24,-32.0,0.0,0.0,0.0,100.0,0,0,33
47999563,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,-7.23,-31.99,0.0,0.0,0.0,100.0,0,0,33
47999763,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,-7.23,-31.99,0.0,0.0,0.0,100.0,0,0,36
47999963,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74,-7.22,-32.0,0.0,0.0,0.0,100.0,0,0,39
48000163,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74,-7.24,-32.02,0.0,0.0,0.0,100.0,0,0,42
48000363,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74,-7.04,-32.01,0.0,0.0,0.0,100.0,0,0,42
48000564,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,-6.68,-31.83,0.0,0.0,0.0,100.0,0,0,42
48000773,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,-6.65,-32.67,0.0,0.0,0.0,100.0,0,0,45
48000973,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,-4.29,-32.0,0.0,0.0,0.0,100.0,0,0,48
