t,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
1589.209,1.0071,-0.0151,0.0649,0.687,1.176,0.069,41.94
1589.234,1.0039,-0.0183,0.0632,0.679,0.969,0.031,41.94
1589.259,1.0022,-0.0154,0.0632,0.679,0.847,0.145,41.75
1589.284,1.0073,-0.0198,0.0623,0.473,1.237,0.107,41.99
1589.309,1.0044,-0.0186,0.0671,0.641,1.092,-0.061,41.94
1589.334,1.0042,-0.0176,0.0586,0.573,1.298,0.031,41.71
1589.359,1.0,-0.0149,0.0654,0.565,1.16,-0.092,41.89
1589.384,1.0073,-0.0183,0.0654,0.58,1.214,0.145,41.94
1589.409,1.0059,-0.0176,0.063,0.634,1.351,0.008,41.8
1589.434,1.0054,-0.0181,0.0586,0.374,1.115,0.198,41.8
1589.459,1.0049,-0.0168,0.0601,0.389,1.092,0.137,41.99
1589.484,1.0083,-0.0159,0.0574,0.573,1.008,0.145,41.89
1589.509,1.0039,-0.0161,0.0669,0.565,0.947,0.092,41.89
1589.534,1.002,-0.0168,0.0623,0.481,1.29,-0.282,41.8
1589.559,1.0049,-0.022,0.0625,0.74,1.023,-0.183,41.8
1589.584,1.0078,-0.0171,0.0674,0.611,1.336,-0.191,41.89
1589.609,1.0061,-0.02,0.0566,0.481,1.023,-0.046,41.89
1589.634,1.0083,-0.0195,0.0605,0.786,1.008,0.13,41.94
1589.659,1.0017,-0.0195,0.0586,0.71,1.427,0.015,41.99
1589.684,1.0061,-0.0183,0.064,0.626,1.435,0.031,41.75
1589.709,1.0088,-0.0173,0.0603,0.55,1.137,0.153,41.8
1589.734,1.0061,-0.0166,0.0586,0.565,1.443,0.244,41.99
1589.759,1.0061,-0.0176,0.0625,0.511,1.099,-0.092,42.08
1589.784,1.0029,-0.0154,0.0618,0.771,1.015,0.382,41.71
1589.809,1.0054,-0.0171,0.0647,0.626,1.374,0.313,41.75
1589.834,1.0034,-0.0176,0.064,0.458,1.069,0.198,41.75
