t,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
2.351,0.9993,-0.1467,0.0542,0.695,1.107,-0.145,18.12
2.376,1.0039,-0.1482,0.0508,0.664,1.153,-0.244,18.1
2.401,1.0029,-0.1494,0.0576,0.718,1.069,-0.183,18.12
2.426,0.9995,-0.1477,0.0571,0.664,1.092,-0.237,18.12
2.451,0.9995,-0.1467,0.0601,0.656,1.046,-0.252,18.14
2.476,0.9956,-0.1475,0.0583,0.672,1.16,-0.176,18.12
2.501,0.9998,-0.1462,0.0583,0.634,1.122,-0.198,18.11
2.526,0.999,-0.1472,0.0581,0.725,1.076,-0.198,18.12
2.551,0.9951,-0.1533,0.0552,0.74,0.985,-0.252,18.12
2.576,0.9966,-0.1497,0.0513,0.695,1.099,-0.206,18.1
2.601,1.0042,-0.1531,0.0527,0.71,1.084,-0.229,18.1
2.626,1.0012,-0.1492,0.0522,0.718,1.145,-0.176,18.11
2.651,0.9983,-0.1472,0.0518,0.695,1.221,-0.328,18.14
2.676,1.0027,-0.1526,0.0535,0.611,1.244,-0.214,18.11
2.701,1.0017,-0.1479,0.0542,0.618,1.069,-0.153,18.12
2.726,0.998,-0.1514,0.0596,0.702,1.099,-0.282,18.11
2.751,0.9995,-0.147,0.0598,0.626,1.206,-0.244,18.1
2.776,1.0005,-0.1487,0.053,0.679,1.092,-0.29,18.1
2.801,1.0002,-0.1516,0.0527,0.695,1.092,-0.206,18.11
2.826,0.9995,-0.1533,0.0674,0.664,1.229,-0.252,18.09
2.851,1.0002,-0.1484,0.0591,0.656,1.061,-0.221,18.11
2.876,1.0002,-0.1489,0.0552,0.756,1.122,-0.275,18.11
2.901,1.0024,-0.1509,0.0603,0.718,1.084,-0.122,18.08
2.926,1.0017,-0.1479,0.0552,0.664,1.115,-0.29,18.08
2.951,0.9988,-0.1528,0.0527,0.687,1.084,-0.168,18.1
2.976,1.0024,-0.1528,0.0505,0.588,1.244,-0.168,18.11
3.001,0.9976,-0.1509,0.0615,0.695,1.122,-0.122,18.09
3.026,1.001,-0.1504,0.0581,0.687,1.183,-0.336,18.08
3.051,1.002,-0.1501,0.0544,0.695,1.145,-0.214,18.07
3.076,0.9995,-0.1489,0.0554,0.672,1.145,-0.198,18.1
3.101,1.0051,-0.1501,0.0583,0.656,1.168,-0.229,18.12
3.126,1.0034,-0.147,0.052,0.687,1.153,-0.298,18.1
3.151,0.9968,-0.1516,0.0564,0.74,1.122,-0.229,18.09
3.176,1.0022,-0.1477,0.0596,0.626,1.16,-0.336,18.09
3.201,0.9988,-0.1499,0.0596,0.603,1.16,-0.214,18.08
3.226,1.0007,-0.1487,0.0566,0.58,1.191,-0.267,18.08
3.251,0.9993,-0.1499,0.0593,0.641,1.107,-0.26,18.07
3.276,0.9998,-0.1509,0.0562,0.672,1.023,-0.183,18.07
3.301,0.9976,-0.1499,0.0627,0.656,1.092,-0.229,18.09
3.326,1.0029,-0.155,0.0632,0.656,1.061,-0.191,18.09
3.351,1.0042,-0.1482,0.0515,0.687,1.214,-0.29,18.07
3.376,0.9954,-0.1499,0.0557,0.618,1.069,-0.237,18.06
3.401,1.0022,-0.1492,0.0554,0.695,1.183,-0.145,18.07
3.426,1.0007,-0.1511,0.0518,0.672,1.038,-0.183,18.09
3.451,1.0039,-0.1475,0.0586,0.679,1.0,-0.229,18.06
3.476,1.0042,-0.1511,0.0588,0.718,1.183,-0.221,18.07
3.501,0.9973,-0.1494,0.0596,0.595,1.076,-0.198,18.06
3.526,1.0032,-0.1509,0.0571,0.687,1.076,-0.252,18.07
3.551,0.9995,-0.1489,0.0544,0.672,1.061,-0.252,18.06
3.576,1.0022,-0.1497,0.0605,0.664,1.145,-0.321,18.06
3.601,0.9993,-0.1509,0.0566,0.634,1.092,-0.153,18.05
3.626,1.0012,-0.1555,0.0574,0.626,1.137,-0.344,18.06
3.651,1.0007,-0.1499,0.0596,0.687,1.107,-0.198,18.05
3.676,1.002,-0.1465,0.0598,0.679,1.046,-0.198,18.06
3.701,1.0,-0.1492,0.0549,0.725,1.191,-0.229,18.04
3.726,1.0002,-0.1492,0.0554,0.649,1.206,-0.237,18.03
3.751,1.0039,-0.1516,0.0608,0.649,1.115,-0.252,18.07
3.776,1.0005,-0.1462,0.062,0.679,1.084,-0.183,18.04
3.801,1.0024,-0.1492,0.0544,0.649,1.122,-0.206,18.04
3.826,0.9993,-0.1497,0.0532,0.687,1.13,-0.183,18.06
3.851,0.9993,-0.1545,0.0525,0.641,1.115,-0.26,18.06
3.876,0.9966,-0.1501,0.054,0.656,0.916,-0.244,18.05
3.901,1.0015,-0.1458,0.0559,0.679,1.13,-0.168,18.05
3.926,1.0024,-0.1497,0.0554,0.679,1.214,-0.198,18.05
3.951,0.9983,-0.1455,0.0488,0.626,1.214,-0.183,18.06
3.976,0.9973,-0.1465,0.0566,0.611,1.168,-0.29,18.06
4.001,0.9971,-0.1504,0.0542,0.611,1.092,-0.198,18.04
4.026,1.0,-0.1514,0.0576,0.58,1.092,-0.206,18.05
4.051,1.0017,-0.1504,0.0566,0.55,1.076,-0.214,18.05
4.076,0.9976,-0.1492,0.0576,0.664,0.985,-0.313,18.02
4.101,1.0017,-0.1509,0.0547,0.71,1.099,-0.305,18.01
4.126,1.0044,-0.1484,0.0564,0.695,1.053,-0.198,18.05
4.151,1.0015,-0.1497,0.0564,0.626,1.321,-0.191,18.0
