t,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
2.326,1.0071,-0.0356,0.0649,0.618,0.977,-0.015,25.54
2.351,1.0029,-0.0354,0.0667,0.588,1.107,-0.122,25.55
2.376,1.0039,-0.0391,0.0627,0.641,1.076,-0.069,25.55
2.401,1.0054,-0.033,0.0662,0.641,1.092,-0.053,25.57
2.426,1.0046,-0.0286,0.0659,0.588,1.122,-0.053,25.56
2.451,1.0071,-0.0356,0.0667,0.634,1.084,-0.069,25.55
2.476,1.0071,-0.0312,0.0652,0.664,1.023,-0.122,25.54
2.501,1.0061,-0.0344,0.0632,0.618,1.137,-0.061,25.55
2.526,1.0085,-0.0359,0.0686,0.687,1.038,-0.137,25.56
2.551,1.0054,-0.0347,0.0667,0.595,1.031,-0.031,25.55
2.576,1.0059,-0.0347,0.0574,0.588,1.084,-0.046,25.58
2.601,1.0039,-0.0342,0.063,0.58,1.046,-0.198,25.56
2.626,1.0024,-0.0342,0.0693,0.634,1.137,-0.206,25.56
2.651,1.0046,-0.0371,0.0659,0.656,1.0,-0.084,25.56
2.676,1.0068,-0.0388,0.0688,0.71,1.107,-0.099,25.55
2.701,1.0095,-0.0374,0.0679,0.618,0.985,-0.053,25.54
2.726,1.0051,-0.0366,0.0676,0.565,1.092,-0.115,25.58
2.751,1.0085,-0.0342,0.0676,0.679,1.084,-0.092,25.54
2.776,1.0068,-0.0369,0.0671,0.58,1.092,-0.221,25.58
2.801,1.0034,-0.033,0.0635,0.618,1.069,-0.183,25.56
2.826,1.0095,-0.0352,0.0623,0.611,1.198,-0.069,25.56
2.851,1.0061,-0.0344,0.0674,0.595,1.061,-0.16,25.56
2.876,1.0085,-0.0327,0.0676,0.679,1.137,-0.038,25.57
2.901,1.0098,-0.0376,0.0645,0.618,1.023,-0.153,25.57
2.926,1.0117,-0.0298,0.0718,0.733,0.962,-0.084,25.56
2.951,1.0076,-0.0405,0.0674,0.664,1.076,0.023,25.57
2.976,1.0071,-0.0366,0.0657,0.634,1.076,-0.107,25.57
3.001,1.0044,-0.0352,0.0659,0.672,1.107,-0.084,25.58
3.026,1.0059,-0.0391,0.0598,0.618,1.061,-0.13,25.56
3.051,1.0007,-0.0334,0.0642,0.557,1.099,-0.122,25.56
3.076,1.0063,-0.0366,0.0608,0.557,1.031,-0.076,25.57
3.101,1.0076,-0.0342,0.0645,0.641,1.099,-0.122,25.56
3.126,1.0095,-0.0322,0.0618,0.664,1.061,-0.221,25.59
3.151,1.0049,-0.0376,0.0659,0.58,1.084,-0.053,25.54
3.176,1.0049,-0.0371,0.0635,0.611,1.099,-0.107,25.56
3.201,1.0061,-0.0334,0.0645,0.58,1.084,-0.069,25.56
3.226,1.0073,-0.0334,0.0684,0.603,0.962,-0.122,25.56
3.251,1.0068,-0.0342,0.0652,0.557,1.145,-0.145,25.57
3.276,1.0054,-0.0381,0.063,0.618,1.107,0.038,25.56
3.301,1.0076,-0.0371,0.0647,0.626,1.16,-0.107,25.55
3.326,1.0042,-0.0361,0.0703,0.618,1.176,-0.015,25.57
3.351,1.0044,-0.0349,0.0657,0.664,1.16,-0.137,25.57
3.376,1.0071,-0.0378,0.0667,0.618,1.076,-0.145,25.57
3.401,1.0093,-0.0349,0.064,0.634,1.13,-0.099,25.53
3.426,1.0083,-0.0349,0.0635,0.656,1.107,-0.084,25.55
3.451,1.0039,-0.0364,0.0637,0.603,1.092,0.031,25.57
