t,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
2.402,0.999,0.0088,0.1248,0.595,0.985,-0.099,43.62
2.427,0.9956,0.0039,0.1272,0.618,1.153,-0.122,43.61
2.452,0.9973,0.0061,0.1274,0.649,1.038,-0.031,43.63
2.477,0.9971,0.0056,0.1235,0.656,1.038,-0.107,43.59
2.502,1.0002,0.0022,0.1282,0.733,1.122,-0.13,43.59
2.527,0.9978,0.0063,0.1294,0.557,0.962,-0.16,43.6
2.552,1.0017,0.0056,0.1213,0.511,1.069,-0.023,43.63
2.577,0.9966,0.0032,0.1321,0.634,1.046,-0.084,43.63
2.602,1.0027,0.0024,0.123,0.603,1.107,0.0,43.62
2.627,0.9941,0.0049,0.1267,0.672,1.099,-0.176,43.6
2.652,1.0005,0.0037,0.1326,0.695,1.16,-0.092,43.59
2.677,0.9998,0.0051,0.1226,0.641,1.038,-0.076,43.62
2.702,1.0029,0.0061,0.1274,0.718,0.931,-0.107,43.62
2.727,0.9973,0.0042,0.125,0.649,1.145,-0.145,43.59
2.752,0.9971,0.0049,0.1313,0.626,1.061,-0.046,43.6
2.777,0.9971,0.009,0.1313,0.634,1.0,-0.176,43.57
2.802,0.9946,0.0066,0.1255,0.618,0.977,-0.061,43.59
2.827,0.9976,0.0059,0.1294,0.641,1.076,-0.076,43.59
2.852,0.9941,0.0054,0.1299,0.58,1.061,-0.092,43.59
2.877,0.9988,0.0049,0.1289,0.664,1.053,-0.176,43.57
2.902,0.998,0.0078,0.1304,0.573,1.008,0.046,43.62
2.927,0.9973,0.0059,0.1289,0.672,1.115,-0.092,43.61
2.952,1.002,0.0049,0.1272,0.603,1.076,-0.107,43.59
2.977,0.9978,0.0076,0.1238,0.664,1.023,-0.122,43.6
3.002,1.0002,0.0066,0.1326,0.573,0.931,-0.069,43.6
3.027,1.0002,0.0046,0.1218,0.679,0.977,-0.122,43.58
3.052,0.998,0.0081,0.1304,0.664,1.092,-0.176,43.61
3.077,1.0015,0.0066,0.1277,0.595,1.015,0.0,43.57
