t,gz_dps
1.671387,-0.099237
1.676376,-0.022901
1.681387,-0.045802
1.686376,-0.122137
1.691387,-0.061069
1.696376,-0.083969
1.701387,-0.007634
1.706376,-0.068702
1.711387,-0.061069
1.716376,-0.160305
1.721387,-0.122137
1.726376,-0.076336
1.731387,-0.076336
1.736376,0.022901
1.741387,-0.091603
1.746376,-0.137405
1.751387,-0.053435
1.756376,0.015267
1.761387,0.038168
1.766376,0.030534
1.771387,-0.091603
1.776376,-0.10687
1.781387,-0.198473
1.786376,-0.129771
1.791387,-0.091603
1.796376,-0.175573
1.801387,-0.076336
1.806376,-0.045802
1.811387,-0.10687
1.816376,-0.038168
1.821387,-0.068702
1.826376,-0.122137
1.831387,-0.160305
1.836376,-0.122137
1.841387,-0.152672
1.846376,-0.10687
1.851387,-0.022901
1.856376,-0.076336
1.861387,-0.022901
1.866376,-0.068702
1.871387,-0.10687
1.876376,-0.129771
1.881387,-0.007634
1.886376,-0.015267
1.891387,-0.076336
1.896376,0.030534
1.901387,-0.045802
1.906376,-0.122137
1.911387,-0.061069
1.916376,-0.015267
1.921387,0.0
1.926376,-0.045802
1.931387,-0.045802
1.936376,0.015267
1.941387,-0.030534
1.946376,-0.114504
1.951387,-0.099237
1.956376,-0.068702
1.961387,-0.091603
1.966376,-0.099237
1.971387,0.0
1.976376,0.015267
1.981387,-0.068702
1.986376,-0.198473
1.991387,-0.083969
1.996376,0.007634
2.001387,-0.007634
2.006376,-0.152672
2.011387,-0.129771
2.016376,-0.099237
2.021387,0.038168
2.026376,-0.015267
2.031387,-0.053435
2.036376,-0.10687
2.041387,-0.083969
2.046376,-0.068702
2.051387,-0.099237
2.056376,-0.030534
2.061387,-0.068702
2.066376,-0.091603
2.071387,-0.030534
2.076376,-0.007634
2.081387,-0.10687
2.086376,-0.198473
2.091387,-0.030534
2.096376,0.007634
2.101387,0.053435
2.106376,0.007634
2.111387,-0.114504
2.116376,-0.137405
2.121387,-0.152672
2.126376,-0.10687
2.131387,-0.045802
2.136376,-0.045802
2.141387,-0.076336
2.146376,-0.053435
2.151387,-0.053435
2.156376,-0.038168
2.161387,0.015267
2.166376,-0.129771
2.171387,-0.145038
2.176376,-0.099237
2.181387,-0.099237
2.186376,-0.122137
2.191387,-0.045802
2.196376,0.045802
2.201387,0.015267
2.206376,-0.022901
2.211387,0.030534
2.216376,-0.038168
2.221387,0.038168
2.226376,-0.053435
2.231387,-0.068702
2.236376,-0.083969
2.241387,-0.030534
2.246376,-0.068702
2.251387,-0.068702
2.256376,-0.007634
2.261387,-0.053435
2.266376,-0.061069
2.271387,-0.038168
2.276376,-0.045802
2.281387,-0.007634
2.286376,0.007634
2.291387,0.030534
2.296376,-0.022901
2.301387,-0.076336
2.306376,-0.19084
2.311387,-0.076336
2.316376,-0.022901
2.321387,-0.068702
2.326376,-0.045802
2.331387,-0.045802
2.336376,-0.145038
2.341387,-0.183206
2.346376,-0.129771
2.351387,-0.099237
2.356376,-0.10687
2.361387,0.022901
2.366376,0.007634
2.371387,-0.007634
2.376376,0.030534
2.381387,-0.030534
2.386376,0.038168
2.391387,-0.030534
2.396376,-0.091603
2.401387,-0.015267
2.406376,-0.007634
2.411387,0.0
2.416376,-0.099237
2.421387,-0.145038
2.426376,-0.053435
2.431387,-0.038168
2.436376,-0.045802
2.441387,-0.114504
2.446376,-0.145038
2.451387,-0.137405
2.456376,-0.045802
2.461387,-0.053435
2.466376,0.10687
2.471387,-0.038168
2.476376,-0.053435
2.481387,-0.076336
2.486376,-0.076336
2.491387,-0.083969
2.496376,-0.122137
2.501387,-0.091603
2.506376,-0.022901
2.511387,-0.015267
2.516376,-0.068702
2.521387,-0.030534
2.526376,0.007634
2.531387,-0.129771
2.536376,-0.152672
2.541387,-0.160305
2.546376,-0.053435
2.551387,-0.038168
2.556376,-0.083969
2.561387,-0.091603
2.566376,-0.022901
2.571387,-0.076336
2.576376,-0.061069
2.581387,-0.038168
2.586376,-0.030534
2.591387,-0.007634
2.596376,0.007634
2.601387,0.007634
2.606376,-0.045802
2.611387,-0.038168
2.616376,-0.099237
2.621387,-0.129771
2.626376,-0.091603
2.631387,-0.022901
2.636376,0.0
2.641387,-0.030534
2.646376,-0.122137
2.651387,-0.045802
2.656376,0.038168
2.661387,-0.10687
2.666376,-0.061069
2.671387,-0.076336
2.676376,-0.061069
2.681387,-0.076336
2.686376,-0.053435
2.691387,-0.061069
2.696376,-0.076336
2.701387,-0.083969
2.706376,-0.076336
2.711387,-0.045802
2.716376,-0.045802
2.721387,-0.053435
2.726376,-0.022901
2.731387,-0.099237
2.736376,-0.068702
2.741387,-0.122137
2.746376,-0.10687
2.751387,-0.152672
2.756376,-0.114504
2.761387,-0.10687
2.766376,-0.114504
2.771387,-0.122137
2.776376,-0.114504
2.781387,-0.167939
2.786376,-0.083969
2.791387,-0.068702
2.796376,-0.091603
2.801387,-0.175573
2.806376,-0.099237
2.811387,-0.045802
2.816376,-0.091603
2.821387,-0.114504
2.826376,-0.122137
2.831387,-0.007634
2.836376,-0.076336
2.841387,-0.022901
2.846376,0.045802
