t,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
2.352,0.9897,-0.0044,0.1897,0.588,1.092,-0.099,42.58
2.377,0.9868,0.0012,0.1875,0.672,1.038,-0.115,42.55
2.402,0.9907,-0.0046,0.1848,0.718,1.092,-0.092,42.57
2.427,0.9927,-0.0027,0.187,0.672,1.031,-0.13,42.55
2.452,0.9902,-0.0042,0.1777,0.641,1.115,-0.115,42.55
2.477,0.991,-0.0032,0.1858,0.618,0.985,-0.206,42.53
2.502,0.9863,-0.0068,0.1929,0.725,1.183,-0.092,42.53
2.527,0.99,-0.0046,0.1855,0.695,1.137,-0.191,42.55
2.552,0.9934,-0.0054,0.1841,0.641,1.038,-0.092,42.53
2.577,0.9875,-0.0068,0.1858,0.656,1.038,-0.038,42.54
2.602,0.9868,-0.0049,0.1875,0.626,0.977,-0.206,42.56
2.627,0.9902,-0.0022,0.1848,0.618,1.099,-0.115,42.55
2.652,0.9922,-0.0024,0.1812,0.603,1.053,-0.16,42.53
2.677,0.988,-0.0081,0.1838,0.702,1.16,0.0,42.53
2.702,0.9927,-0.0076,0.1875,0.649,0.969,0.023,42.53
2.727,0.9924,-0.0037,0.1841,0.603,1.099,-0.053,42.53
2.752,0.9912,-0.0032,0.1831,0.733,1.0,-0.031,42.52
2.777,0.9932,-0.0076,0.1836,0.679,1.023,-0.137,42.53
2.802,0.9883,-0.0081,0.1892,0.58,1.076,-0.137,42.54
2.827,0.991,-0.0039,0.1899,0.588,1.053,-0.099,42.53
2.852,0.9846,-0.0076,0.1787,0.695,1.023,-0.053,42.51
2.877,0.9888,-0.0071,0.1841,0.573,1.076,-0.038,42.53
2.902,0.99,-0.0039,0.1853,0.595,0.939,0.0,42.52
2.927,0.9934,-0.0034,0.189,0.672,1.038,-0.076,42.54
2.952,0.9915,-0.0049,0.1868,0.679,1.031,-0.046,42.56
2.977,0.991,-0.002,0.1853,0.626,1.107,0.015,42.53
3.002,0.9893,-0.0015,0.1812,0.588,1.13,-0.122,42.51
3.027,0.9907,-0.0056,0.1855,0.626,1.023,-0.084,42.54
3.052,0.9902,-0.0034,0.1833,0.626,1.038,-0.13,42.53
3.077,0.9885,-0.0056,0.1868,0.702,1.038,-0.206,42.53
3.102,0.9863,-0.0037,0.1865,0.595,1.038,-0.023,42.49
3.127,0.9919,-0.0039,0.1853,0.634,1.122,-0.137,42.52
3.152,0.9897,-0.0068,0.1897,0.756,1.038,-0.145,42.53
3.177,0.99,-0.0049,0.1836,0.611,1.13,-0.023,42.54
3.202,0.9902,-0.0066,0.1875,0.611,1.023,-0.099,42.53
3.227,0.9868,-0.0037,0.1902,0.641,0.947,-0.099,42.51
3.252,0.9905,-0.0051,0.1851,0.611,1.031,-0.137,42.54
3.277,0.9939,-0.0056,0.1887,0.664,1.069,-0.092,42.53
3.302,0.9902,-0.0032,0.1863,0.702,0.939,-0.153,42.54
3.327,0.988,-0.0042,0.1863,0.687,1.069,-0.122,42.54
3.352,0.9905,-0.0049,0.1909,0.649,0.992,-0.107,42.54
3.377,0.9946,-0.0039,0.1877,0.611,0.985,-0.16,42.53
3.402,0.9871,-0.0081,0.1865,0.718,1.122,-0.092,42.54
3.427,0.9966,-0.0034,0.1885,0.634,1.008,-0.252,42.52
3.452,0.9907,-0.0039,0.1824,0.687,1.183,-0.153,42.53
3.477,0.99,-0.0066,0.1833,0.695,1.115,-0.076,42.51
3.502,0.9937,-0.0034,0.1865,0.695,1.008,-0.076,42.54
3.527,0.9924,-0.0051,0.1807,0.634,1.061,-0.122,42.54
3.552,0.9902,-0.0063,0.187,0.679,1.038,-0.076,42.54
3.577,0.9863,-0.002,0.1831,0.649,1.153,-0.145,42.55
3.602,0.9922,-0.0046,0.1895,0.634,0.985,-0.092,42.54
3.627,0.9915,-0.0024,0.1831,0.763,1.16,-0.115,42.53
3.652,0.988,-0.0022,0.1875,0.603,1.069,-0.137,42.52
3.677,0.9924,-0.0027,0.1868,0.595,1.145,-0.13,42.52
3.702,0.9868,-0.0081,0.1882,0.634,1.069,-0.061,42.54
3.727,0.9929,-0.0029,0.1863,0.634,0.992,-0.053,42.55
3.752,0.9915,-0.0076,0.1838,0.611,1.061,-0.053,42.54
3.777,0.9915,-0.0059,0.1797,0.664,1.015,-0.061,42.54
3.802,0.9878,0.0012,0.1924,0.634,1.092,-0.038,42.51
3.827,0.9956,-0.0002,0.1829,0.664,1.107,-0.168,42.53
3.852,0.9934,-0.0063,0.1794,0.702,1.038,-0.107,42.53
3.877,0.9897,-0.0042,0.1812,0.718,0.962,-0.107,42.55
3.902,0.9941,-0.0073,0.189,0.702,0.924,-0.122,42.52
3.927,0.9895,0.0005,0.1865,0.603,1.069,-0.137,42.54
3.952,0.9905,-0.0046,0.1838,0.672,1.023,-0.069,42.51
3.977,0.9912,-0.0044,0.1853,0.588,1.084,-0.145,42.53
4.002,0.9878,-0.0037,0.1865,0.649,0.985,-0.053,42.52
4.027,0.9888,-0.0093,0.1833,0.656,0.954,-0.115,42.52
4.052,0.9919,-0.0049,0.1868,0.58,1.084,0.0,42.53
4.077,0.9895,-0.0015,0.1921,0.695,1.0,0.008,42.54
4.102,0.9946,-0.0037,0.1838,0.656,1.038,-0.061,42.54
4.127,0.9946,-0.0027,0.1841,0.58,0.947,-0.206,42.52
4.152,0.99,-0.001,0.1868,0.618,1.053,-0.061,42.55
4.177,0.99,-0.002,0.179,0.656,1.099,-0.145,42.55
4.202,0.9868,-0.0046,0.1841,0.626,1.13,0.0,42.56
4.227,0.9929,-0.0034,0.186,0.679,1.137,-0.107,42.55
4.252,0.9937,-0.0046,0.186,0.71,1.008,-0.084,42.56
4.277,0.9924,-0.0081,0.1821,0.649,1.191,-0.069,42.54
