# purpose,attitude fusion experiment
# label,level_static
# sample_hz,50
# duration_s,60
# sda_gpio,21
# scl_gpio,22
# wifi,off
t_ms,label,ax_g,ay_g,az_g,temp_c,gx_dps,gy_dps,gz_dps,mx_raw,my_raw,mz_raw
1260,level_static,-0.034668,0.013184,1.030029,43.712,0.312977,0.992366,-0.122137,222,208,259
1280,level_static,-0.031494,0.015137,1.029541,43.730,0.183206,0.931298,-0.083969,222,208,259
1300,level_static,-0.030518,0.013672,1.023438,43.742,0.190840,0.954198,-0.045802,222,208,259
1320,level_static,-0.034180,0.015381,1.023926,43.727,0.145038,0.946565,-0.145038,223,208,260
1340,level_static,-0.034180,0.013672,1.021729,43.730,0.259542,0.824428,-0.061069,223,208,260
1360,level_static,-0.031982,0.010010,1.019287,43.715,0.274809,0.885496,-0.206107,223,208,260
1380,level_static,-0.033691,0.016113,1.020264,43.712,0.229008,1.022901,-0.083969,223,208,260
1400,level_static,-0.030273,0.013184,1.021973,43.706,0.251908,0.969466,-0.045802,223,208,260
1420,level_static,-0.035889,0.015625,1.021240,43.715,0.167939,1.045802,-0.083969,223,208,260
1440,level_static,-0.033691,0.017578,1.020264,43.706,0.213740,0.908397,0.000000,223,208,260
1460,level_static,-0.031006,0.015869,1.026611,43.736,0.206107,0.977099,-0.106870,223,208,261
1480,level_static,-0.033203,0.012939,1.024902,43.742,0.160305,0.885496,-0.137405,223,208,261
1500,level_static,-0.031982,0.015625,1.022949,43.689,0.282443,0.832061,-0.267176,223,208,261
1520,level_static,-0.033203,0.016113,1.029053,43.724,0.221374,1.015267,-0.030534,222,207,260
1540,level_static,-0.031982,0.012939,1.031494,43.724,0.236641,0.969466,-0.160305,222,207,260
1560,level_static,-0.032715,0.017090,1.025146,43.727,0.251908,0.893130,-0.106870,222,207,260
1580,level_static,-0.033936,0.016846,1.024414,43.721,0.137405,1.007634,-0.083969,223,208,259
1600,level_static,-0.035156,0.019531,1.031006,43.759,0.267176,0.885496,-0.068702,223,208,259
1620,level_static,-0.034912,0.012451,1.024902,43.748,0.229008,0.931298,-0.038168,223,208,259
1640,level_static,-0.035156,0.010986,1.027832,43.721,0.229008,1.000000,-0.152672,223,208,259
1660,level_static,-0.032227,0.013916,1.026123,43.739,0.206107,0.961832,-0.183206,224,208,259
1680,level_static,-0.033447,0.017090,1.020508,43.718,0.244275,0.969466,-0.175573,224,208,259
1700,level_static,-0.032471,0.012695,1.019775,43.754,0.160305,0.992366,-0.114504,224,208,259
1720,level_static,-0.032715,0.009033,1.025146,43.727,0.251908,0.961832,-0.038168,223,207,260
1741,level_static,-0.032227,0.011719,1.028564,43.727,0.274809,0.931298,-0.137405,223,207,260
1760,level_static,-0.034668,0.016357,1.028076,43.739,0.221374,0.977099,-0.053435,223,207,260
1780,level_static,-0.032715,0.009033,1.016357,43.712,0.167939,0.931298,-0.213740,222,208,261
1800,level_static,-0.029053,0.015869,1.022705,43.736,0.251908,0.938931,-0.114504,222,208,261
1820,level_static,-0.032227,0.009521,1.022217,43.686,0.251908,0.870229,-0.015267,222,208,261
1840,level_static,-0.033203,0.014160,1.024170,43.745,0.206107,0.839695,-0.122137,222,208,261
1860,level_static,-0.033203,0.014404,1.021240,43.712,0.335878,1.083969,-0.114504,222,208,260
1880,level_static,-0.031250,0.015869,1.025879,43.739,0.175573,1.015267,-0.145038,222,208,260
1900,level_static,-0.030029,0.020752,1.030518,43.706,0.251908,1.015267,-0.129771,222,208,260
1920,level_static,-0.033691,0.012695,1.028076,43.721,0.251908,0.748092,-0.061069,223,208,259
1940,level_static,-0.033691,0.014893,1.024170,43.727,0.244275,0.908397,-0.236641,223,208,259
1960,level_static,-0.036133,0.016846,1.023193,43.730,0.305344,0.923664,-0.099237,223,208,259
1980,level_static,-0.030273,0.015137,1.025635,43.724,0.259542,0.908397,-0.068702,223,207,260
2000,level_static,-0.032227,0.013916,1.025391,43.745,0.198473,0.954198,-0.206107,223,207,260
2020,level_static,-0.033447,0.014404,1.021973,43.727,0.206107,1.045802,-0.183206,223,207,260
2040,level_static,-0.033691,0.011719,1.030273,43.724,0.282443,0.916031,-0.137405,223,207,260
2060,level_static,-0.031494,0.011230,1.022217,43.721,0.335878,0.893130,-0.083969,223,207,260
2080,level_static,-0.031494,0.012695,1.024658,43.709,0.328244,0.954198,-0.221374,223,207,260
2100,level_static,-0.036377,0.014648,1.030518,43.721,0.167939,0.954198,-0.160305,223,207,260
2120,level_static,-0.032959,0.010986,1.025635,43.712,0.160305,1.015267,-0.137405,223,207,261
2140,level_static,-0.033447,0.018311,1.019531,43.698,0.267176,0.931298,-0.122137,223,207,261
2160,level_static,-0.036377,0.016113,1.024902,43.695,0.183206,1.076336,-0.083969,223,207,261
2181,level_static,-0.027344,0.014893,1.019287,43.706,0.259542,0.778626,-0.076336,223,207,260
2200,level_static,-0.032959,0.016846,1.028809,43.724,0.213740,1.091603,-0.068702,223,207,260
2220,level_static,-0.037842,0.013916,1.025146,43.712,0.206107,0.893130,-0.145038,223,207,260
2240,level_static,-0.032227,0.011963,1.025146,43.736,0.160305,0.938931,-0.068702,223,207,260
2260,level_static,-0.033936,0.017090,1.025146,43.706,0.167939,1.083969,-0.007634,223,207,259
2280,level_static,-0.034180,0.016113,1.017578,43.704,0.198473,0.885496,-0.183206,223,207,259
2300,level_static,-0.034912,0.018311,1.023193,43.715,0.259542,0.954198,-0.106870,223,207,259
2320,level_static,-0.032471,0.016113,1.023193,43.715,0.206107,0.885496,-0.007634,223,206,260
2340,level_static,-0.032959,0.014648,1.021484,43.721,0.198473,0.969466,-0.114504,223,206,260
2360,level_static,-0.031006,0.016357,1.026855,43.739,0.244275,1.015267,-0.114504,223,206,260
2380,level_static,-0.035400,0.018555,1.027588,43.736,0.282443,1.106870,-0.137405,223,206,260
2400,level_static,-0.033447,0.016602,1.021484,43.727,0.251908,1.030534,-0.022901,223,206,260
2420,level_static,-0.032471,0.014648,1.020752,43.689,0.160305,1.038168,-0.091603,223,206,260
2440,level_static,-0.036133,0.013184,1.021240,43.727,0.229008,1.000000,-0.198473,223,206,260
2460,level_static,-0.028320,0.014160,1.024658,43.727,0.259542,0.946565,-0.030534,223,208,260
2480,level_static,-0.034668,0.012695,1.029053,43.745,0.282443,0.946565,-0.099237,223,208,260
2500,level_static,-0.033203,0.013672,1.027832,43.718,0.251908,0.809160,-0.030534,223,208,260
2520,level_static,-0.034424,0.014404,1.027100,43.701,0.206107,0.961832,-0.061069,223,207,261
2540,level_static,-0.031494,0.011719,1.024902,43.709,0.236641,0.900763,-0.061069,223,207,261
2561,level_static,-0.030273,0.016602,1.025635,43.698,0.267176,0.839695,-0.030534,223,207,261
2580,level_static,-0.037354,0.015381,1.025391,43.706,0.267176,0.824428,-0.038168,223,207,261
2600,level_static,-0.036133,0.014893,1.031494,43.727,0.198473,0.885496,-0.099237,222,206,259
2621,level_static,-0.033203,0.012695,1.023682,43.715,0.213740,1.038168,-0.076336,222,206,259
2640,level_static,-0.035400,0.014160,1.024414,43.704,0.206107,1.007634,-0.045802,222,206,259
2660,level_static,-0.033203,0.010986,1.019531,43.748,0.221374,0.992366,-0.221374,223,208,260
2680,level_static,-0.035889,0.013184,1.022217,43.736,0.137405,0.954198,-0.106870,223,208,260
2700,level_static,-0.031006,0.014648,1.026855,43.724,0.175573,1.015267,-0.083969,223,208,260
2720,level_static,-0.036865,0.012939,1.019043,43.724,0.229008,0.809160,-0.137405,223,207,261
2740,level_static,-0.034424,0.017822,1.026855,43.712,0.167939,0.900763,-0.068702,223,207,261
2760,level_static,-0.034424,0.011719,1.020264,43.695,0.198473,1.000000,-0.206107,223,207,261
2780,level_static,-0.036621,0.014893,1.020020,43.730,0.335878,0.992366,-0.061069,223,207,261
2800,level_static,-0.028076,0.014404,1.023926,43.730,0.183206,1.061069,-0.053435,222,207,260
2820,level_static,-0.032959,0.016357,1.031006,43.730,0.229008,1.000000,-0.076336,222,207,260
2840,level_static,-0.035156,0.014893,1.029053,43.715,0.229008,0.900763,-0.206107,222,207,260
2860,level_static,-0.032715,0.016113,1.018555,43.727,0.221374,0.946565,-0.068702,223,207,261
2880,level_static,-0.031982,0.009521,1.022461,43.733,0.351145,0.977099,-0.053435,223,207,261
2900,level_static,-0.028320,0.014160,1.019775,43.698,0.229008,0.885496,-0.114504,223,207,261
2921,level_static,-0.034424,0.017578,1.024170,43.701,0.282443,1.000000,-0.129771,224,207,259
2940,level_static,-0.030273,0.014893,1.032959,43.730,0.290076,0.946565,-0.076336,224,207,259
2960,level_static,-0.033691,0.018555,1.024902,43.727,0.290076,0.969466,-0.152672,224,207,259
2981,level_static,-0.034912,0.016357,1.019531,43.751,0.236641,0.778626,-0.038168,224,207,259
3000,level_static,-0.034424,0.013672,1.014160,43.721,0.251908,0.916031,-0.091603,223,208,260
3020,level_static,-0.031006,0.017578,1.019775,43.698,0.267176,0.961832,-0.114504,223,208,260
3040,level_static,-0.027344,0.018311,1.024658,43.689,0.198473,0.931298,-0.160305,223,208,260
3060,level_static,-0.031006,0.015381,1.027588,43.712,0.274809,0.923664,-0.038168,222,207,260
3080,level_static,-0.031982,0.013916,1.021973,43.718,0.190840,0.885496,-0.122137,222,207,260
3100,level_static,-0.033447,0.014893,1.021240,43.674,0.183206,0.984733,-0.007634,222,207,260
3120,level_static,-0.031494,0.016357,1.023926,43.742,0.244275,0.977099,-0.083969,223,208,260
3140,level_static,-0.033203,0.012939,1.021240,43.709,0.244275,0.839695,-0.022901,223,208,260
3160,level_static,-0.030518,0.016846,1.024170,43.721,0.282443,0.961832,-0.137405,223,208,260
3180,level_static,-0.032227,0.015869,1.025146,43.706,0.244275,0.969466,-0.145038,223,208,260
3200,level_static,-0.035400,0.013672,1.019287,43.721,0.290076,1.099237,-0.145038,223,207,260
3220,level_static,-0.032471,0.018311,1.026855,43.718,0.229008,1.030534,-0.106870,223,207,260
3240,level_static,-0.031494,0.014648,1.026123,43.751,0.282443,0.938931,-0.022901,223,207,260
3260,level_static,-0.032471,0.014404,1.019775,43.724,0.206107,0.893130,-0.030534,223,208,259
3280,level_static,-0.028076,0.016113,1.022461,43.704,0.312977,0.793893,-0.160305,223,208,259
3301,level_static,-0.032227,0.018066,1.020264,43.718,0.259542,0.946565,-0.099237,223,208,259
3320,level_static,-0.034180,0.014160,1.018799,43.745,0.297710,0.862595,-0.106870,223,208,259
3340,level_static,-0.032959,0.011719,1.032715,43.745,0.213740,0.854962,-0.038168,223,206,260
3361,level_static,-0.031006,0.015137,1.022461,43.724,0.213740,0.931298,-0.099237,223,206,260
3380,level_static,-0.035645,0.016113,1.025391,43.756,0.259542,0.961832,-0.167939,223,206,260
3400,level_static,-0.035400,0.014893,1.020020,43.739,0.335878,1.007634,0.030534,222,209,258
3420,level_static,-0.034668,0.012939,1.020752,43.724,0.297710,0.916031,-0.137405,222,209,258
3440,level_static,-0.035156,0.016113,1.016357,43.718,0.282443,0.877863,0.045802,222,209,258
3460,level_static,-0.027100,0.012939,1.024170,43.727,0.198473,0.923664,-0.129771,223,208,258
3480,level_static,-0.033691,0.015137,1.028076,43.727,0.190840,0.938931,-0.190840,223,208,258
3500,level_static,-0.032959,0.014893,1.024414,43.683,0.290076,0.854962,-0.061069,223,208,258
3520,level_static,-0.034180,0.014160,1.027588,43.724,0.236641,1.015267,-0.015267,223,208,258
3540,level_static,-0.033936,0.014404,1.025635,43.721,0.259542,0.908397,0.038168,223,208,260
3560,level_static,-0.035400,0.014893,1.026855,43.742,0.175573,0.954198,-0.114504,223,208,260
3580,level_static,-0.030273,0.011475,1.023682,43.718,0.229008,0.961832,-0.061069,223,208,260
3600,level_static,-0.034912,0.013672,1.019531,43.704,0.267176,0.954198,0.007634,223,208,260
3620,level_static,-0.033691,0.015381,1.022461,43.727,0.297710,0.946565,-0.083969,223,208,260
3640,level_static,-0.031494,0.014648,1.027344,43.733,0.152672,0.908397,-0.038168,223,208,260
3660,level_static,-0.031982,0.013184,1.025635,43.730,0.190840,0.984733,-0.038168,223,207,261
3680,level_static,-0.034180,0.015869,1.025146,43.701,0.213740,0.923664,-0.160305,223,207,261
3700,level_static,-0.032227,0.016357,1.021729,43.715,0.183206,0.877863,0.015267,223,207,261
3720,level_static,-0.034912,0.010498,1.012939,43.715,0.251908,0.893130,-0.038168,223,207,261
3741,level_static,-0.029053,0.015869,1.027832,43.715,0.244275,0.961832,0.000000,222,208,259
3760,level_static,-0.031982,0.016113,1.023682,43.721,0.190840,0.992366,-0.183206,222,208,259
3780,level_static,-0.031006,0.012695,1.033936,43.724,0.221374,0.984733,0.022901,222,208,259
3801,level_static,-0.034424,0.012695,1.021240,43.730,0.213740,0.900763,-0.183206,222,207,259
3820,level_static,-0.029785,0.010742,1.018799,43.712,0.167939,0.969466,-0.106870,222,207,259
3840,level_static,-0.035889,0.014160,1.030762,43.724,0.305344,0.832061,-0.106870,222,207,259
3861,level_static,-0.036133,0.012695,1.023438,43.695,0.229008,0.877863,-0.129771,223,207,261
3880,level_static,-0.032715,0.015381,1.022949,43.704,0.244275,1.030534,-0.030534,223,207,261
3900,level_static,-0.030273,0.017090,1.020752,43.727,0.236641,0.954198,-0.007634,223,207,261
3920,level_static,-0.033203,0.013184,1.020264,43.745,0.244275,0.938931,-0.160305,223,207,261
3940,level_static,-0.028809,0.011719,1.027344,43.724,0.290076,0.931298,-0.083969,223,209,259
3960,level_static,-0.036621,0.016113,1.023926,43.715,0.236641,0.916031,-0.229008,223,209,259
3980,level_static,-0.031006,0.017334,1.026855,43.727,0.267176,0.954198,-0.076336,223,209,259
4000,level_static,-0.032471,0.013916,1.024658,43.709,0.244275,0.893130,-0.091603,223,207,260
4020,level_static,-0.030273,0.015381,1.029785,43.715,0.229008,0.938931,-0.106870,223,207,260
