t_s,gps_updated,gps_usable,gps_lat,gps_lon,gps_alt_m,est_lat,est_lon,est_alt_m,e_m,n_m,u_m,ve_mps,vn_mps,vu_mps,roll_deg,pitch_deg,yaw_deg,pos_innov_xy_m,vel_innov_xy_m,sigma_e_m,sigma_n_m,sigma_u_m,sigma_ve_mps,sigma_vn_mps,sigma_vu_mps,pos_updates,vel_updates,rejects,satellites,hdop
0.0,1,1,26.03039169,119.19304657,36.2,26.03039169,119.19304657,36.20000001033876,-1.306913473917794e-11,9.455732236905336e-12,1.0338761908965767e-08,-3.669399719117703e-08,2.654870571510774e-08,3.360938052364402e-05,-1.5171009403468116,-7.074026852246617,59.450821764168815,2.2645547572470007e-11,0.0,4.219985331942576,4.219985331942576,7.8436648338602755,2.0000904466989344,2.000090443526538,3.000059949857155,1,0,0,5,2.81
0.11599999999998545,0,0,nan,nan,0.0,26.030391689987514,119.19304657241614,36.199973551738836,0.0002416784367481157,-1.3898866212708615e-06,-2.644826116847979e-05,0.004166906518433066,-2.399027417128878e-05,-0.0004897921379441969,-1.5171636935240866,-7.076279392889731,59.44482944458147,2.2645547572470007e-11,0.0,4.226442063156663,4.226442063136462,7.851465969348958,2.0171774941960927,2.0171560170058296,3.0070445901055023,1,0,0,0,99.0
0.3079999999999927,0,0,nan,nan,0.0,26.03039168834262,119.19304658613089,36.19891277203786,0.0016135296550248274,-0.00018449860655379876,-0.0010872279621472582,0.010123210338615471,-0.0018833922251258043,-0.010559996413917661,-1.5291324566921525,-7.066472418431699,59.44784510381642,2.2645547572470007e-11,0.0,4.265229836464923,4.265229456157237,7.898225685700954,2.073083858465144,2.0729611466877214,3.0187112797458413,1,0,0,0,99.0
0.4199999999999875,0,0,nan,nan,0.0,26.03039168587104,119.1930465985974,36.19779590040319,0.0028605235217634356,-0.00045963317314571997,-0.0022040995968110695,0.012144537281717858,-0.0030297250354444465,-0.009384139919365608,-1.5390164663051065,-7.066672539440522,59.45234826847965,2.2645547572470007e-11,0.0,4.304372970501281,4.304370791878253,7.944830655086985,2.1210066105073393,2.1207693352124455,3.025577334396812,1,0,0,0,99.0
0.5339999999999918,0,0,nan,nan,0.0,26.030391682026924,119.193046610332,36.19676093410235,0.00403430481517007,-0.0008875586782787352,-0.003239065897654099,0.00844811698857319,-0.00447773996688887,-0.008773163604195628,-1.5499431322762711,-7.067553754808325,59.463971593515645,2.2645547572470007e-11,0.0,4.3572081477735845,4.357200899977389,8.006698587652787,2.1804164187423036,2.1799183569132534,3.032611153997073,1,0,0,0,99.0
0.6440000000000055,0,0,nan,nan,0.0,26.030391678974226,119.19304662085133,36.19608555143407,0.005086525211141457,-0.0012273833469046624,-0.003914448565937639,0.010683162938176928,-0.0017008903717635822,-0.0035065212736853915,-1.5575540025100623,-7.073347427642153,59.4787044181307,2.2645547572470007e-11,0.0,4.421081551198422,4.421062111857499,8.079950112616975,2.2475489036304617,2.2467731670246276,3.039441837935018,1,0,0,0,99.0
0.7539999999999907,0,0,nan,nan,0.0,26.03039167617454,119.19304663221614,36.19579483355365,0.00622331701745911,-0.0015390430276018923,-0.004205166446351293,0.009985778994874068,-0.0039656492772777215,-0.00177925837019995,-1.564264353951322,-7.055160165676651,59.479240591620396,2.2645547572470007e-11,0.0,4.498128841250393,4.498085935370932,8.166216101243533,2.322875432499803,2.321854692163273,3.0463148496002606,1,0,0,0,99.0
0.8580000000000041,1,1,26.03037071,119.19304657,36.2,26.030386361427542,119.19304662514034,36.196885570424456,0.005515544377068891,-0.5931739725010693,-0.003114429575548687,0.008435726811967267,-0.11739796515173233,-0.002586306821111846,-1.622495691412963,-7.137333167031179,59.43567393749462,2.3336083103168184,0.0,3.9605618249117724,3.9605111674724793,6.9150118426925875,2.359002070642132,2.35761441662786,3.0083480081399894,2,0,0,5,2.81
0.97199999999998,1,1,26.03037071,119.19304657,36.3,26.030382961253846,119.19304662079423,36.22096285579527,0.005080813715597991,-0.9716795769275803,0.020962855795265054,0.004696367158203884,-0.20221780101918801,-0.001334028795211972,-1.6752578095812873,-7.194321404639067,59.412560101512774,1.7288449929301766,0.0,3.602576660635209,3.6025025201465946,6.128089296436046,2.4148215248191893,2.4130741073961235,2.9814578128147944,3,0,0,5,2.8
1.0879999999999939,0,0,nan,nan,0.0,26.03038275157597,119.19304662550539,36.22104884414143,0.005552058844254275,-0.995020811125202,0.02104884414142576,0.0034285488531103957,-0.20021727135355175,0.00281658648763777,-1.6779279350039182,-7.182033804350538,59.42043282519987,1.7288449929301766,0.0,3.707278192846983,3.7071240656886872,6.2313611868701235,2.5171170463053607,2.514940003200974,2.989021508072238,3,0,0,0,99.0
1.1980000000000075,0,0,nan,nan,0.0,26.03038255176892,119.19304662811604,36.22135661906061,0.005813195772461029,-1.017263230443329,0.02135661906060629,0.0013193952961027223,-0.20419035261234256,0.0027793211338257334,-1.6851233400572316,-7.180992763375965,59.43837124845106,1.7288449929301766,0.0,3.826159845760627,3.8258911232475477,6.3452253999936685,2.619465925885623,2.617071611639306,2.996237200958341,3,0,0,0,99.0
1.3149999999999977,0,0,nan,nan,0.0,26.030382337815315,119.19304662859517,36.222116197567786,0.005861121876052523,-1.041080436952916,0.02211619756778637,-0.0005001456620600385,-0.20294138259431171,0.010204926852159618,-1.687737235402048,-7.1782377564195485,59.452895512149134,1.7288449929301766,0.0,3.973951678071307,3.973521779082941,6.482521745700992,2.7348448346151697,2.7320076346115143,3.0039577088623566,3,0,0,0,99.0
1.4559999999999889,0,0,nan,nan,0.0,26.030382081524287,119.19304662485958,36.22356537123069,0.005487460007750714,-1.0696106234947937,0.02356537123069009,-0.004800022682646803,-0.20174211445362408,0.010350727940802244,-1.7044149404247932,-7.157787613244949,59.46663120079623,1.7288449929301766,0.0,4.181444288828906,4.180753211784002,6.668834670489936,2.8798057777431896,2.8763745047846565,3.0133243857857317,3,0,0,0,99.0
1.563999999999993,0,0,nan,nan,0.0,26.030381883944532,119.19304661808141,36.224925508075884,0.004809458277099554,-1.0916051010543195,0.024925508075879878,-0.007755564922003831,-0.20556302553757844,0.014836991414563256,-1.7055229518868198,-7.163403393008916,59.48277546426056,1.7288449929301766,0.0,4.363471434289572,4.3625180803835,6.825967318445233,2.995483848464227,2.991817799164577,3.0205449263169037,3,0,0,0,99.0
1.6740000000000066,0,0,nan,nan,0.0,26.030381678977264,119.19304660829967,36.22645439833428,0.0038310153344726806,-1.1144219530518071,0.02645439833427747,-0.01003430676211894,-0.20928882896214565,0.01296101328357135,-1.7148660949877732,-7.149839234247886,59.4977958942613,1.7288449929301766,0.0,4.569086631973477,4.567821683961174,6.998011589397555,3.116101847447407,3.112242597291787,3.0279399396880047,3,0,0,0,99.0
1.7779999999999916,0,0,nan,nan,0.0,26.030381484830887,119.19304659550157,36.2278215073681,0.002550854815975011,-1.1360342291270358,0.027821507368094144,-0.014584164747455181,-0.20633186479231305,0.013329545059060798,-1.721349605164448,-7.146916147135381,59.49948024755311,1.7288449929301766,0.0,4.782451670887632,4.780853419351688,7.171100766218056,3.233574187703128,3.229116740862249,3.034969017514474,3,0,0,0,99.0
1.8839999999999861,1,1,26.03035927,119.19304657,36.3,26.03037489344714,119.19304661139269,36.24711369156037,0.004140402032768734,-1.8697837113150333,0.04711369156036896,-0.00984445585748354,-0.5349643329331705,0.015872707843637084,-1.958463794576626,-7.543808828625786,59.28545006723735,2.4512945032089273,0.0,4.226804388253697,4.225610124325285,6.353455360836117,3.107530371754053,3.103272823559483,2.903510086240046,4,0,0,5,2.8
1.9979999999999905,1,1,26.03035927,119.19304657,36.3,26.030370659298665,119.19304660536906,36.25983449131307,0.003537874723572687,-2.341126963599499,0.0598344913130678,-0.021186482891951065,-0.739453385342985,0.02082633263538205,-2.112123078124614,-7.777718673568481,59.155845226405575,1.677986878383758,0.0,3.8770677043568105,3.8760248835493685,5.8023573118384535,3.052075012228713,3.0478218602872222,2.809630624279035,5,0,0,5,2.8
2.1140000000000043,0,0,nan,nan,0.0,26.03036988554201,119.19304657037806,36.26263871005494,3.781567161558353e-05,-2.4272611600046585,0.062638710054936,-0.03915936283144006,-0.7456189664699316,0.027522266362339842,-2.11744005396814,-7.7648982508777395,59.15730265961268,1.677986878383758,0.0,4.106706258524024,4.105269700717054,5.979607321133739,3.184608330423495,3.1799512030536174,2.8181864270818373,5,0,0,0,99.0
2.227000000000004,0,0,nan,nan,0.0,26.030369127069243,119.19304651843409,36.26572015225064,-0.0051580046004940485,-2.5116939623992223,0.06572015225063253,-0.05280205791386354,-0.748766916619695,0.027016533561492768,-2.1219044816310526,-7.773476364237102,59.172575587773224,1.677986878383758,0.0,4.354527457254635,4.352643449158367,6.164041571893674,3.315515556330063,3.3104976117674467,2.8265644410059205,5,0,0,0,99.0
