t_s,pressure_pa,temp_c,baro_h_m,kf_h_m,kf_v_mps,sigma_h_m
9.801,100679.766,31.94,-0.29561090216979613,-0.29710930442049766,-0.0491980295144437,0.1547424817392809
10.0,100679.766,31.93,-0.29561090216979613,-0.30351582579411684,-0.046189579411335606,0.15462305317454172
10.2,100679.844,31.92,-0.3021464225791992,-0.30957361480978535,-0.04336228679726489,0.1546357271487997
10.401,100679.875,31.91,-0.3047438718655915,-0.3142228838545044,-0.03974696663760506,0.15474085833779674
10.6,100679.922,31.9,-0.30868193889381557,-0.3181006964812299,-0.03616245763992257,0.15462191697033464
10.8,100679.578,31.89,-0.2798586053441765,-0.3116998232029339,-0.024041711145925654,0.15463492987561514
11.0,100679.43,31.88,-0.2674578442799902,-0.3018010563847674,-0.010966377069826177,0.15464403167158544
11.2,100679.289,31.87,-0.25564359197111086,-0.28949579169428347,0.0019235063104815903,0.15465038662867378
11.4,100679.563,31.86,-0.2786017721262657,-0.2859595667010798,0.004725354918752735,0.15465481743403964
11.6,100679.602,31.85,-0.2818695381778502,-0.2840713513912556,0.005563852411354083,0.15465790391330825
11.8,100679.641,31.85,-0.28513730320573805,-0.283611978185177,0.004982953440925326,0.1546600533777254
12.0,100679.32,31.83,-0.2582410528528367,-0.2753054002134412,0.011481851180282016,0.15466155090906197
12.2,100679.773,31.83,-0.2961974233964848,-0.2799634413625597,0.005299077600274911,0.15466259532409338
12.4,100679.633,31.82,-0.28446699251382324,-0.28057214615828246,0.0038156908151098833,0.1546633248462393
12.6,100679.672,31.81,-0.2877347567345656,-0.2821860506874313,0.0017023970762467043,0.15466383535391684
12.8,100679.766,31.8,-0.29561090216979613,-0.2859740052835008,-0.001967959249844931,0.15466419327696107
13.0,100679.625,31.79,-0.2837966817825355,-0.2855965376540506,-0.0012824540285768537,0.15466444464907195
13.2,100679.719,31.79,-0.29167283019042367,-0.287598485986638,-0.002834241275973883,0.154664621417479
13.401,100680.0,31.77,-0.3152174511136452,-0.2962908235675105,-0.010055550797142505,0.15476101343130147
13.6,100680.086,31.77,-0.32242326751900974,-0.3055266100820182,-0.016487574510399918,0.15463595921099785
13.8,100680.156,31.76,-0.3282884632394145,-0.3146603091160704,-0.02167622113250545,0.15464472333922363
