t_ms,mx_raw,my_raw,mz_raw,mx_cal,my_cal,mz_cal,inlier
5450,80,-387,224,-2.452132,-285.582369,268.575434,1
5500,64,-345,261,-18.681842,-245.239559,305.857675,1
5550,48,-309,286,-34.834650,-210.593988,331.006692,1
5600,40,-292,295,-42.883153,-194.202267,340.033107,1
5650,40,-292,295,-42.883153,-194.202267,340.033107,1
5700,44,-286,300,-38.848641,-188.389626,345.005282,1
5750,58,-274,309,-24.708037,-176.708248,353.872032,1
5800,73,-258,317,-9.517936,-161.110565,361.662199,1
5850,73,-258,317,-9.517936,-161.110565,361.662199,1
5900,87,-250,320,4.653823,-153.251980,364.474653,1
5950,88,-232,328,5.714960,-135.808102,372.380981,1
6000,77,-207,337,-5.305933,-111.644887,381.339033,1
6050,77,-207,337,-5.305933,-111.644887,381.339033,1
6100,61,-180,344,-21.343389,-85.545176,388.288215,1
6150,42,-156,349,-40.413384,-62.365239,393.269996,1
6200,17,-124,351,-65.456361,-31.398749,395.161805,1
6250,17,-124,351,-65.456361,-31.398749,395.161805,1
6300,-14,-89,351,-96.518860,2.471115,395.042484,1
6350,-37,-68,344,-119.531080,22.847145,387.894319,1
6400,-62,-43,336,-144.524566,47.117590,379.699741,1
6450,-62,-43,336,-144.524566,47.117590,379.699741,1
6500,-92,-20,324,-174.543688,69.452473,367.511039,1
6550,-121,-6,306,-203.557884,83.100995,349.319567,1
6601,-142,-3,293,-224.620593,86.030402,336.269425,1
6650,-142,-3,293,-224.620593,86.030402,336.269425,1
6700,-155,-11,286,-237.741870,78.228380,329.377873,1
6750,-165,-22,281,-247.874389,67.501095,324.527621,1
6800,-170,-25,276,-252.897265,64.603676,319.528553,1
6850,-170,-25,276,-252.897265,64.603676,319.528553,1
6900,-193,-10,255,-275.812470,79.307099,298.212644,1
6950,-223,10,223,-305.652348,98.965793,265.715687,1
7000,-223,12,223,-305.637755,100.914139,265.691054,1
7050,-242,12,202,-324.621392,101.034154,244.519666,1
7100,-245,5,198,-327.663002,94.242319,240.567011,1
7150,-246,1,198,-328.702442,90.338331,240.626334,1
7200,-246,1,198,-328.702442,90.338331,240.626334,1
7250,-243,-1,203,-325.736557,88.350291,245.707098,1
7300,-244,-3,201,-326.741290,86.419282,243.707267,1
7350,-249,-7,196,-331.771463,82.547690,238.720516,1
7400,-249,-7,196,-331.771463,82.547690,238.720516,1
7450,-258,-11,184,-340.772255,78.733128,226.653170,1
7501,-271,-8,162,-353.662421,81.831757,204.367232,1
7550,-274,-6,158,-356.638364,83.807480,200.303728,1
7600,-274,-6,158,-356.638364,83.807480,200.303728,1
7650,-277,-7,154,-359.636196,82.860683,196.277174,1
7700,-279,-10,149,-361.628310,79.985154,191.247936,1
7750,-281,-13,146,-363.640537,77.084992,188.253218,1
7800,-281,-13,146,-363.640537,77.084992,188.253218,1
7850,-287,-17,139,-369.660851,73.230736,181.242003,1
7900,-289,-24,134,-371.682151,66.458515,176.262031,1
7950,-292,-27,129,-374.684519,63.575689,171.242849,1
8000,-292,-27,129,-374.684519,63.575689,171.242849,1
8050,-297,-27,123,-379.675449,63.613106,165.189572,1
8100,-301,-26,111,-383.588488,64.705892,153.010359,1
8150,-308,-23,95,-390.477470,67.774400,136.767643,1
8200,-308,-23,95,-390.477470,67.774400,136.767643,1
8250,-317,-26,79,-399.430739,64.983277,120.618939,1
8300,-322,-29,58,-404.292708,62.282923,99.343708,1
8350,-326,-40,51,-408.343589,51.624050,92.398595,1
8400,-326,-40,51,-408.343589,51.624050,92.398595,1
8450,-323,-56,59,-405.510024,35.960639,100.703571,1
8500,-320,-61,70,-402.626368,30.976181,111.924846,1
8550,-317,-71,80,-399.769138,21.133175,122.190443,1
8600,-317,-71,80,-399.769138,21.133175,122.190443,1
8650,-313,-92,90,-395.981914,0.581563,132.581466,1
8700,-306,-117,102,-389.213228,-23.869485,145.026105,1
8750,-301,-125,109,-384.290727,-31.712602,152.195176,1
8801,-301,-125,109,-384.290727,-31.712602,152.195176,1
8850,-295,-126,122,-378.367236,-32.803111,165.371535,1
8900,-279,-143,146,-362.568572,-49.542905,189.834254,1
8950,-273,-153,155,-356.670523,-59.351705,199.052421,1
9000,-273,-153,155,-356.670523,-59.351705,199.052421,1
9050,-271,-160,155,-354.701090,-66.156323,199.118524,1
9100,-274,-177,146,-357.765382,-82.628305,190.202733,1
9150,-277,-185,140,-360.794176,-90.369679,184.227874,1
9200,-277,-185,140,-360.794176,-90.369679,184.227874,1
9250,-277,-192,142,-360.865365,-97.213523,186.348610,1
9300,-271,-203,147,-354.934385,-107.947230,191.510053,1
9350,-257,-228,156,-341.063751,-132.310253,200.832515,1
9400,-257,-228,156,-341.063751,-132.310253,200.832515,1
9450,-230,-263,171,-314.193119,-166.394051,216.250966,1
9500,-193,-298,188,-277.240060,-200.429517,233.603371,1
9550,-139,-330,212,-223.161189,-231.504640,257.868684,1
9600,-139,-330,212,-223.161189,-231.504640,257.868684,1
9650,-88,-342,234,-171.947037,-243.093559,279.883316,1
9700,-42,-337,260,-125.700343,-238.207285,305.807891,1
9750,-42,-337,260,-125.700343,-238.207285,305.807891,1
9800,2,-316,286,-81.357412,-217.748837,331.555516,1
9850,43,-283,313,-39.967743,-185.634519,358.202772,1
9900,82,-254,328,-0.507087,-157.283687,372.712285,1
9950,82,-254,328,-0.507087,-157.283687,372.712285,1
10000,111,-235,337,28.838403,-138.673651,381.341968,1
10050,157,-225,332,75.433338,-128.534700,375.669894,1
10100,181,-206,332,99.818068,-109.850297,375.194520,1
10150,181,-206,332,99.818068,-109.850297,375.194520,1
10200,215,-191,327,134.326437,-94.928039,369.581543,1
10250,246,-170,319,165.877992,-74.145683,360.873057,1
10300,286,-150,301,206.615104,-54.148666,341.913774,1
10350,286,-150,301,206.615104,-54.148666,341.913774,1
10400,321,-113,285,242.404873,-17.651823,324.829915,1
10450,340,-65,272,262.080668,29.407229,310.823261,1
10500,351,-28,259,273.594170,65.692006,297.032543,1
10550,351,-28,259,273.594170,65.692006,297.032543,1
10600,361,6,245,284.085584,99.059285,282.271571,1
10650,368,29,231,291.465975,121.688770,267.676251,1
10700,381,49,208,304.976512,141.550365,243.902198,1
10750,381,49,208,304.976512,141.550365,243.902198,1
10800,389,72,184,313.467724,164.310313,219.124219,1
10850,396,85,167,320.805320,177.235018,201.600283,1
10900,399,95,157,324.009614,187.121803,191.274346,1
10950,399,95,157,324.009614,187.121803,191.274346,1
11000,401,100,147,326.167171,192.130426,181.020047,1
11050,405,105,137,330.345237,197.153643,170.745636,1
11100,400,114,134,325.389805,205.921667,167.633290,1
11150,400,114,134,325.389805,205.921667,167.633290,1
11200,394,125,136,319.388429,216.569158,169.592669,1
11250,388,133,136,313.385276,224.318763,169.554476,1
11300,375,137,155,300.090082,227.886586,188.963891,1
11350,375,137,155,300.090082,227.886586,188.963891,1
11400,358,140,177,282.716406,230.414101,211.477630,1
11450,344,146,190,268.485891,235.996874,224.768908,1
