index,elapsed_s,lat,lon,ele_m,gpx_time
0,0.0,26.030501033412587,119.19306063132451,185.23865159665905,1970-01-21T15:12:20.012Z
1,2.332506203473945,26.030517752922677,119.19306550210597,185.23865159665905,1970-01-21T15:12:20.018Z
2,4.66501240694789,26.030530194071723,119.19306324588388,185.23865159665905,1970-01-21T15:12:20.022Z
3,6.997518610421836,26.030530517858708,119.19305447756881,185.23865159665905,1970-01-21T15:12:20.030Z
4,9.33002481389578,26.030518484226658,119.19305616742379,185.23865159665905,1970-01-21T15:12:20.034Z
5,11.662531017369727,26.03050338048878,119.19307723403216,185.23865159665905,1970-01-21T15:12:20.038Z
6,13.995037220843672,26.030493074096103,119.19311343888103,185.23865159665905,1970-01-21T15:12:20.042Z
7,16.327543424317618,26.03048716651276,119.19315706550316,185.23865159665905,1970-01-21T15:12:20.046Z
8,18.66004962779156,26.030482458936714,119.19320296117225,185.23865159665905,1970-01-21T15:12:20.050Z
9,20.99255583126551,26.030478391145095,119.19324881853673,185.23865159665905,1970-01-21T15:12:20.054Z
10,23.325062034739453,26.03047538804659,119.19329358261724,185.23865159665905,1970-01-21T15:12:20.058Z
11,25.6575682382134,26.03047376003001,119.19333794554606,185.23865159665905,1970-01-21T15:12:20.062Z
12,27.990074441687344,26.03047352833388,119.19338314471854,185.23865159665905,1970-01-21T15:12:20.066Z
13,30.322580645161292,26.030473000734382,119.19342892897558,185.23865159665905,1970-01-21T15:12:20.070Z
14,32.655086848635236,26.03046981763159,119.19347350325599,185.23865159665905,1970-01-21T15:12:20.074Z
15,34.98759305210918,26.03046317669351,119.19351437514192,185.23865159665905,1970-01-21T15:12:20.078Z
16,37.32009925558312,26.030454182792848,119.1935519940604,185.23865159665905,1970-01-21T15:12:20.082Z
17,39.65260545905707,26.030445225049252,119.1935897189536,185.23865159665905,1970-01-21T15:12:20.088Z
18,41.98511166253102,26.03043814360763,119.19363072704529,185.23865159665905,1970-01-21T15:12:20.092Z
19,44.317617866004966,26.030432265612014,119.19367467065545,185.23865159665905,1970-01-21T15:12:20.096Z
20,46.650124069478906,26.030425596263346,119.19371851058516,185.23865159665905,1970-01-21T15:12:20.100Z
21,48.98263027295285,26.030417466490373,119.19376102691896,185.23865159665905,1970-01-21T15:12:20.104Z
22,51.3151364764268,26.03040762500923,119.19380252324372,185.23865159665905,1970-01-21T15:12:20.108Z
23,53.64764267990074,26.030397133309002,119.19384288323823,185.23865159665905,1970-01-21T15:12:20.112Z
24,55.98014888337469,26.030388067773472,119.19388300148343,185.23865159665905,1970-01-21T15:12:20.116Z
25,58.312655086848636,26.03038278182669,119.19392326480666,185.23865159665905,1970-01-21T15:12:20.120Z
26,60.645161290322584,26.03038316360518,119.19396283714369,185.23865159665905,1970-01-21T15:12:20.124Z
27,62.977667493796524,26.030387946312263,119.19400156810624,185.23865159665905,1970-01-21T15:12:20.128Z
28,65.31017369727047,26.03039423086958,119.1940397792869,185.23865159665905,1970-01-21T15:12:20.132Z
29,67.64267990074441,26.030399620051305,119.19407843292772,185.23865159665905,1970-01-21T15:12:20.136Z
30,69.97518610421837,26.03040322312489,119.19411841360602,185.23865159665905,1970-01-21T15:12:20.140Z
31,72.3076923076923,26.030405068365088,119.19416137416394,185.23865159665905,1970-01-21T15:12:20.144Z
32,74.64019851116625,26.030406142940215,119.19420727373591,185.23865159665905,1970-01-21T15:12:20.148Z
33,76.9727047146402,26.030407609294013,119.19425399083994,185.23865159665905,1970-01-21T15:12:20.152Z
34,79.30521091811414,26.03040935241354,119.19430016151573,185.23865159665905,1970-01-21T15:12:20.156Z
35,81.6377171215881,26.03041012538418,119.19434569346963,185.23865159665905,1970-01-21T15:12:20.160Z
36,83.97022332506204,26.030409786997645,119.19439130817,185.23865159665905,1970-01-21T15:12:20.164Z
37,86.30272952853598,26.03040881456862,119.194437170053,185.23865159665905,1970-01-21T15:12:20.168Z
38,88.63523573200993,26.030407740979793,119.19448177318239,185.23865159665905,1970-01-21T15:12:20.172Z
39,90.96774193548387,26.030407263468362,119.19452359952194,185.23865159665905,1970-01-21T15:12:20.176Z
40,93.30024813895781,26.03040767186005,119.19456209489987,185.23865159665905,1970-01-21T15:12:20.180Z
41,95.63275434243177,26.030408934214048,119.19459859656776,185.23865159665905,1970-01-21T15:12:20.184Z
42,97.9652605459057,26.030410055643088,119.19463511703071,185.23865159665905,1970-01-21T15:12:20.188Z
43,100.29776674937965,26.03040805336567,119.19467369458829,185.23865159665905,1970-01-21T15:12:20.192Z
44,102.6302729528536,26.03040028140377,119.19471544259089,185.23865159665905,1970-01-21T15:12:20.196Z
45,104.96277915632754,26.030388703256527,119.19476069770268,185.23865159665905,1970-01-21T15:12:20.200Z
46,107.29528535980148,26.030377410838994,119.19480747124123,185.23865159665905,1970-01-21T15:12:20.204Z
47,109.62779156327544,26.030369678471203,119.19485280019155,185.23865159665905,1970-01-21T15:12:20.208Z
48,111.96029776674938,26.03036632532358,119.19489579754416,185.23865159665905,1970-01-21T15:12:20.212Z
49,114.29280397022333,26.030366207481812,119.19493680312308,185.23865159665905,1970-01-21T15:12:20.216Z
50,116.62531017369727,26.030368254032066,119.19497640723691,185.23865159665905,1970-01-21T15:12:20.220Z
51,118.95781637717121,26.030371408923152,119.19501619610888,185.23865159665905,1970-01-21T15:12:20.224Z
52,121.29032258064517,26.03037555515935,119.19505697131096,185.23865159665905,1970-01-21T15:12:20.228Z
53,123.62282878411911,26.030380886936637,119.19509732361117,185.23865159665905,1970-01-21T15:12:20.232Z
54,125.95533498759305,26.030386175309665,119.19513641195955,185.23865159665905,1970-01-21T15:12:20.236Z
55,128.287841191067,26.03039043120432,119.19517370923471,185.23865159665905,1970-01-21T15:12:20.240Z
56,130.62034739454094,26.030391704429523,119.19520958655586,185.23865159665905,1970-01-21T15:12:20.244Z
57,132.95285359801488,26.030390191422903,119.19524519332855,185.23865159665905,1970-01-21T15:12:20.248Z
58,135.28535980148882,26.030387964520276,119.19528201937177,185.23865159665905,1970-01-21T15:12:20.252Z
59,137.6178660049628,26.030384999040344,119.19532149637881,185.23865159665905,1970-01-21T15:12:20.256Z
60,139.95037220843673,26.030381233056918,119.1953639203696,185.23865159665905,1970-01-21T15:12:20.260Z
61,142.28287841191067,26.0303771838582,119.19540917609689,185.23865159665905,1970-01-21T15:12:20.264Z
62,144.6153846153846,26.030373688667368,119.19545515093412,185.23865159665905,1970-01-21T15:12:20.268Z
63,146.94789081885855,26.030372082379,119.19550086820202,185.23865159665905,1970-01-21T15:12:20.272Z
64,149.2803970223325,26.03037287988691,119.19554760466349,185.23865159665905,1970-01-21T15:12:20.276Z
65,151.61290322580646,26.030375303650253,119.19559486509328,185.23865159665905,1970-01-21T15:12:20.280Z
66,153.9454094292804,26.030379140946327,119.19563834226192,185.23865159665905,1970-01-21T15:12:20.284Z
67,156.27791563275434,26.03037988735044,119.19567929859726,185.23865159665905,1970-01-21T15:12:20.288Z
68,158.61042183622828,26.030380496688306,119.19572197050142,185.23865159665905,1970-01-21T15:12:20.292Z
69,160.94292803970222,26.03038338979887,119.19576502895751,185.23865159665905,1970-01-21T15:12:20.296Z
70,163.2754342431762,26.030385681630246,119.19580831840418,185.23865159665905,1970-01-21T15:12:20.300Z
71,165.60794044665013,26.030390616726702,119.19585219069016,185.23865159665905,1970-01-21T15:12:20.304Z
72,167.94044665012407,26.03039365375445,119.19589692684409,185.23865159665905,1970-01-21T15:12:20.308Z
73,170.272952853598,26.030391843026784,119.19594227008606,185.23865159665905,1970-01-21T15:12:20.312Z
74,172.60545905707195,26.03038585509831,119.19598733898219,185.23865159665905,1970-01-21T15:12:20.316Z
75,174.9379652605459,26.030377897017154,119.19603245997722,185.23865159665905,1970-01-21T15:12:20.320Z
76,177.27047146401986,26.03037378097963,119.19607964882299,185.23865159665905,1970-01-21T15:12:20.324Z
77,179.6029776674938,26.03037225988415,119.19612917158847,185.23865159665905,1970-01-21T15:12:20.328Z
78,181.93548387096774,26.030375405430085,119.19617766023258,185.23865159665905,1970-01-21T15:12:20.332Z
79,184.26799007444168,26.030383158219358,119.19622345022803,185.23865159665905,1970-01-21T15:12:20.336Z
80,186.60049627791562,26.030388906209446,119.19626683111198,185.23865159665905,1970-01-21T15:12:20.340Z
81,188.93300248138956,26.030391325274113,119.19630856061208,185.23865159665905,1970-01-21T15:12:20.344Z
82,191.26550868486353,26.03039218114612,119.19634975649184,185.23865159665905,1970-01-21T15:12:20.348Z
83,193.59801488833747,26.030393747606013,119.19638936188318,185.23865159665905,1970-01-21T15:12:20.352Z
84,195.9305210918114,26.030396549436208,119.19642719341381,185.23865159665905,1970-01-21T15:12:20.356Z
