q_scale,states,pos_updates,vel_updates,rejects,gps_distance_m,eskf_distance_m,distance_ratio,pos_innov_median_m,pos_innov_p95_m,vel_innov_p95_mps,mean_sigma_xy_m,mean_sigma_vxy_mps,step_std_m,step_p95_m,turn_p95_deg,final_e_m,final_n_m,health,diagnosis
0.01,4776,149,0,967,632.4790528440715,476972.033459535,754.1309570881955,17082.172271813062,402382.02120238583,0.0,17358.439445646716,135.83793953188666,94.29901932195729,265.3004987833979,2.288022797533858,311768.25002822053,-319939.8296247062,diverged,"check frame mapping, GPS timestamp sync, accel gravity removal and ZUPT constraints"
0.03,4776,157,0,959,632.4790528440715,1234107.3863806971,1951.2225437843051,227165.50235736035,1076536.6418467786,0.0,37723.42944542309,305.10353153365367,189.92880735252896,561.2924663047633,2.3500052889074152,-539931.7018603795,-1086060.7152283639,diverged,"check frame mapping, GPS timestamp sync, accel gravity removal and ZUPT constraints"
0.1,4776,127,0,989,632.4790528440715,543191.15441634,858.8286868533746,69449.85046700729,430257.03127534117,0.0,123584.43130388262,963.1839919845413,93.79143308896433,278.90522746637384,1.8955755966181471,444330.79917995306,-229905.87956008074,diverged,"check frame mapping, GPS timestamp sync, accel gravity removal and ZUPT constraints"
0.3,4776,131,0,985,632.4790528440715,380647.79057281656,601.8346202315411,17790.79140521634,300498.0408112324,0.0,212230.8872478805,1637.3640258084883,72.35467888527788,215.9792015041143,1.7755955479349592,320607.53769321897,-121537.96744498264,diverged,"check frame mapping, GPS timestamp sync, accel gravity removal and ZUPT constraints"
1.0,4776,157,0,959,632.4790528440715,194600.48388186138,307.6789389416147,36865.10134651246,151361.56078668553,0.0,276901.12193722185,2031.6450276703613,30.490567316620133,98.68552964259933,2.2548314087872967,-149187.97779485473,95141.8695614878,diverged,"check frame mapping, GPS timestamp sync, accel gravity removal and ZUPT constraints"
3.0,4776,380,2,736,632.4790528440715,449515.39162610925,710.719808987778,32970.15833457748,374740.3561056403,2.5335583110573894,68007.71784964736,634.439572876792,92.06699943034523,261.96839360198595,161.99266009933754,-438483.6388572431,36108.50270172942,diverged,"check frame mapping, GPS timestamp sync, accel gravity removal and ZUPT constraints"
10.0,4776,380,2,736,632.4790528440715,753446.0810788707,1191.2585526601176,41466.91908631311,639818.9314242817,0.19501012278883006,236239.24604140583,2659.7994232027627,162.1036158176913,437.20252239152234,158.91022712386155,53279.788348769114,-746851.0923701971,diverged,"check frame mapping, GPS timestamp sync, accel gravity removal and ZUPT constraints"
30.0,4776,380,2,736,632.4790528440715,174942.50726204464,276.5981046730004,6916.6922005236465,144736.31986789376,0.24880920248650837,167019.09004465124,3014.8094227008373,36.147995204209195,98.47660345114055,158.81842111876261,85643.93262513122,-145928.53860612304,diverged,"check frame mapping, GPS timestamp sync, accel gravity removal and ZUPT constraints"
100.0,4776,380,2,736,632.4790528440715,618170.7798129574,977.3774752432132,29589.48236212066,521944.39631719916,0.208818656830534,900189.0666149646,8749.785340381239,136.3008371894257,366.55209379187284,157.4800189864558,143021.44222835236,-596901.5040669679,diverged,"check frame mapping, GPS timestamp sync, accel gravity removal and ZUPT constraints"
