t_s,innovation_e_m,innovation_n_m,innovation_h_m,hdop,sats
134.774,2.086430487732743,-4.896037841777693,5.32206526907176,2.81,5
135.632,0.0125586176549409,-2.3691720844205033,2.369205369839178,2.81,5
135.746,-0.0026694014047204963,0.5791615665379015,0.5791677182461878,2.8,5
136.658,0.011990919402105733,0.11264165923292824,0.11327808942092431,2.8,5
136.772,-0.002019842970052075,0.344093349597816,0.34409927782991423,2.8,5
137.701,-1.5100373966281961,0.7024053014680427,1.6654087026150883,2.8,5
137.819,0.15756450400390665,0.11591374354443706,0.19560820244683666,2.8,5
138.698,1.941272765032397,0.1364876024983901,1.9460649562366328,2.8,5
138.813,-0.07863637882832715,0.03273192063291441,0.08517663237972951,2.8,5
139.667,-1.749318194665809,0.42579008967687626,1.800391998053726,2.8,5
139.782,0.07282274206516037,-0.023143013418553515,0.07641171920576206,2.8,5
140.689,1.8193462472229849,-0.5590703322776918,1.9033077532856968,2.8,5
140.808,-0.028092432437111153,0.0040470779983734495,0.02838245233517663,2.8,5
141.725,-0.20552063368945725,0.007029163118667636,0.2056408033593161,2.8,5
141.841,-0.08483971385691573,-0.00042105805234937677,0.08484075870244671,2.8,5
142.676,-0.08307195964138638,-0.03529031661437054,0.09025717104697357,2.8,5
142.792,-0.03097274786554994,-0.018033078714573936,0.035839964261546745,2.8,5
143.676,-0.014834812531390107,-0.059900993158508165,0.06171062018985979,2.8,5
143.794,-0.003647188579702157,-0.02694174735999777,0.027187492259233042,2.8,5
144.683,0.014599549147821017,0.7806336058873371,0.7807701156396715,2.8,5
144.799,-0.003355184745370012,-0.17981993897176185,0.17985123773964895,2.8,5
145.685,0.017776353687893418,0.12045448969483274,0.12175911809010301,2.8,5
145.801,-0.0010996552476517252,-0.09226528386134802,0.09227183669830581,2.8,5
146.746,0.021780731069389405,0.19889494521355666,0.2000839810615052,2.79,5
147.634,0.018829700989337526,-0.20550650209056776,0.20636734247658564,2.79,5
147.748,0.009251041406153094,-0.08559391026915875,0.08609238782995368,2.79,5
148.634,0.02795373117865188,-0.13642397586219968,0.13925843700422022,2.79,5
148.748,0.012560336370993264,-0.056607712816561184,0.05798443929257885,2.79,5
149.724,0.033486813982247524,-0.10751681461855389,0.11261097698005347,2.79,5
149.841,0.014159264039818504,-0.04388638006674084,0.04611397958875079,2.79,5
150.721,0.03109127363942705,0.9769690092425057,0.9774636117609724,2.79,5
150.837,-0.0011030122613628762,-0.23091178417259295,0.23091441857497522,2.79,5
151.732,0.022682683724829764,-0.36476674688806876,0.3654713173099431,2.79,5
151.849,0.01086045916983618,-0.14703288779514523,0.14743344148041668,2.79,5
152.73,0.03027938885384885,0.22994414333620206,0.23192919273774576,2.79,5
152.846,-0.0005581883571454727,-0.09661296388083312,0.09661457635409482,2.79,5
153.665,0.021065738199610252,-0.19087416432868526,0.1920331011416221,2.79,5
153.824,0.011721829220731898,-0.08787721320598135,0.08865554625137397,2.79,5
154.717,0.03150538056979814,-0.13779960538140057,0.1413552979131576,2.79,5
154.834,0.013976717722202159,-0.056986521333533935,0.05867548254580816,2.79,5
155.728,0.033165004113978026,-0.10133368274834537,0.10662285288446603,2.79,5
155.845,0.014323239130033258,-0.042293126730723274,0.04465270146180559,2.79,5
156.707,2.322088654344678,0.3398182239932372,2.3468217111647394,2.79,5
156.823,-0.5197596029638718,-0.09421506463531022,0.5282296122685638,2.79,5
157.64,-0.6458308781292668,0.2492150558925153,0.692246825365584,2.79,5
157.754,-0.11056042379985875,-0.07780141890668457,0.13519122787628562,2.78,5
158.692,-0.16694351975096078,-0.20708484083039969,0.26599674826695047,2.78,5
158.809,-0.06455297042666341,-0.08744109199663785,0.10868776637906478,2.78,5
159.698,-0.04657568432503112,-0.1371625963992622,0.14485465895625121,2.78,5
159.815,-0.015613307857881065,-0.05725446117875044,0.059345165827841544,2.78,5
160.741,0.006816167838806564,-0.10185879294029099,0.102086599724253,2.78,5
161.021,0.008658432885475076,-0.054180651515901734,0.05486812789516206,2.78,5
161.732,0.021806749680152393,-0.07058614844094696,0.07387786328353187,2.78,5
161.884,0.01127220633682624,-0.03321853213332521,0.035078961113361735,2.78,5
162.645,0.026811920691819147,-0.06530731858779754,0.07059691885849187,2.78,5
162.754,0.011839660621629111,-0.028252247233357952,0.0306327771736442,2.78,5
163.655,0.031380803014614767,-0.07123706441298777,0.0778426242107897,2.78,5
163.764,0.013146939378330558,-0.02960275364773407,0.03239081719478426,2.78,5
164.719,-2.2520157940806285,-0.07881858219740567,2.2533946626563695,2.78,5
164.831,0.509168455062264,0.007307352169319936,0.5092208882461708,2.78,5
165.668,0.6176149036467788,-0.49101012952624506,0.7890114805907452,2.78,5
165.814,0.11317776035664505,0.06638056558889731,0.13120817401079884,2.78,5
166.677,0.14872331980646405,0.45160830094625853,0.4754668057160481,2.78,5
166.789,0.03003527832244568,-0.016608055427572155,0.034321209899886754,2.78,5
167.645,0.02628291680538812,0.27920766574784317,0.28044199458739816,2.78,5
167.755,0.009768979832845434,-0.039339899271812584,0.04053468442816474,2.78,5
168.687,-0.011350870495800759,0.6438173329488157,0.6439173863674894,2.78,5
168.803,0.0005189988339252109,-0.05755095928291554,0.05755329942039308,2.77,5
169.667,-0.013622139619886694,-0.27993992169095216,0.28027115878049264,2.77,5
169.825,-0.006002863958500915,-0.13368036404172412,0.13381507428549355,2.77,5
170.645,-0.0015694702114615084,-0.203402298790188,0.20340835378586983,2.77,5
170.755,0.0008289207549264699,-0.08669629279349289,0.08670025544225919,2.77,5
171.646,2.318161802756904,0.476741258319775,2.3666762286264382,2.77,5
171.76,-0.41677837796922423,-0.1194130925378567,0.4335478093729828,2.77,5
172.701,-0.6045347492592166,0.1369523390764904,0.6198533747915114,2.77,5
172.814,-0.12295748110792015,-0.07266281225361215,0.1428230599203372,2.77,5
173.678,-0.10656594026611232,-0.6510330808021423,0.6596971819884706,2.77,5
173.824,-0.02862306885803667,0.009202894663853822,0.030066149421665186,2.77,5
174.69,0.021834388651575942,-0.03692291653538593,0.042895714159658704,2.77,5
174.854,0.015122409155848171,-0.025690479697974666,0.029810870597634834,2.77,5
175.72,0.05007867590744253,-0.09188666857792116,0.10464718650298913,2.77,5
175.833,0.022660831979465,-0.04261831689762685,0.048268356520479234,2.77,5
176.699,0.053356246643321725,-0.745681159207441,0.7475876405163584,2.77,5
176.812,-0.003128427117562893,0.1274059984862943,0.12744440162878684,2.77,5
177.647,1.542817784740257,0.10219198655952111,1.5461985380370191,2.77,5
177.792,-0.20449509879363115,0.030371794912961603,0.2067382193907357,2.77,5
178.666,-0.39359154982892575,-0.03403988139672154,0.3950607821870435,2.77,5
178.778,-0.1629735889682178,-0.020699795792024966,0.16428290308797544,2.77,5
179.69,-0.223127911163719,-0.9454498808180682,0.9714224322503491,2.77,5
179.803,-0.028268022903495282,0.11267042625605428,0.11616241247319849,2.76,5
180.666,-0.07578541640038683,0.9763931240299818,0.9793298535182144,2.76,5
180.779,-0.008513864063143473,-0.049821326063366866,0.05054354965767644,2.76,5
181.789,-0.038023756232336225,-0.6656797160086032,0.6667647938691055,2.76,5
182.701,-0.03363620438308201,-0.4725493637703133,0.47374496878070205,2.76,5
182.814,-0.0014649899806951083,0.03386673098377846,0.033898402074008696,2.76,5
183.681,-0.04163576539438152,0.8776972043930122,0.878684197854545,2.76,5
183.794,-0.0010302566372182298,-0.04257520337219245,0.04258766688751662,2.76,5
184.72,-0.0548495333747252,-1.0870711193535898,1.0884539906877515,2.76,5
184.837,-0.004706958139122364,0.003418964524544932,0.005817626091761743,2.76,5
185.702,3.0197227610421535,-0.39089625793656624,3.0449179690140844,2.76,5
185.852,-0.21598110504547652,0.04241575002752429,0.2201066413969887,2.76,5
