# sample_hz,50
# duration_s,30
# sda_gpio,21
# scl_gpio,22
t_ms,ax_g,ay_g,az_g
3360,0.110840,0.016846,-1.011230
3380,0.111572,0.017334,-1.004639
3400,0.111816,0.013428,-1.009521
3420,0.112549,0.019043,-1.013428
3440,0.111816,0.012451,-1.010254
3460,0.106201,0.015625,-1.007813
3480,0.114990,0.014160,-1.012695
3500,0.109131,0.015381,-1.010010
3520,0.112061,0.021484,-1.014893
3540,0.108154,0.014648,-1.011475
3560,0.110596,0.012451,-1.015381
3580,0.107178,0.018799,-1.010254
3600,0.106201,0.013184,-1.009766
3620,0.114258,0.010010,-1.012939
3640,0.111328,0.013916,-1.010986
3660,0.109375,0.012207,-1.006836
3680,0.110107,0.010010,-1.005859
3700,0.109375,0.014404,-1.016357
3720,0.110107,0.010742,-1.008057
3741,0.107422,0.009766,-1.011963
3760,0.110107,0.015137,-1.009033
3780,0.110596,0.013672,-1.007813
3800,0.113037,0.017090,-1.011230
3820,0.108887,0.012939,-1.012207
3841,0.114258,0.013916,-1.009766
3860,0.107178,0.012939,-1.010986
3880,0.111328,0.014404,-1.013184
3900,0.109131,0.013184,-1.010254
3920,0.113525,0.013428,-1.016846
3940,0.112549,0.018555,-1.006348
3960,0.107178,0.014893,-1.004639
3980,0.109375,0.012695,-1.007324
4000,0.108887,0.013672,-1.003662
4020,0.109863,0.015381,-1.003906
4040,0.108398,0.016846,-1.011230
4060,0.109131,0.018799,-1.013184
4080,0.108154,0.016602,-1.012451
4100,0.110107,0.014893,-1.006592
4120,0.107178,0.018311,-1.009521
4140,0.112305,0.016602,-1.007080
4160,0.107910,0.012939,-1.007813
4180,0.114258,0.013184,-1.016602
4200,0.108643,0.017334,-1.010010
4220,0.111328,0.014160,-1.010498
4240,0.110596,0.016357,-1.010498
4260,0.112793,0.012695,-1.001953
4280,0.113281,0.011230,-1.010986
4300,0.108154,0.015625,-1.009766
4320,0.106934,0.016357,-1.005859
4340,0.110107,0.013916,-1.004883
4361,0.110107,0.019043,-1.008789
4380,0.116211,0.010498,-1.013672
4400,0.110107,0.015625,-1.015381
4420,0.114990,0.008545,-1.012207
4440,0.112061,0.016846,-1.007568
4461,0.106689,0.013916,-1.013428
4480,0.107422,0.015625,-1.011963
4500,0.112305,0.016846,-1.013428
4520,0.113037,0.010498,-1.010010
4540,0.106445,0.017578,-1.014404
4560,0.109619,0.015137,-1.010010
4580,0.114502,0.015381,-1.007813
4600,0.110107,0.021484,-1.013428
4620,0.109863,0.012451,-1.010986
4640,0.113037,0.014893,-1.011475
4660,0.109619,0.017334,-1.008057
4680,0.108643,0.016846,-1.012207
4700,0.112061,0.013672,-1.012939
4720,0.113281,0.012207,-1.008545
4740,0.115967,0.010498,-1.014648
4760,0.110840,0.010498,-1.012695
4780,0.111084,0.013428,-1.013428
4800,0.109375,0.016113,-1.013916
4820,0.116211,0.016846,-1.013672
4840,0.107422,0.014893,-1.014404
4860,0.107178,0.012939,-1.008789
4880,0.108154,0.016357,-1.013184
4900,0.112061,0.016357,-1.012451
4920,0.102783,0.011475,-1.012207
4940,0.108643,0.015869,-1.015137
4960,0.111084,0.014648,-1.011230
4980,0.111816,0.010498,-1.010498
5001,0.110596,0.012939,-1.007324
5020,0.113525,0.012451,-1.010254
5040,0.109619,0.012207,-1.013428
5060,0.109131,0.010986,-1.011230
5080,0.108154,0.015869,-1.006592
5100,0.111816,0.018799,-1.014404
5120,0.109131,0.011963,-1.009766
5140,0.112305,0.015625,-1.008301
5160,0.112305,0.014160,-1.008301
5180,0.112793,0.012207,-1.007813
5200,0.111328,0.017822,-1.004395
5220,0.108154,0.013916,-1.011475
5240,0.108154,0.012207,-1.008545
5260,0.111572,0.013916,-1.008301
