# sample_hz,50
# duration_s,30
# sda_gpio,21
# scl_gpio,22
t_ms,ax_g,ay_g,az_g
3360,-0.089111,1.012695,0.023926
3380,-0.092529,1.003174,0.021240
3400,-0.092529,1.006592,0.019531
3420,-0.093018,1.006104,0.020508
3441,-0.091309,1.003418,0.022949
3460,-0.092285,1.005371,0.015137
3480,-0.090088,1.002441,0.012695
3500,-0.091309,1.008545,0.021240
3520,-0.092041,1.002686,0.022705
3541,-0.089111,1.006592,0.020752
3560,-0.092529,1.004639,0.020752
3580,-0.092773,1.004395,0.021973
3600,-0.087646,1.004883,0.018555
3620,-0.088867,1.005127,0.014404
3640,-0.091064,1.004883,0.018311
3660,-0.088379,1.003174,0.018066
3680,-0.086914,1.003174,0.022705
3700,-0.092773,1.004639,0.021484
3720,-0.091064,1.006836,0.022705
3740,-0.087402,1.004395,0.020508
3760,-0.091797,1.005615,0.020996
3780,-0.093750,1.001709,0.017334
3800,-0.095703,1.005127,0.014648
3820,-0.091797,1.003418,0.020508
3840,-0.090332,1.004883,0.021240
3860,-0.090332,1.006104,0.020264
3880,-0.093018,1.004639,0.017334
3900,-0.091309,1.007080,0.020264
3920,-0.087646,1.000977,0.024658
3940,-0.086914,1.000977,0.019043
3960,-0.089844,1.004883,0.014648
3980,-0.091553,1.004883,0.020020
4000,-0.091553,1.007813,0.017334
4020,-0.094238,1.004150,0.020996
4040,-0.091553,1.004883,0.020264
4060,-0.093750,1.004639,0.025635
4081,-0.087402,1.003174,0.019531
4100,-0.092529,1.005371,0.023193
4120,-0.091797,1.001709,0.022217
4140,-0.089355,1.000000,0.018555
4160,-0.093018,1.003906,0.026367
4181,-0.087158,1.000000,0.019287
4200,-0.091309,1.005615,0.022949
4220,-0.092773,1.001465,0.017822
4240,-0.097168,1.003906,0.022217
4260,-0.089844,1.005859,0.020264
4281,-0.092529,1.001709,0.015625
4300,-0.095215,1.004639,0.018555
4320,-0.093750,1.004883,0.014893
4340,-0.089111,1.002686,0.019287
4360,-0.089355,1.008545,0.018799
4381,-0.091309,1.000977,0.019043
4400,-0.090820,1.005127,0.020996
4420,-0.090820,1.002686,0.019043
4440,-0.094971,1.006104,0.015137
4460,-0.094482,1.004639,0.021973
4480,-0.085938,1.004150,0.013428
4500,-0.091309,1.000488,0.028320
4520,-0.087891,1.003174,0.022217
