t_ms,ax_g,ay_g,az_g,temp_c,gx_dps,gy_dps,gz_dps,acc_norm_g,acc_norm_error_mg
1220.0,-0.06543,0.005859,1.027832,43.856,0.21374,1.007634,-0.099237,1.02992914,29.9291
1240.0,-0.062256,0.010986,1.017334,43.877,0.267176,0.824428,-0.19084,1.01929631,19.2963
1260.0,-0.064697,0.008789,1.01709,43.868,0.198473,0.984733,-0.122137,1.01918350,19.1835
1280.0,-0.063477,0.011963,1.030273,43.859,0.137405,0.938931,-0.068702,1.03229594,32.2959
1300.0,-0.066895,0.008789,1.02832,43.865,0.175573,1.022901,-0.076336,1.03053103,30.5310
1320.0,-0.062012,0.010742,1.021973,43.88,0.229008,1.038168,-0.183206,1.02390902,23.9090
1340.0,-0.060059,0.001709,1.022461,43.865,0.198473,0.977099,-0.183206,1.02422483,24.2248
1360.0,-0.05957,0.009277,1.022949,43.889,0.251908,0.89313,-0.145038,1.02472401,24.7240
1380.0,-0.073486,0.008789,1.036621,43.877,0.221374,0.938931,-0.099237,1.03925961,39.2596
1400.0,-0.060791,0.00293,1.030273,43.848,0.251908,1.015267,-0.114504,1.03206908,32.0691
1420.0,-0.059326,0.009033,1.019775,43.886,0.175573,0.984733,-0.030534,1.02153914,21.5391
1441.0,-0.05542,0.016602,0.999512,43.856,0.244275,0.885496,0.030534,1.00118492,1.1849
1460.0,-0.059082,0.011475,1.015869,43.895,0.236641,1.0,-0.022901,1.01765032,17.6503
1480.0,-0.069092,0.008545,1.016602,43.88,0.259542,0.923664,-0.022901,1.01898300,18.9830
1500.0,-0.056152,0.003418,1.010986,43.868,0.19084,0.908397,-0.29771,1.01254996,12.5500
1520.0,-0.066406,0.009521,1.022217,43.865,0.183206,0.931298,-0.206107,1.02441593,24.4159
1540.0,-0.063721,0.01001,1.028076,43.862,0.251908,0.992366,-0.145038,1.03009748,30.0975
1560.0,-0.062988,0.012695,1.027588,43.874,0.244275,0.862595,-0.083969,1.02959494,29.5949
1580.0,-0.062012,0.011475,1.02417,43.845,0.137405,1.045802,-0.229008,1.02610982,26.1098
1600.0,-0.062988,0.010498,1.023438,43.892,0.137405,0.946565,0.015267,1.02542822,25.4282
1620.0,-0.065674,0.006104,1.031738,43.851,0.236641,0.977099,-0.137405,1.03384411,33.8441
1640.0,-0.068359,0.007813,1.022461,43.892,0.145038,1.053435,-0.053435,1.02477339,24.7734
1660.0,-0.063721,0.012695,1.030029,43.859,0.282443,0.916031,-0.175573,1.03207619,32.0762
1680.0,-0.059814,0.005371,1.020752,43.851,0.137405,0.969466,-0.053435,1.02251709,22.5171
1700.0,-0.067871,0.011963,1.026367,43.88,0.328244,1.068702,-0.114504,1.02867818,28.6782
1720.0,-0.060547,0.015137,1.018311,43.871,0.152672,0.992366,-0.114504,1.02022172,20.2217
1740.0,-0.056885,0.010254,1.031982,43.854,0.335878,0.839695,-0.053435,1.03359949,33.5995
1760.0,-0.066406,0.010986,1.008545,43.874,0.229008,1.10687,-0.160305,1.01078854,10.7885
1780.0,-0.070801,0.002686,1.024414,43.877,0.160305,1.091603,-0.167939,1.02686126,26.8613
1801.0,-0.064697,0.008301,1.021973,43.901,0.236641,1.038168,-0.19084,1.02405245,24.0525
1820.0,-0.056885,0.003662,1.023926,43.892,0.206107,0.954198,-0.045802,1.02551147,25.5115
1840.0,-0.0625,0.009521,1.017334,43.898,0.167939,0.977099,-0.083969,1.01929651,19.2965
1860.0,-0.062744,0.005127,1.024414,43.865,0.183206,0.931298,-0.122137,1.02634650,26.3465
1880.0,-0.067871,0.002686,1.026367,43.883,0.221374,0.946565,-0.10687,1.02861213,28.6121
1900.0,-0.068848,0.008789,1.015625,43.883,0.229008,1.038168,-0.053435,1.01799383,17.9938
1920.0,-0.065918,0.010498,1.021973,43.877,0.221374,0.916031,-0.167939,1.02415048,24.1505
1940.0,-0.063965,0.006592,1.017334,43.862,0.320611,1.007634,-0.114504,1.01936423,19.3642
1960.0,-0.079834,0.030273,1.016357,43.854,0.274809,0.984733,-0.015267,1.01993699,19.9370
1980.0,-0.057861,0.004883,1.025879,43.886,0.145038,0.80916,-0.175573,1.02752103,27.5210
2000.0,-0.066162,0.011719,1.009033,43.886,0.236641,0.908397,-0.236641,1.01126769,11.2677
2020.0,-0.065674,0.008545,1.018066,43.842,0.244275,1.061069,-0.167939,1.02021785,20.2179
2040.0,-0.060303,0.006348,1.031494,43.871,0.229008,0.992366,-0.091603,1.03327471,33.2747
2060.0,-0.0625,0.005371,1.024414,43.886,0.290076,0.961832,-0.221374,1.02633286,26.3329
2080.0,-0.070557,0.010986,1.019775,43.871,0.152672,1.007634,-0.045802,1.02227200,22.2720
2100.0,-0.059814,0.011719,1.021729,43.883,0.335878,0.923664,-0.152672,1.02354541,23.5454
2120.0,-0.058594,0.008545,1.026367,43.892,0.206107,0.931298,-0.137405,1.02807368,28.0737
2140.0,-0.064209,0.007813,1.027344,43.854,0.122137,0.946565,-0.091603,1.02937823,29.3782
2160.0,-0.057861,0.006348,1.023193,43.883,0.198473,1.091603,-0.183206,1.02484736,24.8474
2180.0,-0.064453,0.015381,1.022461,43.856,0.198473,1.068702,-0.10687,1.02460591,24.6059
2200.0,-0.067139,0.009766,1.025146,43.889,0.137405,1.0,-0.114504,1.02738860,27.3886
2220.0,-0.091064,0.006348,1.036865,43.874,0.091603,1.022901,-0.122137,1.04087558,40.8756
2240.0,-0.074707,0.005371,1.032959,43.859,0.129771,1.122137,-0.10687,1.03567093,35.6709
2260.0,-0.068848,0.017578,1.027588,43.892,0.351145,1.007634,-0.083969,1.03004181,30.0418
2280.0,-0.071533,0.010742,1.019775,43.868,0.221374,1.122137,-0.145038,1.02233723,22.3372
2300.0,-0.071533,0.001465,1.033691,43.848,0.21374,1.061069,-0.083969,1.03616418,36.1642
2320.0,-0.058105,0.017334,1.024658,43.848,0.259542,0.992366,-0.152672,1.02645052,26.4505
2340.0,-0.066162,0.005859,1.025635,43.851,0.19084,0.908397,-0.099237,1.02778348,27.7835
2360.0,-0.063477,0.010498,1.023438,43.868,0.259542,0.923664,-0.29771,1.02545837,25.4584
2380.0,-0.077881,0.005371,1.043457,43.904,0.21374,1.061069,-0.099237,1.04637317,46.3732
2400.0,-0.060547,0.004883,1.021973,43.854,0.251908,1.091603,-0.091603,1.02377663,23.7766
2421.0,-0.063721,0.009277,1.021729,43.871,0.19084,0.961832,-0.137405,1.02375611,23.7561
2440.0,-0.065186,0.020508,1.023926,43.854,0.206107,0.977099,-0.061069,1.02620380,26.2038
2460.0,-0.055664,0.011719,1.022217,43.886,0.251908,1.045802,-0.259542,1.02379852,23.7985
2480.0,-0.0625,0.01416,1.020264,43.886,0.167939,1.007634,-0.129771,1.02227461,22.2746
2500.0,-0.06958,0.016357,1.035889,43.865,0.175573,1.0,-0.183206,1.03835203,38.3520
2520.0,-0.061279,0.011963,1.022949,43.862,0.129771,1.198473,-0.175573,1.02485262,24.8526
2540.0,-0.070313,0.005371,1.018311,43.877,0.145038,0.954198,-0.129771,1.02074975,20.7498
2560.0,-0.067139,0.009033,1.017822,43.909,0.290076,0.954198,-0.053435,1.02007395,20.0740
2580.0,-0.062988,0.008301,1.026367,43.859,0.183206,0.984733,-0.10687,1.02833147,28.3315
2600.0,-0.059814,0.006348,1.022217,43.859,0.198473,0.954198,-0.129771,1.02398516,23.9852
2620.0,-0.059814,0.011475,1.019287,43.871,0.259542,0.89313,-0.099237,1.02110498,21.1050
2640.0,-0.05542,0.008545,1.025635,43.892,0.251908,1.015267,-0.122137,1.02716676,27.1668
2660.0,-0.066406,0.010254,1.019043,43.88,0.328244,0.977099,-0.022901,1.02125586,21.2559
2680.0,-0.068359,0.014648,1.030273,43.865,0.183206,0.946565,-0.198473,1.03264223,32.6422
2700.0,-0.065918,0.010986,1.018555,43.898,0.21374,1.022901,-0.10687,1.02074491,20.7449
2720.0,-0.063232,0.010498,1.014404,43.862,0.274809,0.885496,-0.030534,1.01642706,16.4271
2740.0,-0.060303,0.011475,1.012939,43.859,0.221374,0.862595,-0.167939,1.01479729,14.7973
2760.0,-0.067139,0.009033,1.027832,43.898,0.221374,0.900763,-0.099237,1.03006207,30.0621
2781.0,-0.063721,0.005859,1.027344,43.877,0.145038,1.038168,-0.091603,1.02933493,29.3349
2800.0,-0.064209,0.013672,1.016602,43.883,0.145038,0.977099,-0.122137,1.01871946,18.7195
2820.0,-0.068848,0.003906,1.022949,43.859,0.221374,1.083969,-0.129771,1.02527068,25.2707
2840.0,-0.068604,0.005127,1.010986,43.848,0.198473,0.931298,-0.21374,1.01332398,13.3240
2860.0,-0.056885,0.012695,1.022949,43.862,0.21374,0.908397,-0.022901,1.02460808,24.6081
2880.0,-0.063477,0.005371,1.028809,43.898,0.206107,0.885496,-0.114504,1.03077938,30.7794
2900.0,-0.062012,0.007568,1.026123,43.862,0.175573,1.007634,-0.099237,1.02802294,28.0229
