phase,t_s,temp_c,comp_roll,comp_pitch,comp_yaw,mahony_roll,mahony_pitch,mahony_yaw,madgwick_roll,madgwick_pitch,madgwick_yaw
level_static,0.0,43.721,0.44752387901134516,-2.1538720351736957,-65.02252786102713,0.44752387901134516,-2.1538720351736957,-65.02252786102713,0.4475514208808636,-2.1539241999162217,-65.0225919785095
level_static,0.02,43.706,0.44981095627017215,-2.1528476055339905,-65.02060867089892,0.4612252913549685,-2.1505178920864756,-65.01402845507583,0.4496281620858017,-2.1528663125386407,-65.02307970831555
level_static,0.04,43.712,0.44727884019400777,-2.1526481721248047,-65.01725820844827,0.451980068400011,-2.150650495210736,-64.99985782585001,0.4467501920836793,-2.153587881032704,-65.02233809997762
level_static,0.061,43.715,0.4498325352240706,-2.1562012157284522,-65.01381423583062,0.4603464743635788,-2.16389363044995,-64.98995297362862,0.4488462384879744,-2.158108570615169,-65.02044993790904
level_static,0.08,43.695,0.4534330183823998,-2.1518263289637023,-65.00452915293074,0.4730234521712592,-2.1486608321611733,-64.9564951056688,0.4517502570644349,-2.1548485604842575,-65.0189403331548
level_static,0.1,43.721,0.45442281844110255,-2.152113230660742,-65.00007517591678,0.4772365626562975,-2.1521838670191693,-64.9434635603201,0.45225421426766854,-2.155933277337157,-65.01758616696026
level_static,0.121,43.727,0.46054567903484483,-2.1534758139040546,-64.997521389726,0.49702407256652276,-2.1569760429544487,-64.93876542080794,0.4582783428205873,-2.157446427946491,-65.01715805046412
level_static,0.14,43.715,0.46088700831791163,-2.148845415590835,-64.99303435341366,0.4919951625789949,-2.1410513891869134,-64.92726396867214,0.45864228362212534,-2.1533043244285603,-65.01626632867904
level_static,0.16,43.724,0.46425938518039367,-2.142417200978529,-64.98784175897914,0.5007166363481647,-2.1230974243742007,-64.91037484457358,0.461843435479892,-2.147187314634594,-65.0164930349317
level_static,0.181,43.721,0.465099203462921,-2.1376042925840015,-64.98062218192233,0.49827881533182544,-2.1008369315259157,-64.89007690473936,0.4625920831329147,-2.1426165338488037,-65.01534370275502
level_static,0.2,43.727,0.46641578452071625,-2.130419524739155,-64.97242773954434,0.5035163965288851,-2.076547898851753,-64.86622954008394,0.4635781989159921,-2.1362614307003724,-65.0144956323036
level_static,0.22,43.704,0.4691388095850063,-2.132229837671856,-64.97378895000095,0.5096266319543593,-2.088787191907089,-64.87554944237385,0.4661719916768197,-2.138129119399563,-65.01571633681284
level_static,0.241,43.727,0.47196076371854384,-2.131516545905867,-64.97276555704582,0.5181815384843665,-2.093989565897581,-64.8816915569216,0.4689669383191098,-2.137277119223635,-65.01496301418871
level_static,0.26,43.751,0.4742536785256474,-2.1271335427325186,-64.96686796791109,0.5210761206886053,-2.0731342940852078,-64.86576917136507,0.47116328290141735,-2.1335428924422413,-65.0148341060483
level_static,0.28,43.742,0.476963039923078,-2.1252817150003698,-64.96611424915771,0.5231590778748779,-2.07071855660888,-64.86850629564343,0.47391196671051106,-2.131689432592713,-65.01556178253401
level_static,0.301,43.709,0.47745049492618374,-2.1250391124175785,-64.96454466908949,0.5262545546071251,-2.0729004932822725,-64.87144243388553,0.47435870687980114,-2.131389539686337,-65.01506771295811
level_static,0.32,43.701,0.48282582166942106,-2.1220337745199678,-64.96122811888146,0.5434689682985561,-2.070472293181008,-64.86731455286392,0.47920374245498554,-2.1283887261426586,-65.01459324835012
